TranslationRange	QR_Kcost	maxQR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRtcost	IAC_Kcost	maxIAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRtcost	Rank3Rate
0.001	nan	69.753	-nan	-nan	-nan	nan	69872.2	1.41568e+07	34525.5	468.411	1.66782e+09	-nan	0
0.00108393	nan	141.1	-nan	-nan	-nan	nan	17609.3	1.30221e+06	8307.32	193.045	3.63352e+08	-nan	0
0.0011749	nan	91.4797	-nan	-nan	-nan	nan	35679.4	3.30563e+06	16609.9	357.808	2.00868e+09	-nan	0
0.0012735	nan	259.973	-nan	-nan	-nan	nan	13396.7	416338	6395.02	94.0208	3.47896e+07	-nan	0
0.00138038	nan	230.123	-nan	-nan	-nan	nan	17058.1	1.17364e+06	7885.36	139.021	1.19387e+08	-nan	0
0.00149624	nan	118.766	-nan	-nan	-nan	nan	12634.9	321504	5948.59	98.5314	2.39604e+07	-nan	0
0.00162181	nan	0	-nan	-nan	-nan	nan	13574.9	851886	6055.89	132.169	1.24461e+08	-nan	0
0.00175792	nan	176.618	-nan	-nan	-nan	nan	11848.5	452129	5237.48	111.85	1.37371e+08	-nan	0
0.00190546	nan	120.54	-nan	-nan	-nan	nan	12350.1	336237	5822.51	94.5593	2.61157e+07	-nan	0
0.00206538	nan	295.068	-nan	-nan	-nan	nan	12718.5	644381	6041.8	113.381	2.3571e+07	-nan	0
0.00223872	nan	0	-nan	-nan	-nan	nan	29856.4	4.19438e+06	14345.4	166.074	2.24823e+08	-nan	0
0.00242661	nan	293.632	-nan	-nan	-nan	nan	18010.2	1.35877e+06	8541.9	133.371	1.8876e+08	-nan	0
0.00263027	nan	146.396	-nan	-nan	-nan	nan	12894.6	915061	6168.38	110.186	9.43714e+07	-nan	0
0.00285102	nan	241.904	-nan	-nan	-nan	nan	14026.8	293104	6589.87	121.884	5.10583e+07	-nan	0
0.0030903	nan	114.586	-nan	-nan	-nan	nan	13109.6	427484	6113.13	122.498	8.00937e+07	-nan	0
0.00334965	nan	100.656	-nan	-nan	-nan	nan	20352.6	933860	9573.94	159.965	1.29569e+08	-nan	0
0.00363078	nan	103.405	-nan	-nan	-nan	nan	12869.3	280171	6068.32	106.259	4.21095e+07	-nan	0
0.0039355	nan	77.3948	-nan	-nan	-nan	nan	21965.9	1.37255e+06	10487.7	168.936	3.12949e+08	-nan	0
0.0042658	nan	99.7378	-nan	-nan	-nan	nan	63369	1.27113e+07	30604.6	344.621	1.1958e+10	-nan	0
0.00462381	nan	312.742	-nan	-nan	-nan	nan	25247.7	2.2214e+06	11870.4	244.37	5.12395e+08	-nan	0
0.00501187	nan	115.501	-nan	-nan	-nan	nan	132926	2.86849e+07	54593.5	1664.51	5.90363e+11	-nan	0
0.0054325	nan	168.86	-nan	-nan	-nan	nan	14590	320264	6810.44	118.284	8.84469e+07	-nan	0
0.00588844	nan	430.923	-nan	-nan	-nan	nan	15646.4	942259	7124.51	147.933	7.06096e+08	-nan	0
0.00638263	nan	55.8342	-nan	-nan	-nan	nan	14724.9	1.1129e+06	6956.51	107.668	1.3646e+08	-nan	0
0.00691831	nan	273.99	-nan	-nan	-nan	nan	16140	613051	7453.05	149.555	1.58854e+08	-nan	0
0.00749894	nan	174.727	-nan	-nan	-nan	nan	17868.4	1.05094e+06	8560.54	193.313	1.25812e+08	-nan	0
0.00812831	nan	153.321	-nan	-nan	-nan	nan	16295.2	609881	7479.49	125.625	3.9582e+08	-nan	0
0.00881049	nan	168.933	-nan	-nan	-nan	nan	11939.8	397441	5538.39	95.8075	7.39434e+07	-nan	0
0.00954993	nan	344.907	-nan	-nan	-nan	nan	12819.3	243439	6068.89	92.3913	2.84497e+07	-nan	0
0.0103514	nan	594.057	-nan	-nan	-nan	nan	31404.4	4.07427e+06	15110.9	205.202	1.59067e+09	-nan	0
0.0112202	nan	231.899	-nan	-nan	-nan	nan	12445.5	304236	5667.66	116.165	9.85827e+07	-nan	0
0.0121619	nan	160.111	-nan	-nan	-nan	nan	14969.8	463205	6796.55	138.933	2.44363e+08	-nan	0
0.0131826	nan	233.796	-nan	-nan	-nan	nan	26255.4	1.29318e+06	12795.8	170.645	1.31922e+08	-nan	0
0.0142889	nan	393.371	-nan	-nan	-nan	nan	12253.4	412806	5523.47	121.022	1.5395e+08	-nan	0
0.0154882	nan	212.726	-nan	-nan	-nan	nan	9021.59	480313	4219.48	76.2912	4.74081e+07	-nan	0
0.016788	nan	197.457	-nan	-nan	-nan	nan	12342.6	600324	5881.65	89.7876	4.01723e+07	-nan	0
0.018197	nan	148.082	-nan	-nan	-nan	nan	14673.2	1.98645e+06	7154.12	75.9443	8.51333e+06	-nan	0.06
0.0197242	nan	282.025	-nan	-nan	-nan	nan	15947.5	1.35991e+06	7589.55	97.07	5.8697e+08	-nan	0.02
0.0213796	nan	240.628	-nan	-nan	-nan	nan	12027.1	855013	5698.48	88.992	3.00592e+08	-nan	0.06
0.0231739	nan	466.205	-nan	-nan	-nan	nan	6585.62	395778	3175.04	48.3342	5.67516e+06	-nan	0.02
0.0251189	nan	142.512	-nan	-nan	-nan	nan	4721	161364	2211.91	40.9815	1.34537e+07	-nan	0.06
0.027227	nan	351.287	-nan	-nan	-nan	nan	4587.71	313254	2115.42	45.4986	2.70325e+07	-nan	0.08
0.0295121	nan	197.731	-nan	-nan	-nan	nan	3480.31	121463	1621.03	35.1488	8.33231e+06	-nan	0.08
0.031989	nan	315.445	-nan	-nan	-nan	nan	1468.73	163782	687.588	19.9765	4.99474e+06	-nan	0.06
0.0346737	nan	177.043	-nan	-nan	-nan	nan	372.268	15296.6	163.318	9.5914	266927	-nan	0.18
0.0375837	72.5401	306.894	23.0489	18.9398	349.034	2.79873e-16	21.6778	56.9898	7.59227	6.50663	6.2479	0.993163	0.16
0.040738	nan	253.939	-nan	-nan	-nan	nan	125.788	7469.23	56.892	7.01267	19106.1	-nan	0.26
0.044157	nan	668.692	-nan	-nan	-nan	nan	355.459	18877	170.367	6.80472	62727.6	-nan	0.36
0.047863	nan	352.864	-nan	-nan	-nan	nan	314.626	26528.2	151.603	6.17494	49083.9	-nan	0.46
0.05188	75.8254	282.876	23.7484	20.7398	371.499	2.8193e-16	13.2772	48.4872	4.50427	4.07533	3.42188	1.03995	0.38
0.0562341	nan	663.468	-nan	-nan	-nan	nan	93.1671	6118.38	44.0116	3.33391	8145.53	-nan	0.52
0.0609537	nan	459.544	-nan	-nan	-nan	nan	179.934	24284.9	78.2955	5.02692	366828	-nan	0.48
0.0660693	79.0474	270.531	24.2883	20.2495	488.177	2.85322e-16	7.1653	18.8748	2.47377	2.20607	0.343849	1.11609	0.62
0.0716143	75.239	200.27	22.5499	20.0498	448.892	2.75842e-16	30.2168	1178.16	11.7886	2.27697	2722.64	1.07993	0.52
0.0776247	75.5662	173.523	23.0031	19.0843	472.556	2.82348e-16	5.88806	58.0867	1.89356	1.94183	2.59806	1.06708	0.6
0.0841395	79.2144	569.674	24.7373	20.0449	467.323	2.83078e-16	3.57594	15.9553	1.22714	1.12569	0.0872475	1.09851	0.56
0.0912011	75.1538	337.341	23.2865	19.7496	404.128	2.83337e-16	3.47522	29.6635	1.15133	1.13103	0.173063	1.03267	0.46
0.0988553	67.2854	305.213	21.2962	16.7378	433.415	2.73975e-16	2.51196	11.4885	0.896504	0.74826	0.0470952	0.977338	0.62
0.107152	70.5475	251.135	21.377	19.0017	371.253	2.88989e-16	2.27259	11.2999	0.79567	0.704124	0.0335585	0.999019	0.42
0.116145	54.4023	158.811	16.8379	13.4043	285.376	2.84704e-16	1.52281	8.22699	0.526786	0.471243	0.0132042	0.864751	0.38
0.125893	55.2522	297.328	17.7118	13.9375	277.741	2.88297e-16	1.06305	4.12816	0.361236	0.339489	0.00741774	0.814456	0.46
