TranslationRange	FocalLength	QR_Kcost	maxQR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRtcost	IAC_Kcost	maxIAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRtcost	Rank3Rate
0.0609537	40	48.9965	118.517	29.2594	28.6452	555.811	3.02279e-16	4.89554	27.8751	3.18203	3.53807	0.769667	1.09218	0.588571
0.0716143	25	27.2209	38.8751	18.3848	13.5483	172.354	2.84635e-16	2.37701	11.3757	1.0531	1.75675	3.03203	1.10263	0.490235
0.0841395	24	22.6541	52.5799	14.4778	9.76362	195.945	2.73295e-16	1.14706	6.02632	0.834993	0.629954	0.0803876	1.03035	0.372196
0.0841395	29	28.214	57.6298	18.3518	10.7178	310.139	2.79682e-16	1.95383	8.66789	1.38407	1.07574	2.47248	1.00765	0.372196
0.0841395	39	43.3977	90.4027	28.8533	21.471	543.552	2.80277e-16	2.48628	6.36781	1.67031	1.65817	0.360352	1.12949	0.372196
0.0912011	29	41.7669	104.494	21.4779	24.8597	629.452	2.53699e-16	0.923475	4.10844	0.68639	0.53559	0.0106933	0.990271	0.367444
0.0912011	34	41.3897	79.6716	27.7843	20.2479	414.361	2.59253e-16	2.26666	9.50374	1.66657	1.4078	0.0397528	1.09491	0.367444
0.107152	35	46.6959	189.053	27.6163	26.0377	847.113	3.16776e-16	0.624652	2.39993	0.454906	0.335787	0.0252984	0.871249	0.507747
0.125893	30	23.4436	76.7562	16.6542	9.67915	132.166	3.03012e-16	0.996522	11.0084	0.88265	0.34934	0.0192135	0.822492	0.390203
0.136458	27	25.2287	62.1861	16.4913	10.0391	220.316	3.07298e-16	2.81082	29.8835	2.54728	0.767763	0.119234	0.895142	0.427804
0.136458	42	27.446	65.1581	17.6582	10.617	365.01	2.86307e-16	1.02262	6.40106	0.84995	0.43683	0.024093	0.733755	0.427804
0.17378	31	12.2506	39.0436	7.56225	5.53704	94.7232	2.93686e-16	0.248815	1.52002	0.158947	0.170457	0.00434	0.4645	0.451763
