FocalLength	QRloss	IACloss
10	0.268304	0.442882
11	0.237584	0.401235
12	0.230226	0.369985
13	0.204849	0.331877
14	0.190747	0.309628
15	0.181512	0.287224
16	0.171612	0.266367
17	0.152903	0.243667
18	0.153081	0.230462
19	0.144068	0.215931
20	0.131137	0.202225
21	0.117542	0.182493
22	0.115364	0.171553
23	0.105037	0.160082
24	0.0992355	0.153826
25	0.0980993	0.146518
26	0.0951308	0.141149
27	0.0836803	0.125119
28	0.0791232	0.121625
29	0.0780179	0.115912
30	0.0744089	0.110075
31	0.0692091	0.104139
32	0.0685122	0.10192
33	0.0648036	0.0946986
34	0.0614727	0.090576
35	0.0577887	0.0854499
36	0.0541883	0.0809582
37	0.0510925	0.0773963
38	0.0497248	0.0734306
39	0.048583	0.0718225
40	0.0446481	0.0670169
41	0.0443305	0.0672623
42	0.0415713	0.0628461
43	0.0427385	0.062258
44	0.0362033	0.0552045
45	0.0376336	0.0563928
46	0.0349895	0.0523117
47	0.0340037	0.0517049
48	0.0321476	0.0488671
49	0.0310225	0.0462796
50	0.0312465	0.0464289
51	0.031246	0.0465845
52	0.0269852	0.0415453
53	0.0263829	0.0402692
54	0.0284883	0.0415002
55	0.0260418	0.040538
56	0.024465	0.0376899
57	0.023133	0.0359061
58	0.0243471	0.0366006
59	0.0218699	0.0341084
60	0.0210711	0.0334188
61	0.0205473	0.0320307
62	0.0203108	0.0308814
63	0.020491	0.0306292
64	0.0177931	0.0284448
65	0.0185929	0.0287193
66	0.017592	0.0282271
67	0.0182286	0.0279966
68	0.0160257	0.0255774
69	0.0157571	0.0253168
70	0.017158	0.0258508
71	0.0158624	0.0245153
72	0.0151874	0.0237697
73	0.0149776	0.02319
74	0.0143855	0.0229309
75	0.0144576	0.0232268
76	0.0135668	0.0216923
77	0.012624	0.0202722
78	0.0130532	0.0205216
79	0.0122878	0.0201419
80	0.0133346	0.020432
81	0.0116088	0.018991
82	0.0114638	0.0184803
83	0.0109317	0.0181621
84	0.0112154	0.018302
85	0.0107164	0.0172122
86	0.010784	0.0175543
87	0.00948297	0.0162951
88	0.0101307	0.0166674
89	0.00938025	0.0158329
90	0.0100419	0.0164115
91	0.00961762	0.0158183
92	0.00955934	0.0157353
93	0.00938662	0.0154607
94	0.0088302	0.0147751
95	0.00861862	0.0144089
96	0.00841208	0.0139123
97	0.00812333	0.0139142
98	0.00817607	0.0136863
99	0.00788892	0.0137184
100	0.00822418	0.0135063
101	0.00747517	0.0127496
102	0.00835955	0.0136322
103	0.00794886	0.0136225
104	0.00765813	0.0127693
105	0.00697248	0.0119974
106	0.00687112	0.0119455
107	0.00703169	0.0120491
108	0.00694665	0.0118114
109	0.00672741	0.0115176
110	0.00662617	0.0114031
111	0.00696435	0.0117073
112	0.00604489	0.0108475
113	0.00657173	0.0113152
114	0.0062517	0.0109536
115	0.00606722	0.0105494
116	0.00588303	0.0104178
117	0.00590361	0.0104399
118	0.00538244	0.0097428
119	0.00558776	0.0099055
120	0.00535183	0.00955704
121	0.00546543	0.0099022
122	0.00555003	0.00973549
123	0.00545192	0.00957199
124	0.0055078	0.00963734
125	0.00525595	0.00929849
126	0.00520106	0.00916157
127	0.00471866	0.00870568
128	0.00520805	0.00896434
129	0.00514991	0.00905134
130	0.00489157	0.00869613
131	0.00456427	0.00823417
132	0.00478958	0.00849492
133	0.00471287	0.00852758
134	0.00478199	0.00855079
135	0.00506554	0.00863763
136	0.00431242	0.00805249
137	0.00480051	0.00836572
138	0.00453943	0.00816619
139	0.00452434	0.00807006
140	0.00437504	0.00776125
141	0.00426358	0.00767674
142	0.00474332	0.00811047
143	0.00467388	0.00789189
144	0.00455351	0.00797686
145	0.00442976	0.00790391
146	0.00434497	0.00778109
147	0.00430544	0.00752594
148	0.00412824	0.00734087
149	0.00424345	0.00756801
150	0.00420851	0.00725138
151	0.0042604	0.00737562
152	0.00413214	0.00723068
153	0.00436581	0.00740336
154	0.00428851	0.00730679
155	0.00378292	0.00677478
156	0.00396179	0.00703086
157	0.00386765	0.0066802
158	0.00408891	0.00700967
159	0.00410184	0.00694634
160	0.00456135	0.00793979
161	0.00380863	0.00657806
162	0.00391896	0.00671023
163	0.00409106	0.00682706
164	0.00407356	0.00686173
165	0.00378084	0.00653058
166	0.00385599	0.00661348
167	0.00425876	0.00699672
168	0.00400652	0.00677813
169	0.00410105	0.00673635
170	0.00380984	0.00644092
171	0.00460463	0.010118
172	0.00395313	0.00661913
173	0.00425316	0.00672485
174	0.00367233	0.00620845
175	0.00421726	0.00764347
176	0.00381868	0.00637021
177	0.00401136	0.00652317
178	0.00380385	0.0061779
179	0.00380775	0.00622489
180	0.00396507	0.00631555
181	0.00384087	0.00615995
182	0.00394476	0.00626609
183	0.00409541	0.00639303
184	0.00399904	0.00633808
185	0.00394304	0.0062607
186	0.00398106	0.006257
187	0.00388093	0.00607124
188	0.00386046	0.00605947
189	0.00377228	0.00597006
190	0.00374706	0.00599171
191	0.00378646	0.00583043
192	0.00399582	0.00614155
193	0.00399349	0.00612795
194	0.00394673	0.00598699
195	0.00399125	0.00610873
196	0.003968	0.00597849
197	0.00384923	0.00587039
198	0.00409666	0.00612719
199	0.004007	0.00606035
200	0.00399096	0.00595779
201	0.00398531	0.00592227
202	0.00414305	0.00615036
203	0.00404547	0.00603538
204	0.00399278	0.00596519
205	0.00402283	0.0059241
206	0.003977	0.00591607
207	0.00420114	0.00607843
208	0.00397417	0.00583725
209	0.00414915	0.00604609
210	0.00419282	0.00598343
211	0.00420578	0.00666018
212	0.0039636	0.00577474
213	0.00426387	0.00604137
214	0.00401314	0.00585105
215	0.00420973	0.00595554
216	0.00404539	0.00577828
217	0.00421553	0.00652298
218	0.00406723	0.00585272
219	0.00411817	0.00584224
220	0.00418888	0.00594108
221	0.0043075	0.00596002
222	0.00426795	0.00582307
223	0.00447465	0.00610731
224	0.00406625	0.00569119
225	0.0042944	0.00591989
226	0.00442049	0.0060756
