TranslationRange	FocalLength	QR_Kcost	maxQR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRtcost	IAC_Kcost	maxIAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRtcost	Rank3Rate
0.001	13	nan	17.1833	-nan	-nan	-nan	nan	1096.65	4814.13	915.694	30.0541	724260	-nan	0.0195998
0.001	14	nan	18.2104	-nan	-nan	-nan	nan	1599.31	11425.8	1342.82	29.2995	2.56534e+06	-nan	0.0195998
0.001	15	nan	0	-nan	-nan	-nan	nan	1900.2	7527.76	1694.28	46.7497	770853	-nan	0.0195998
0.001	16	nan	0	-nan	-nan	-nan	nan	4425.78	99279.1	3940.16	152.425	7.23242e+07	-nan	0.0195998
0.001	17	nan	0	-nan	-nan	-nan	nan	3000.22	60021.4	2639.5	57.765	1.04354e+07	-nan	0.0195998
0.001	18	nan	0	-nan	-nan	-nan	nan	3158.05	77680.3	2975.92	71.684	1.64513e+06	-nan	0.0195998
0.001	19	nan	0	-nan	-nan	-nan	nan	10549.8	449992	8947.61	138.998	1.19097e+09	-nan	0.0195998
0.001	20	nan	0	-nan	-nan	-nan	nan	7466.92	128229	6901.57	188.63	7.80058e+07	-nan	0.0195998
0.001	21	nan	18.1684	-nan	-nan	-nan	nan	2147.18	18575.3	1892.75	47.1671	3.33692e+06	-nan	0.0195998
0.001	22	nan	50.7079	-nan	-nan	-nan	nan	8388.24	218747	6933.16	247.32	4.1156e+08	-nan	0.0195998
0.001	23	nan	34.9728	-nan	-nan	-nan	nan	5462.6	170982	5169	49.8925	1.40844e+07	-nan	0.0195998
0.001	24	nan	27.7627	-nan	-nan	-nan	nan	4415.73	49954.4	4030.86	67.9821	5.76807e+06	-nan	0.0195998
0.001	25	nan	0	-nan	-nan	-nan	nan	8469.36	166029	8147.22	82.2759	7.5422e+06	-nan	0.0195998
0.001	26	nan	21.2201	-nan	-nan	-nan	nan	3629.14	17959.8	3181.53	63.532	5.26461e+06	-nan	0.0195998
0.001	27	nan	53.8155	-nan	-nan	-nan	nan	3804.29	38135	3043.4	71.2935	1.78838e+07	-nan	0.0195998
0.001	28	nan	38.4539	-nan	-nan	-nan	nan	7059.81	116865	5932.19	101.681	1.36213e+08	-nan	0.0195998
0.001	29	nan	0	-nan	-nan	-nan	nan	4460.94	43708.1	3810.7	68.9913	1.84311e+07	-nan	0.0195998
0.001	30	nan	34.7937	-nan	-nan	-nan	nan	5525.89	106864	4789.87	78.0835	6.92877e+07	-nan	0.0195998
0.001	31	nan	66.1956	-nan	-nan	-nan	nan	6429.38	74187.5	5718.44	112.392	2.05738e+07	-nan	0.0195998
0.001	32	nan	0	-nan	-nan	-nan	nan	5603.53	33781.5	5027.76	91.0639	1.46318e+07	-nan	0.0195998
0.001	33	nan	0	-nan	-nan	-nan	nan	9508.27	340899	9049.75	138.667	1.36516e+07	-nan	0.0195998
0.001	34	nan	54.282	-nan	-nan	-nan	nan	6793.92	65008.5	6276.91	110.003	1.6865e+07	-nan	0.0195998
0.001	35	nan	0	-nan	-nan	-nan	nan	11726.1	184605	9881.07	162.671	4.16103e+08	-nan	0.0195998
0.001	36	nan	50.9827	-nan	-nan	-nan	nan	9082.47	125619	8546.27	136.513	1.6793e+07	-nan	0.0195998
0.001	37	nan	42.817	-nan	-nan	-nan	nan	12336.4	330410	11379.8	126.388	2.77923e+08	-nan	0.0195998
0.001	38	nan	0	-nan	-nan	-nan	nan	16522.6	369967	13540.7	236.433	1.331e+09	-nan	0.0195998
0.001	39	nan	0	-nan	-nan	-nan	nan	3622.3	41290.5	2975.71	67.4218	1.70104e+07	-nan	0.0195998
0.001	40	nan	0	-nan	-nan	-nan	nan	18836.3	476289	17887.3	175.019	4.09145e+08	-nan	0.0195998
0.001	41	nan	67.3545	-nan	-nan	-nan	nan	6694.29	53683.5	6335.1	102.405	4.94284e+06	-nan	0.0195998
0.001	42	nan	55.6913	-nan	-nan	-nan	nan	7765.27	40041.3	6409.97	83.922	5.64506e+07	-nan	0.0195998
0.001	43	nan	0	-nan	-nan	-nan	nan	22122.2	462674	20409.9	210.299	8.10953e+08	-nan	0.0195998
0.001	44	nan	36.1784	-nan	-nan	-nan	nan	13567.2	191470	12599	121.904	1.01653e+08	-nan	0.0195998
0.001	45	nan	53.0202	-nan	-nan	-nan	nan	9634.11	82605.3	8471.28	145.236	9.53419e+07	-nan	0.0195998
0.001	46	nan	43.6002	-nan	-nan	-nan	nan	65996.5	1.92458e+06	60509	296.627	1.86469e+10	-nan	0.0195998
0.001	47	nan	46.1584	-nan	-nan	-nan	nan	8243.28	54922.8	6701.56	126.744	8.60821e+07	-nan	0.0195998
0.001	48	nan	54.6508	-nan	-nan	-nan	nan	49054.4	1.19223e+06	45387.4	712.485	5.52921e+09	-nan	0.0195998
0.001	49	nan	0	-nan	-nan	-nan	nan	7729.11	29465.1	6964.25	85.9762	1.24206e+07	-nan	0.0195998
0.001	50	nan	56.6533	-nan	-nan	-nan	nan	14261.4	147155	13621.3	135.152	6.13703e+07	-nan	0.0195998
0.001	51	nan	132.48	-nan	-nan	-nan	nan	11985.9	112828	11459.4	116.831	1.49465e+07	-nan	0.0195998
0.001	52	nan	74.294	-nan	-nan	-nan	nan	18345	124545	13186.2	240.326	7.60979e+08	-nan	0.0195998
0.001	53	nan	0	-nan	-nan	-nan	nan	56184.1	2.04336e+06	52421.2	465.069	1.10374e+10	-nan	0.0195998
0.001	54	nan	0	-nan	-nan	-nan	nan	11937.8	154215	10156.7	155.615	3.3416e+08	-nan	0.0195998
0.001	55	nan	0	-nan	-nan	-nan	nan	20551.3	189068	17740.1	161.009	3.79609e+08	-nan	0.0195998
0.001	56	nan	0	-nan	-nan	-nan	nan	40805	454543	37091.2	327.395	9.77814e+08	-nan	0.0195998
0.001	57	nan	0	-nan	-nan	-nan	nan	32625	455199	21238.2	442.53	6.998e+09	-nan	0.0195998
0.001	58	nan	70.0407	-nan	-nan	-nan	nan	13397	130001	11748.8	123.859	1.24808e+08	-nan	0.0195998
0.001	59	nan	0	-nan	-nan	-nan	nan	164628	2.99156e+06	125166	2979.34	1.92805e+11	-nan	0.0195998
0.001	60	nan	81.5438	-nan	-nan	-nan	nan	27569.3	210854	26201.2	222.574	1.45405e+08	-nan	0.0195998
0.001	61	nan	0	-nan	-nan	-nan	nan	9450.33	67354.5	8691.35	112.869	2.54327e+07	-nan	0.0195998
0.001	62	nan	0	-nan	-nan	-nan	nan	18901.5	196124	17462.2	127.717	1.54515e+08	-nan	0.0195998
0.001	63	nan	0	-nan	-nan	-nan	nan	13832.4	120275	13142.5	116.706	1.36149e+07	-nan	0.0195998
0.001	64	nan	79.4573	-nan	-nan	-nan	nan	6847.61	53864.2	6229.78	89.6088	6.52537e+06	-nan	0.0195998
0.001	65	nan	0	-nan	-nan	-nan	nan	44957.9	210937	38738.2	408.164	1.29022e+09	-nan	0.0195998
0.001	66	nan	0	-nan	-nan	-nan	nan	23949.5	131277	21642.8	150.746	2.4256e+08	-nan	0.0195998
0.001	67	nan	0	-nan	-nan	-nan	nan	18962.6	107991	16896.7	335.454	2.44968e+08	-nan	0.0195998
0.001	68	nan	0	-nan	-nan	-nan	nan	26623.7	262772	19512.6	278.929	2.71256e+09	-nan	0.0195998
0.001	70	nan	0	-nan	-nan	-nan	nan	8266.58	20193.9	6699.15	77.6597	3.24163e+07	-nan	0.0195998
0.001	80	nan	120.138	-nan	-nan	-nan	nan	19103.3	121093	17480.8	179.787	2.32979e+08	-nan	0.0195998
0.00108393	13	nan	0	-nan	-nan	-nan	nan	5448.66	78084.3	4906	104.325	3.86203e+07	-nan	0.000391997
0.00108393	14	nan	19.8287	-nan	-nan	-nan	nan	1387.26	7988.15	1253.52	30.2566	521470	-nan	0.000391997
0.00108393	15	nan	24.466	-nan	-nan	-nan	nan	2069.67	18019.5	1958.37	50.4045	499688	-nan	0.000391997
0.00108393	16	nan	0	-nan	-nan	-nan	nan	2291.22	19069	1852.56	48.9745	9.50837e+06	-nan	0.000391997
0.00108393	17	nan	85.6717	-nan	-nan	-nan	nan	1875.37	14523.7	1710.78	44.0125	761951	-nan	0.000391997
0.00108393	18	nan	24.0906	-nan	-nan	-nan	nan	1472.49	9311.95	1277.57	38.7339	1.23803e+06	-nan	0.000391997
0.00108393	19	nan	29.1645	-nan	-nan	-nan	nan	2318.38	30611.6	2031.77	40.9979	5.71591e+06	-nan	0.000391997
0.00108393	20	nan	28.8752	-nan	-nan	-nan	nan	1881	10409.9	1711.59	40.3326	1.25655e+06	-nan	0.000391997
