FocalLength	QR_Kcost	maxQR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRtcost	IAC_Kcost	maxIAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRtcost
6	0.0205032	0.245155	0.0136798	0.0120357	0.000203486	2.97299e-16	0.0118961	0.191366	0.00772348	0.00733921	9.07323e-05	0.00329158
7	0.0223476	0.248442	0.0161135	0.012304	5.88571e-05	2.8649e-16	0.00992951	0.085123	0.0064843	0.00621324	2.00625e-05	0.00327963
8	0.0165755	0.157242	0.0095121	0.0091835	0.000298535	2.79554e-16	0.00793299	0.0507461	0.0045481	0.00507467	3.1485e-05	0.00242607
9	0.0462947	1.17022	0.026841	0.0280823	0.00470303	2.87294e-16	0.0147279	0.601464	0.00834788	0.00945215	0.000434747	0.0061676
10	0.0401383	1.94747	0.0241639	0.0249011	0.00593913	2.89377e-16	0.0104622	0.243191	0.00629027	0.00666816	3.02754e-05	0.00522304
11	0.0726475	4.30345	0.0461497	0.0452951	0.00737414	2.83079e-16	0.0170209	0.499306	0.010081	0.00969731	0.000799719	0.00869053
12	0.0513682	2.76015	0.0261399	0.0358073	0.00556051	2.79078e-16	0.0207267	2.17165	0.0119082	0.0123792	0.00609222	0.00484047
13	0.0672002	6.63252	0.0415652	0.038448	0.0122625	2.70711e-16	0.0261255	5.26929	0.0194409	0.0138559	0.000151424	0.00585483
14	0.0584192	3.36192	0.0380054	0.0320208	0.005962	2.80418e-16	0.0153008	0.497451	0.00991005	0.00902477	0.000219212	0.00524651
15	0.0795996	9.06491	0.0488246	0.04554	0.0492116	2.78904e-16	0.0161515	1.49177	0.0104765	0.00934382	0.000314883	0.00685542
16	0.0824216	11.444	0.0484263	0.0541268	0.0282302	2.79023e-16	0.0278019	6.05704	0.0167582	0.0171145	0.00578935	0.00512683
17	0.0737092	5.57808	0.0455736	0.0382764	0.0281551	2.78932e-16	0.0218766	1.39239	0.0150247	0.0120922	0.00039836	0.00527564
18	0.053175	2.93581	0.0324107	0.0304202	0.0101634	2.82588e-16	0.023136	2.46784	0.0141438	0.0145494	0.00315481	0.0034653
19	0.0900585	21.0042	0.0527918	0.0466046	0.294163	2.79496e-16	0.0249075	4.79553	0.0149108	0.0166262	0.00107034	0.00554497
20	0.070019	3.68829	0.0423431	0.0403188	0.0078109	2.7974e-16	0.0285117	1.76938	0.0184757	0.0169682	0.00208628	0.00380071
21	0.0915402	7.23095	0.0531218	0.0516635	0.0511149	2.82535e-16	0.0182873	0.652451	0.0115062	0.0107962	0.000309836	0.00562224
22	0.0615429	2.83797	0.0347224	0.0377751	0.0108677	2.85318e-16	0.0203156	0.547014	0.0128077	0.0123818	0.000266701	0.00335667
23	0.107055	22.9851	0.0742249	0.0535905	0.0769586	2.83343e-16	0.0268601	3.73764	0.0184613	0.0135097	0.00293657	0.00517852
24	0.120276	14.9483	0.0728414	0.059376	0.209191	2.72382e-16	0.0352137	3.66618	0.0223072	0.0224097	0.00341717	0.00594085
25	0.101454	7.3365	0.0671556	0.0482967	0.0336266	2.75912e-16	0.0336023	3.32688	0.0220749	0.0189917	0.00267533	0.00454799
26	0.0955698	12.0226	0.0497844	0.0605325	0.0899744	2.81902e-16	0.0299957	2.09785	0.0185126	0.0195773	0.00111813	0.00430688
27	0.116933	14.0781	0.0736602	0.0591738	0.15805	2.74882e-16	0.0346409	3.3447	0.0227578	0.0211506	0.00481737	0.00516835
28	0.120987	15.5723	0.0706199	0.0792764	0.0372085	2.86945e-16	0.0369245	9.01537	0.0245681	0.0234479	0.00350882	0.00485802
29	0.103259	16.5448	0.0589157	0.0645181	0.0577771	2.83419e-16	0.0263662	1.41338	0.0169899	0.0163336	0.000272074	0.00439671
30	0.120939	16.9365	0.0748312	0.0711876	0.123201	2.80553e-16	0.0308286	3.37901	0.0214609	0.0183271	0.000316975	0.00516897
31	0.110942	10.4363	0.0681759	0.0675776	0.0353583	2.76704e-16	0.031743	1.95841	0.0219706	0.0192676	0.000521709	0.0043819
32	0.126865	11.8612	0.0801018	0.0652873	0.130059	2.81078e-16	0.0290782	2.19569	0.0183559	0.0177859	0.00309203	0.0048787
33	0.17156	33.6877	0.109606	0.104731	0.219498	2.78431e-16	0.03185	3.21983	0.0202994	0.0199505	0.000534665	0.00583645
34	0.0904321	5.01093	0.0530301	0.0529084	0.0335491	2.81245e-16	0.0242364	0.925109	0.0161138	0.0153034	0.000115216	0.00334158
35	0.16286	41.2564	0.116243	0.0830985	0.0542348	2.83521e-16	0.0304424	0.984709	0.0209372	0.0186313	0.000170982	0.00515296
