FocalLength	QRloss	IACloss
10	8.07708e-07	1.49783e-06
11	1.9142e-08	7.53493e-08
12	2.30994e-08	4.95056e-08
13	3.63256e-09	1.00895e-08
14	5.23422e-09	2.2814e-08
15	2.80813e-07	6.37204e-07
16	4.5614e-08	3.5101e-07
17	7.25309e-07	3.21136e-06
18	9.81608e-07	2.94359e-06
19	1.56123e-08	5.95368e-08
20	6.71306e-09	1.91699e-08
21	4.19878e-09	1.12449e-08
22	9.1902e-09	1.87962e-08
23	8.96489e-09	1.99371e-08
24	3.01252e-09	7.53433e-09
25	5.58292e-05	5.96457e-05
26	1.99117e-07	3.91938e-07
27	3.01411e-06	3.21745e-06
28	9.08228e-09	2.68692e-08
29	2.12054e-08	6.48499e-08
30	2.57828e-07	2.35507e-07
31	5.09494e-09	1.44097e-08
32	9.36924e-09	2.45349e-08
33	1.03108e-08	4.41843e-08
34	6.33691e-07	7.34159e-07
35	9.90643e-09	4.97151e-08
36	3.59801e-07	5.73206e-07
37	2.75825e-08	1.79043e-07
38	7.05689e-08	1.25165e-07
39	1.42287e-06	1.67862e-06
40	8.8246e-08	1.93162e-07
41	1.77874e-08	3.53079e-08
42	2.72305e-07	5.6444e-07
43	2.36975e-07	3.71767e-07
44	7.96121e-09	2.39188e-08
45	4.40925e-07	4.7251e-07
46	2.43294e-08	5.55409e-08
47	5.42551e-06	2.71633e-05
48	1.91608e-07	2.67305e-07
49	8.49246e-08	1.53365e-07
50	6.14425e-08	1.11219e-07
51	4.63505e-08	8.55594e-08
52	1.99321e-08	4.31935e-08
53	5.06332e-07	7.43885e-07
54	9.0159e-07	1.14211e-06
55	9.01043e-08	4.45083e-07
56	1.27243e-08	4.49661e-08
57	9.61279e-07	3.52287e-06
58	2.34405e-08	3.15709e-08
59	2.32009e-08	6.24199e-08
60	6.8022e-08	1.29684e-07
61	7.8866e-07	1.4814e-06
62	2.8195e-08	6.01045e-08
63	6.31125e-05	7.44487e-05
64	7.45122e-07	2.00865e-06
65	3.60605e-07	5.97918e-07
66	1.01172e-06	1.79484e-06
67	2.51834e-08	1.16802e-07
68	3.13037e-08	5.30519e-08
69	2.61474e-05	3.91143e-05
70	3.18525e-08	6.51556e-08
71	3.59964e-07	6.56042e-07
72	9.31256e-09	2.23096e-08
73	4.0246e-08	1.38e-07
74	5.25546e-08	1.0461e-07
75	7.92646e-08	2.17722e-07
76	2.91727e-07	1.30268e-06
77	2.36783e-07	2.80677e-07
78	1.46612e-07	1.706e-07
79	2.83033e-08	8.28466e-08
80	1.82271e-07	3.12951e-07
81	1.08219e-05	4.75028e-05
82	2.9349e-06	3.68523e-06
83	2.00748e-07	6.64557e-07
84	1.32444e-07	5.35229e-07
85	3.33815e-06	8.11274e-06
86	0.000239553	0.000475658
87	1.61359e-06	1.49287e-06
88	1.78433e-07	4.11911e-07
89	3.09844e-08	6.02634e-08
90	3.87364e-07	4.71146e-07
91	2.96005e-07	7.0102e-07
92	2.95162e-07	7.00977e-07
93	3.2806e-08	4.42219e-08
94	4.55939e-08	9.34911e-08
95	5.05965e-07	8.56735e-07
96	1.13298e-07	3.24104e-07
97	1.47209e-08	4.82553e-08
98	1.14236e-07	1.34933e-07
99	1.12121e-08	2.64596e-08
100	1.64228e-07	4.15848e-07
101	3.51132e-06	5.50026e-06
102	3.60054e-07	1.55041e-06
103	8.05599e-08	2.13889e-07
104	2.04636e-07	3.05342e-07
105	4.33423e-08	9.60611e-08
106	7.20495e-08	1.56542e-07
107	1.18318e-05	1.09493e-05
108	1.59119e-08	5.16279e-08
109	2.3386e-07	6.84632e-07
110	1.23872e-07	2.37826e-07
111	1.33492e-06	2.89357e-06
112	2.28977e-07	3.36756e-07
113	1.57642e-07	2.67563e-07
114	1.41723e-07	1.8866e-07
115	3.5474e-08	1.38505e-07
