FocalLength	QR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRtcost	IAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRtcost	Rank3Rate
10	0.132076	0.0809774	0.0785349	0.00286874	2.82803e-16	0.135487	0.0837969	0.0817702	0.00256905	0.00750406	0.96
11	0.112827	0.0694617	0.0662071	0.00219945	2.812e-16	0.113407	0.0705744	0.0688867	0.00180115	0.00633733	1
12	0.0932679	0.0572623	0.0556171	0.00142138	2.82525e-16	0.0934324	0.0578751	0.0575618	0.00111298	0.00463796	0.94
13	0.0826807	0.0519624	0.0484351	0.00108242	2.78444e-16	0.0826303	0.0529903	0.0495677	0.000828721	0.00408738	0.96
14	0.0724776	0.0454499	0.0426884	0.000800243	2.78048e-16	0.0734117	0.0473009	0.0441539	0.000591538	0.00353788	0.92
15	0.0602889	0.0376155	0.03558	0.000567967	2.77554e-16	0.0597582	0.0383829	0.035881	0.000409737	0.00263642	0.96
16	0.048498	0.0300427	0.0283392	0.000385264	2.81011e-16	0.0490813	0.0309948	0.0300394	0.000276769	0.0020915	0.92
17	0.043876	0.0276216	0.0256971	0.000302544	2.75994e-16	0.0436681	0.0280807	0.0263525	0.000211747	0.00177755	0.96
18	0.0370931	0.0230701	0.0219158	0.000215954	2.82879e-16	0.0372746	0.0236931	0.0225751	0.000155304	0.00132817	0.92
19	0.0317163	0.0198572	0.0184978	0.000161873	2.83258e-16	0.0323931	0.0209006	0.0195951	0.000115678	0.0011779	0.98
20	0.0293567	0.0185581	0.0169737	0.000137522	2.86168e-16	0.0295902	0.0191394	0.0179259	8.93098e-05	0.00104909	0.92
21	0.0245242	0.0153192	0.0144845	9.42972e-05	2.80368e-16	0.0247178	0.0158233	0.0151898	6.23318e-05	0.000852088	0.98
22	0.0210363	0.0132357	0.0124168	6.41305e-05	2.78697e-16	0.0213012	0.0135269	0.0131121	4.84029e-05	0.000609896	0.98
23	0.0207411	0.0131466	0.0121631	6.4405e-05	2.81314e-16	0.0207182	0.0135098	0.0126996	3.89287e-05	0.000683461	0.9
24	0.0163582	0.0101232	0.00972864	4.17326e-05	2.79958e-16	0.0164063	0.0105015	0.0100852	2.70522e-05	0.00049259	0.94
25	0.0150414	0.0094778	0.00887776	3.29058e-05	2.77178e-16	0.0150881	0.00973343	0.00924883	2.20573e-05	0.000398922	0.98
26	0.0127114	0.00786402	0.00764138	2.45132e-05	2.76743e-16	0.0128985	0.00830759	0.00794263	1.65254e-05	0.000348326	0.96
27	0.0110042	0.00695574	0.00645585	1.79453e-05	2.8074e-16	0.0110361	0.00710036	0.00672017	1.24549e-05	0.000260371	0.92
28	0.0104208	0.00648069	0.00612925	1.79186e-05	2.80311e-16	0.0104843	0.00665954	0.00654134	1.05391e-05	0.000280806	0.98
29	0.0093943	0.00585376	0.00554845	1.43183e-05	2.76821e-16	0.00925764	0.00595964	0.00569969	8.03111e-06	0.000239365	0.94
30	0.00796965	0.00501527	0.00472871	9.86755e-06	2.76158e-16	0.00796148	0.0051359	0.00492013	6.01879e-06	0.000191131	0.94
31	0.0075195	0.00474642	0.00445336	8.55129e-06	2.77332e-16	0.00752773	0.0049247	0.00465016	4.94845e-06	0.000178629	0.98
32	0.00657646	0.00410013	0.00391378	6.56064e-06	2.78095e-16	0.00655906	0.00421559	0.00407583	3.87915e-06	0.000150983	0.92
33	0.00550214	0.00344278	0.00328571	4.5061e-06	2.7466e-16	0.00550002	0.00350941	0.00343864	2.77818e-06	0.000115823	0.98
34	0.0058413	0.00370363	0.00344511	5.25762e-06	2.83996e-16	0.00584378	0.00384693	0.00359138	2.56632e-06	0.000127019	0.98
35	0.00493879	0.00313385	0.00290857	3.73082e-06	2.84764e-16	0.00492828	0.00319954	0.00308229	1.94118e-06	0.000105464	0.98
36	0.00440854	0.00286216	0.002532	2.90329e-06	2.83982e-16	0.0043392	0.00290518	0.00259822	1.54621e-06	8.4222e-05	0.96
37	0.00389958	0.00250023	0.0022838	2.22101e-06	2.82047e-16	0.00386655	0.00255836	0.00236479	1.22093e-06	7.33962e-05	0.94
38	0.00322518	0.00202289	0.00191135	1.63977e-06	2.84353e-16	0.00320965	0.00207899	0.00200287	8.48533e-07	6.27479e-05	0.94
39	0.00307975	0.00197633	0.00179947	1.37505e-06	2.88275e-16	0.00304891	0.00202093	0.00186086	7.10604e-07	5.67547e-05	0.94
40	0.00270799	0.00171935	0.0015859	1.14367e-06	2.85192e-16	0.00267945	0.00176637	0.00164099	5.64024e-07	5.00073e-05	1
41	0.00227978	0.00144864	0.00134023	7.90282e-07	2.84434e-16	0.00226825	0.00148457	0.00140349	4.2437e-07	4.10917e-05	0.98
42	0.00208319	0.00133836	0.00122381	6.17356e-07	2.82767e-16	0.00207196	0.00136997	0.00126992	3.40453e-07	3.41169e-05	0.92
43	0.00188539	0.001207	0.00109212	6.43568e-07	2.83544e-16	0.00188355	0.00122979	0.00115627	4.29339e-07	2.93481e-05	0.98
44	0.00150678	0.000963693	0.000881251	3.50621e-07	2.7929e-16	0.00147276	0.000964856	0.000911093	1.83775e-07	2.40978e-05	0.96
45	0.00143949	0.000928886	0.000837054	3.0529e-07	2.86205e-16	0.00141052	0.000932626	0.000867734	1.53465e-07	2.25713e-05	0.96
46	0.00120087	0.000777909	0.000702173	2.03576e-07	2.82063e-16	0.00117759	0.00078163	0.000725229	1.09906e-07	1.7716e-05	0.94
47	0.0010523	0.000678706	0.000613926	1.80977e-07	2.80957e-16	0.00102778	0.000691505	0.000621262	8.12324e-08	1.60993e-05	0.94
