FocalLength	QR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	IAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost
79	0.114327	0.0747216	0.0692985	0.00176955	0.128141	0.0787827	0.0916799	0.000138114
80	0.103187	0.0668594	0.0650638	0.00112866	0.110504	0.0691967	0.0776556	0.000107492
81	0.107368	0.068064	0.0668598	0.00208153	0.110063	0.0712454	0.0753075	0.000115442
82	0.102651	0.0646124	0.063568	0.0019449	0.110147	0.0674915	0.0781053	0.000113554
83	0.099735	0.0630629	0.0603399	0.00183512	0.109031	0.0678014	0.0760992	0.000102789
84	0.0979335	0.0623152	0.060747	0.00121721	0.10215	0.0649176	0.0704414	0.000102784
85	0.0953103	0.060713	0.0582783	0.00126212	0.103122	0.0656597	0.0713739	0.000104051
86	0.101854	0.062977	0.0641869	0.00165052	0.102876	0.0648995	0.0715915	9.51864e-05
87	0.0975578	0.0628	0.0612796	0.00108717	0.101392	0.0651319	0.07001	9.1719e-05
88	0.0981657	0.0648222	0.0586392	0.0011692	0.104036	0.0673919	0.0706889	9.38571e-05
89	0.0946209	0.0584935	0.0603754	0.00134083	0.10243	0.0634893	0.0727542	8.57867e-05
90	0.100515	0.0647285	0.0620021	0.00112523	0.10935	0.0708061	0.0737396	9.24935e-05
91	0.115311	0.0729126	0.0731766	0.00168726	0.124006	0.077916	0.0872905	8.79476e-05
92	0.0954577	0.0602491	0.0603868	0.00130697	0.102574	0.0644581	0.0722587	7.59784e-05
93	0.092641	0.0593405	0.0562264	0.00132909	0.0986798	0.0631004	0.0679771	7.64313e-05
94	0.0936718	0.059757	0.058412	0.0012363	0.0977187	0.062377	0.0676359	7.26635e-05
95	0.101775	0.0652858	0.0614901	0.00165573	0.109408	0.06786	0.076453	8.23697e-05
96	0.0915051	0.0590003	0.0560103	0.00120561	0.0955025	0.0611842	0.0649096	6.97274e-05
97	0.0837379	0.0537679	0.050955	0.00111153	0.0929603	0.0578939	0.0657633	7.15653e-05
98	0.0868991	0.0568811	0.053596	0.000866017	0.0918663	0.0602475	0.0615778	6.12189e-05
99	0.106142	0.0624696	0.0686384	0.00513908	0.106856	0.0631262	0.0766229	0.00164875
100	0.0891768	0.0567781	0.056145	0.00115077	0.0916542	0.0572987	0.0649162	7.14193e-05
101	0.0904062	0.0553772	0.0570428	0.00155723	0.0929933	0.0574786	0.0662332	5.50356e-05
102	0.071946	0.0448861	0.0448026	0.000904735	0.0790968	0.0483697	0.056459	6.23577e-05
103	0.0768104	0.049677	0.0478454	0.000722467	0.0817704	0.0506335	0.0583201	5.70556e-05
104	0.0642726	0.0380653	0.0428893	0.00064227	0.0703723	0.0415411	0.0512955	5.71608e-05
105	0.0838818	0.0527958	0.0509494	0.00127563	0.089969	0.0550911	0.0643252	6.17687e-05
106	0.0827423	0.0533267	0.0498682	0.00108911	0.0881292	0.0570134	0.0599811	5.73281e-05
107	0.0808745	0.0500965	0.0497756	0.00135945	0.0816721	0.0510355	0.0576704	5.37337e-05
108	0.087347	0.0529924	0.0559306	0.00126663	0.0934392	0.056634	0.0671907	5.37465e-05
109	0.0814301	0.0500182	0.0503068	0.00120379	0.0836163	0.051767	0.0593764	5.09861e-05
110	0.0989662	0.0633542	0.0609802	0.00171933	0.101869	0.065883	0.0693163	5.09142e-05
111	0.0649028	0.0418629	0.0410664	0.000461406	0.0707924	0.0451892	0.0494586	4.71216e-05
112	0.0753911	0.0458255	0.0482153	0.000974345	0.085661	0.049952	0.0632128	5.20717e-05
113	0.0689803	0.0434805	0.0434916	0.000540741	0.0752179	0.0462427	0.05369	5.01237e-05
114	0.0783572	0.049071	0.049894	0.000900249	0.083131	0.0513369	0.0590807	4.48763e-05
115	0.0638437	0.0416713	0.0374383	0.000714583	0.0692186	0.0443658	0.0478803	4.23695e-05
116	0.0624619	0.0404213	0.0386324	0.000426223	0.0647852	0.0413881	0.0445621	3.90685e-05
117	0.0621886	0.0387162	0.0387005	0.000578124	0.0622961	0.0393457	0.0427403	3.56759e-05
118	0.0710657	0.0436989	0.0448392	0.000928891	0.0747652	0.0473435	0.0517151	4.13342e-05
119	0.0647988	0.0400283	0.0412111	0.000556453	0.068734	0.0426737	0.0484646	4.00288e-05
120	0.0757021	0.0480672	0.0456669	0.00126406	0.0780924	0.0493943	0.0541872	3.70162e-05
121	0.068055	0.0436037	0.0415358	0.000783176	0.0719087	0.0460363	0.0498073	3.47432e-05
122	0.117168	0.0715406	0.0784853	0.0082069	0.120224	0.0739511	0.0850904	0.00468301
123	0.0698728	0.0455472	0.0421481	0.000883499	0.0775479	0.0506938	0.0527351	3.58154e-05
124	0.072722	0.0471062	0.043853	0.00110998	0.0773167	0.048796	0.0543871	3.37226e-05
125	0.0723249	0.045367	0.0445306	0.00101426	0.0760038	0.0480645	0.05288	3.46487e-05
126	0.0640884	0.0397758	0.0408577	0.000655451	0.066788	0.0415843	0.0473811	3.75697e-05
127	0.0684066	0.0423496	0.0429142	0.000906293	0.0718318	0.0447008	0.0507577	3.36834e-05
