FocalLength	QRloss	IACloss
10	0.241655	0.437198
11	0.214402	0.396471
12	0.205096	0.34219
13	0.19001	0.32064
14	0.244951	0.425619
15	0.119156	0.232214
16	0.145954	0.202674
17	0.213136	0.321184
18	0.180868	0.292902
19	0.153642	0.232051
20	0.107091	0.16721
21	0.127954	0.22329
22	0.138279	0.194523
23	0.123712	0.171997
24	0.138267	0.19838
25	0.0621166	0.103568
26	0.0551593	0.0891597
27	0.0832396	0.126969
28	0.113416	0.137608
29	0.0733748	0.107103
30	0.0548462	0.0812189
31	0.104527	0.138594
32	0.0330916	0.0584032
33	0.0542243	0.0987983
34	0.0650819	0.103752
35	0.0723886	0.0841281
36	0.0524861	0.0826055
37	0.0354255	0.0626496
38	0.0397644	0.0671028
39	0.044702	0.0628028
40	0.0558356	0.0883284
41	0.0365028	0.0557475
42	0.033503	0.0510793
43	0.0281006	0.0515877
44	0.0221699	0.0443796
45	0.0450938	0.0567527
46	0.0553498	0.0693752
47	0.0383202	0.0476106
48	0.0260629	0.0422601
49	0.029926	0.0462915
50	0.0293363	0.0394962
51	0.0265526	0.0446029
52	0.0432318	0.0584302
53	0.0109869	0.025555
54	0.0227628	0.03864
55	0.0180699	0.0335717
56	0.0381759	0.0673706
57	0.0281643	0.0484195
58	0.0163177	0.032621
59	0.0185114	0.0279461
60	0.0269457	0.0375169
61	0.0186318	0.0282699
62	0.0198759	0.0303568
63	0.011046	0.0212549
64	0.0211587	0.0355591
65	0.0158116	0.0271136
66	0.0170623	0.0323348
67	0.0140791	0.0216771
68	0.0218173	0.0312076
69	0.0120483	0.0184874
70	0.0255953	0.0317505
71	0.0159028	0.0259291
72	0.00885792	0.0182188
73	0.0160839	0.0238814
74	0.0161001	0.0258623
75	0.0151164	0.0244733
76	0.0180914	0.0314259
77	0.0252346	0.0316185
78	0.0197102	0.0283232
79	0.00848076	0.0143065
80	0.00993184	0.016737
81	0.00588814	0.0132875
82	0.0149616	0.021874
83	0.0148086	0.0220865
84	0.0083317	0.0139426
85	0.0123399	0.0218649
86	0.0111968	0.01604
87	0.00515328	0.0162007
88	0.0107116	0.0180869
89	0.0117952	0.016826
90	0.0106722	0.0157893
91	0.00866727	0.015041
92	0.0127072	0.0192717
93	0.0162486	0.021606
94	0.0095731	0.0150625
95	0.00765963	0.0139276
96	0.00913402	0.0138135
97	0.0103421	0.0145295
98	0.00711163	0.0140012
99	0.00811738	0.013508
100	0.00489919	0.0108331
101	0.00659251	0.010784
102	0.00761787	0.011813
103	0.00400007	0.00789979
104	0.00781402	0.0111867
105	0.00904956	0.0126752
106	0.00612988	0.0135843
107	0.00559532	0.0117904
108	0.00574318	0.0109123
109	0.00577223	0.00933674
110	0.00479925	0.00952605
111	0.00733336	0.0129298
112	0.00558131	0.0123539
113	0.00323534	0.00750893
114	0.00480067	0.00944114
115	0.0103349	0.0202452
116	0.00546478	0.0116102
117	0.00616715	0.0108945
118	0.0386364	0.053468
119	0.00652607	0.0121565
120	0.0054484	0.00851194
121	0.0037545	0.0080769
122	0.00318919	0.00864375
123	0.00537379	0.00936925
124	0.0134776	0.019274
125	0.00706965	0.0117503
126	0.00532061	0.0083347
127	0.0110764	0.0154234
128	0.00664336	0.0101581
129	0.00575162	0.0101613
130	0.00427818	0.00853235
131	0.00559295	0.0098203
132	0.00595678	0.00868227
133	0.00249507	0.00601341
134	0.0165506	0.023095
135	0.00799001	0.0120597
136	0.00623107	0.00989992
137	0.00474018	0.00902507
138	0.00530753	0.0093394
139	0.00213301	0.00521964
140	0.00333269	0.00698406
141	0.00575378	0.00882216
142	0.00381694	0.0069947
143	0.00615547	0.00976
144	0.00557267	0.0095926
145	0.00385173	0.00837369
146	0.00496415	0.0083241
147	0.00510209	0.0107312
148	0.00458897	0.00854603
149	0.00351884	0.00881912
150	0.00809931	0.0105031
151	0.00340369	0.00766876
152	0.00168579	0.00469372
153	0.00361581	0.00578598
154	0.00521701	0.00794377
155	0.00408308	0.00772498
156	0.0075665	0.0103672
157	0.00367328	0.00831123
158	0.00380766	0.00546397
159	0.00432235	0.0063251
160	0.00241115	0.00568158
161	0.00408859	0.00684555
162	0.00873977	0.0103369
163	0.00325805	0.0059704
164	0.00410738	0.00677255
165	0.00266964	0.00455514
166	0.00457758	0.00652682
167	0.00402334	0.00690317
168	0.00405377	0.00593331
169	0.00552335	0.00723326
170	0.00368697	0.00581274
171	0.00337396	0.00751116
172	0.00310537	0.00533614
173	0.00321212	0.00625892
174	0.00638181	0.00805983
175	0.00341976	0.00583512
