FocalLength	QRloss	IACloss
10	0.407211	0.598404
11	0.627509	0.758704
12	0.268205	0.351673
13	0.409126	0.398532
14	0.282799	0.269695
15	0.541975	0.677133
16	0.304552	0.344895
17	0.282085	0.321944
18	0.309641	0.387009
19	0.496345	0.628732
20	0.312568	0.351836
21	0.402099	0.49226
22	0.294614	0.310107
23	0.303438	0.356649
24	0.34176	0.41755
25	0.286542	0.291293
26	0.359952	0.3967
27	0.405306	0.426734
28	0.33715	0.409908
29	0.237053	0.277983
30	0.241896	0.309024
31	0.143829	0.166356
32	0.286061	0.271524
33	0.407206	0.445082
34	0.279775	0.319692
35	0.231556	0.241118
36	0.345625	0.427659
37	0.446451	0.42773
38	0.253738	0.353067
39	0.136711	0.110358
40	0.181417	0.238538
41	0.173059	0.167062
42	0.141787	0.143502
43	0.261782	0.368792
44	0.13156	0.131045
45	0.0668225	0.120829
46	0.348355	0.348373
47	0.1674	0.204323
48	0.116654	0.124245
49	0.0763646	0.115473
50	0.115028	0.0893103
51	0.0686818	0.0711822
52	0.0482044	0.0588852
53	0.163402	0.196399
54	0.133292	0.179853
55	0.334295	0.307785
56	0.354434	0.325848
57	0.186373	0.224811
58	0.368838	0.329558
59	0.0809698	0.0846312
60	0.335952	0.257279
61	0.0294851	0.03233
62	0.181076	0.19586
63	0.132969	0.173346
64	0.111127	0.108333
65	0.0870504	0.0769986
66	0.0967913	0.111103
67	0.182099	0.1864
68	0.093058	0.134674
69	0.263155	0.265798
70	0.0213983	0.0294455
71	0.279714	0.25647
72	0.0626183	0.0588569
73	0.16921	0.171709
74	0.28376	0.232057
75	0.199803	0.217583
76	0.0528324	0.0682268
77	0.0426571	0.0423137
78	0.0328673	0.0456304
79	0.203797	0.232137
80	0.143946	0.156454
81	0.128669	0.117815
82	0.0893762	0.0931381
83	0.0852691	0.0866601
84	0.0655585	0.0600888
85	0.0440797	0.0471262
86	0.101878	0.108418
87	0.247639	0.226818
88	0.0882932	0.0911786
89	0.0947674	0.0949175
90	0.0482589	0.0750605
91	0.112355	0.151701
92	0.0584813	0.0609608
93	0.0633914	0.115569
94	0.0714675	0.0693165
95	0.0467004	0.0750389
96	0.0859788	0.0957662
97	0.0833494	0.0864678
98	0.0155161	0.0162014
99	0.0156127	0.0211181
100	0.0772793	0.0754229
101	0.0588978	0.0550572
102	0.136862	0.146501
103	0.026737	0.0286965
104	0.0605089	0.0630819
105	0.0228056	0.0302501
106	0.194038	0.0698961
107	0.103592	0.110268
108	0.0565748	0.057151
109	0.0718864	0.0696892
110	0.10434	0.126703
111	0.0408794	0.0319847
112	0.0196136	0.0189045
113	0.0658824	0.0727152
114	0.0384866	0.0508581
115	0.012154	0.0125404
116	0.067989	0.0735718
117	0.104875	0.111202
118	0.187367	0.154799
119	0.00758232	0.011959
120	0.118931	0.123703
121	0.0768209	0.0769569
122	0.0333732	0.0320307
123	0.0182943	0.0216199
124	0.111023	0.111944
125	0.0292857	0.0314678
126	0.0299522	0.0561766
127	0.0590316	0.0521406
128	0.0671378	0.0901441
129	0.0101813	0.0133811
130	0.105946	0.106588
131	0.114844	0.0996351
132	0.106887	0.114983
133	0.0244645	0.0270905
134	0.0381755	0.0490727
135	0.0411553	0.0457373
136	0.0488715	0.0512862
137	0.0134367	0.0139641
138	0.0689137	0.076249
139	0.0524918	0.06072
140	0.0273595	0.0293966
141	0.0910368	0.0854413
142	0.104805	0.111781
143	0.0451703	0.0356083
144	0.136782	0.136002
145	0.064259	0.0199591
146	0.040363	0.0389395
147	0.134306	0.115377
148	0.0342622	0.0359691
149	0.134314	0.100938
150	0.0667363	0.0704114
151	0.0760679	0.0804945
152	0.00950412	0.0124159
153	0.0369524	0.0364471
154	0.0696427	0.0790864
155	0.0109044	0.01054
156	0.0363368	0.0495242
157	0.0542379	0.0572124
158	0.0146852	0.0139787
159	0.0347229	0.0188445
160	0.0270994	0.0245543
161	0.00850873	0.00998219
162	0.0187263	0.0191638
163	0.0395489	0.0113449
164	0.0136269	0.0125046
165	0.014402	0.0167322
166	0.357613	0.248843
167	0.0170658	0.0223025
168	0.0221989	0.0235891
169	0.0220486	0.0236172
170	0.00999638	0.0110696
171	0.0256292	0.0295429
172	0.0153977	0.0172658
173	0.0326943	0.0327466
174	0.0829458	0.0929976
175	0.0360474	0.0371419
176	0.0377593	0.0402987
177	0.0467009	0.0340575
178	0.0257504	0.0258122
179	0.0693725	0.0855066
180	0.0200056	0.0174146
181	0.00708611	0.00734591
182	0.15912	0.152426
183	0.0257141	0.0215973
184	0.0731803	0.0649559
185	0.024132	0.0271227
186	0.0765053	0.0806645
187	0.0308996	0.0342587
188	0.115611	0.168198
189	0.0109665	0.0108203
190	0.0312375	0.0330481
191	0.0336608	0.0326291
192	0.0485757	0.0461275
193	0.0401593	0.0501128
194	0.0780023	0.0823645
195	0.0634112	0.0649193
196	0.062271	0.0622076
197	0.0152404	0.0136483
198	0.0135775	0.0139898
199	0.0778907	0.0820126
200	0.0359013	0.0411393
201	0.0424683	0.0387678
202	0.0176929	0.0205396
203	0.0349678	0.0365428
204	0.0832896	0.0677794
205	0.0394991	0.038115
206	0.0579651	0.0591225
207	0.044063	0.0431612
208	0.0563864	0.0511022
209	0.04281	0.0703608
210	0.0576801	0.0553462
211	0.0165798	0.019708
212	0.0110172	0.0102392
213	0.0159954	0.0138399
214	0.0268211	0.0148932
215	0.02902	0.0327677
216	0.0337342	0.0342581
217	0.021464	0.0227465
218	0.0179639	0.0194823
219	0.020144	0.0220689
220	0.0180366	0.0222762
221	0.0941692	0.0950784
222	0.0485535	0.0430483
223	0.0252229	0.0257253
224	0.0712835	0.0713409
225	0.213507	0.15991
226	0.0909201	0.0774411
227	0.0190328	0.0203946
228	0.0441947	0.0463941
229	0.00873217	0.0111098
230	0.127255	0.143736
231	0.0725866	0.0656852
232	0.0977717	0.0901842
233	0.224212	0.227457
234	0.0594152	0.0402283
235	0.0857002	0.102574
236	0.0228149	0.0267535
237	0.0278867	0.023465
238	0.0692211	0.050798
239	0.0790663	0.081465
240	0.0298458	0.0295023
241	0.125836	0.130253
242	0.0303798	0.0258827
243	0.00971364	0.0115648
244	0.0236183	0.0235451
245	0.0300103	0.0324804
246	0.099325	0.119462
247	0.0248972	0.024661
248	0.00542414	0.00788324
249	0.0285276	0.0252162
250	0.186635	0.0421648
251	0.0691587	0.076079
252	0.0290708	0.0272856
253	0.0134656	0.0154033
254	0.0619916	0.0369213
255	0.0461023	0.0693458
256	0.0631635	0.056534
257	0.0229503	0.0194616
258	0.024004	0.0234532
259	0.068568	0.0683155
260	0.323414	0.123137
261	0.0190102	0.01811
262	0.0301818	0.0276526
263	0.089754	0.101087
264	0.188214	0.193937
265	0.0265168	0.0351096
266	0.0778772	0.0673818
267	0.0316007	0.0433197
268	0.110308	0.0436916
269	0.0436501	0.0367105
270	0.0235231	0.0259949
271	0.147762	0.181729
272	0.0283153	0.0270056
273	0.0289302	0.0283116
274	0.0102516	0.00995694
275	0.00817575	0.00827287
276	0.0269238	0.0269961
277	0.061739	0.0627758
278	0.0376384	0.0335707
279	0.0659143	0.0660807
280	0.0156667	0.0205861
281	0.027638	0.0274859
282	0.0572768	0.059187
283	0.0414819	0.0452778
284	0.0426593	0.0437005
285	0.0351244	0.0378713
286	0.129993	0.124956
287	0.106132	0.123077
288	0.0237502	0.0238662
289	0.0293352	0.0368584
290	0.0328739	0.0328373
291	0.0377656	0.040788
292	0.0421084	0.0401381
293	0.00945667	0.0104206
294	0.0502336	0.0372857
295	0.206807	0.141348
296	0.0891914	0.101699
297	0.0574325	0.049309
298	0.0212093	0.0185606
299	0.0257172	0.0254481
