TranslationRange	QR_Kcost	maxQR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRtcost	IAC_Kcost	maxIAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRtcost	Rank3Rate
17.1791	0.0052015	0.00794272	0.00166047	0.00152488	1.03891e-06	2.86314e-16	0.00511439	0.0095792	0.0016671	0.00159493	5.32581e-07	4.71363e-05	0.94
18.6209	0.00508262	0.00930918	0.0016121	0.00149989	9.92806e-07	2.84299e-16	0.00501615	0.0133155	0.00164507	0.00155399	5.10991e-07	4.92202e-05	0.96
20.1837	0.00494206	0.0125624	0.00156896	0.00142922	1.17017e-06	2.82815e-16	0.00464733	0.0132563	0.00152801	0.00141613	4.72737e-07	4.87046e-05	0.96
21.8776	0.00510344	0.00854375	0.00162116	0.00148961	1.00758e-06	2.8851e-16	0.00496263	0.0105162	0.00162505	0.00153212	5.08166e-07	4.73982e-05	0.96
23.7137	0.00543518	0.010409	0.00171526	0.00161321	1.11292e-06	2.82235e-16	0.00534201	0.0140293	0.00175176	0.00165821	5.61333e-07	5.18722e-05	0.98
25.704	0.00487898	0.00775059	0.00152583	0.00146431	8.79164e-07	2.85909e-16	0.00478491	0.0112042	0.00152926	0.00149761	5.11833e-07	4.13988e-05	0.92
27.8612	0.00495801	0.00838021	0.00157835	0.00145264	9.34572e-07	2.83834e-16	0.0048722	0.0096351	0.00158666	0.00150513	5.16461e-07	4.4119e-05	0.96
30.1995	0.00530282	0.00842844	0.00166954	0.00159184	1.05101e-06	2.80984e-16	0.00514271	0.0117276	0.00168194	0.0015932	5.32372e-07	4.77779e-05	0.94
32.7341	0.00503455	0.00831461	0.00159153	0.0014879	9.58462e-07	2.85874e-16	0.0051349	0.0111716	0.00166999	0.00158949	5.52853e-07	4.607e-05	0.96
35.4813	0.00508044	0.00929397	0.00162068	0.00147969	1.03302e-06	2.87368e-16	0.00509607	0.0127227	0.00166997	0.00157404	5.30912e-07	4.54291e-05	0.94
38.4592	0.00546657	0.0104056	0.00176671	0.00158559	1.12985e-06	2.8339e-16	0.00544472	0.0138656	0.00179698	0.00167587	5.60671e-07	5.03872e-05	0.98
41.6869	0.00523801	0.00918064	0.00165363	0.00154344	1.04665e-06	2.80713e-16	0.0051816	0.012389	0.00169407	0.0016065	5.43963e-07	4.85746e-05	0.96
45.1856	0.00488681	0.00805854	0.00155836	0.00142037	9.83464e-07	2.85443e-16	0.00490304	0.0133271	0.0016076	0.00151146	4.99285e-07	4.68245e-05	0.98
48.9779	0.00528673	0.00971918	0.00169633	0.00155346	1.01819e-06	2.84553e-16	0.00521563	0.0129273	0.001693	0.00162949	5.5242e-07	4.53726e-05	0.92
53.0884	0.00518993	0.012391	0.00164363	0.00153792	1.01032e-06	2.85827e-16	0.00511091	0.0152963	0.00166817	0.0015839	5.25834e-07	4.6938e-05	0.98
57.544	0.00508421	0.00782505	0.00162213	0.0014885	9.67174e-07	2.84976e-16	0.00502842	0.0113288	0.00165685	0.00153983	5.26828e-07	4.65753e-05	0.94
