FocalLength	QR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	IAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost
108	0.0224935	0.0142687	0.012987	0.000413763	0.0117611	0.00769295	0.00769189	7.25765e-06
109	0.0235042	0.0139642	0.0142935	0.000529995	0.0110375	0.00737349	0.00728285	4.25011e-06
110	0.0277131	0.0171892	0.0170057	0.000773416	0.0110178	0.00709888	0.00744232	4.79842e-06
111	0.0452145	0.0211706	0.0318384	0.0196911	0.0109492	0.0072414	0.00719907	2.84479e-06
112	0.027091	0.0159528	0.0165261	0.00129543	0.0119138	0.00804026	0.00782337	3.03613e-06
113	0.0303498	0.0200526	0.015165	0.00466544	0.011381	0.00798682	0.00711499	3.91475e-06
114	0.0324723	0.02072	0.0186892	0.00542018	0.0126804	0.00808325	0.00845511	3.78044e-06
115	0.0452439	0.0268229	0.0284456	0.0055934	0.0126728	0.00874403	0.00803761	1.69573e-05
116	0.0494186	0.0263547	0.0335361	0.0200925	0.0129094	0.00849771	0.00866861	6.77988e-06
117	0.0403961	0.0285505	0.0213474	0.00168742	0.0139084	0.00942933	0.00879807	5.49339e-06
118	0.0347912	0.0227705	0.0189895	0.00211597	0.0145278	0.00998572	0.00925514	5.65569e-06
119	0.0429753	0.0184779	0.0315043	0.0132862	0.0116428	0.00763091	0.0078932	8.91287e-06
120	0.0439933	0.0288596	0.0267798	0.00595882	0.0127175	0.0088951	0.00813054	3.90771e-06
121	0.0425201	0.0194023	0.0303778	0.0084731	0.0127232	0.00926584	0.00762658	2.12917e-05
122	0.0686447	0.0252365	0.0516025	0.0383183	0.0138157	0.00953391	0.0088275	1.09631e-05
123	0.044154	0.0253576	0.0218165	0.0105612	0.0122291	0.00871969	0.00764512	2.99193e-06
124	0.036829	0.0226892	0.0229713	0.00118664	0.0119551	0.00826219	0.00776566	2.74806e-06
125	0.0284366	0.0171481	0.01671	0.00170424	0.014036	0.0102477	0.0081998	1.40023e-06
126	0.026634	0.0153852	0.0150698	0.00500595	0.0124319	0.00809298	0.00832633	2.55871e-06
127	0.0297622	0.0180309	0.0188194	0.00040972	0.0122707	0.00756516	0.00859398	2.23213e-06
128	0.0475476	0.0311286	0.0244001	0.00885052	0.022184	0.0155677	0.0137531	3.06612e-06
129	0.0357556	0.0231298	0.0199987	0.00363245	0.0134455	0.00944983	0.0083403	2.01385e-06
130	0.0501166	0.0321978	0.0198697	0.0257075	0.013531	0.00936098	0.0083395	1.45304e-06
131	0.0514565	0.0344609	0.0286371	0.0136307	0.0116895	0.00846361	0.00695658	3.83501e-06
132	0.0567538	0.0362562	0.0363288	0.0061718	0.0133596	0.00900652	0.00896142	2.63548e-06
133	0.0296347	0.0180843	0.0179352	0.00074168	0.0127696	0.00838723	0.00835053	4.05834e-06
134	0.0517534	0.0264319	0.0366776	0.00775276	0.0144374	0.00976756	0.00961145	1.95086e-06
135	0.0651442	0.044255	0.0341891	0.00989187	0.0135995	0.00864318	0.00934021	1.6729e-06
136	0.055618	0.035005	0.0172423	0.0779748	0.0147758	0.00952155	0.00998281	3.89759e-06
137	0.0484459	0.0263938	0.0312855	0.00858239	0.0131605	0.00931503	0.0081646	2.78728e-06
138	0.0432183	0.0299146	0.0262351	0.000269823	0.0153146	0.0107764	0.00971114	9.4718e-06
139	0.038686	0.0246464	0.0243886	0.00201546	0.0139224	0.00993398	0.00837329	3.72417e-06
140	0.035176	0.0244073	0.0194013	0.000966193	0.014554	0.0105503	0.00874972	9.28452e-07
141	0.0705188	0.0375052	0.0476957	0.0368245	0.0142851	0.0105562	0.00863972	2.41359e-06
142	0.0305668	0.0183024	0.0196273	0.000799073	0.0140505	0.00898443	0.00933839	6.5712e-06
143	0.0529217	0.0325711	0.0320235	0.0111798	0.0148974	0.0106578	0.00912191	2.50041e-06
144	0.105546	0.0480241	0.0758154	0.02338	0.0200442	0.0155295	0.0113069	4.11228e-06
145	0.0472219	0.0316528	0.0288142	0.00198715	0.0192841	0.0128284	0.0131884	2.16286e-06
146	0.0599143	0.038429	0.0312801	0.00856103	0.0188399	0.0125806	0.0128486	3.32524e-06
147	0.0506859	0.0270606	0.0330639	0.00578971	0.0150285	0.0103782	0.00973676	4.58588e-06
148	0.0414765	0.0264695	0.0232417	0.00158193	0.0204145	0.0146766	0.0119062	7.04538e-06
149	0.0314352	0.0204326	0.0178531	0.000359373	0.0170286	0.0122183	0.0108459	6.85953e-07
150	0.0337539	0.0220059	0.0208337	0.000662748	0.0201932	0.0157858	0.0113407	2.13777e-06
151	0.0383365	0.0221136	0.0243678	0.000761593	0.0180093	0.0114041	0.0120546	4.94458e-06
152	0.0336356	0.0212812	0.0212532	0.000259608	0.0175248	0.0118475	0.0117879	2.45826e-06
