FocalLength	QR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	IAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost
10	1.46765	0.88505	0.876356	0.844253	0.58185	0.355625	0.389806	0.0239145
11	1.16918	0.663677	0.692639	0.54419	0.532974	0.322908	0.36594	0.0196659
12	1.22224	0.714664	0.764267	0.482239	0.5122	0.302441	0.355399	0.0152234
13	1.28125	0.728537	0.779801	0.544372	0.488886	0.291058	0.33862	0.0144814
14	1.20494	0.722632	0.7166	0.767469	0.473442	0.284136	0.331725	0.0110176
15	1.00747	0.592954	0.600378	0.456864	0.443144	0.267508	0.309808	0.00887059
16	1.20426	0.726058	0.727118	0.677553	0.468532	0.287457	0.326851	0.00802197
17	1.04356	0.582698	0.650371	0.519662	0.429245	0.25557	0.304272	0.00766619
18	0.943214	0.546759	0.57698	0.421899	0.40998	0.255252	0.280219	0.00626088
19	0.948464	0.584998	0.552445	0.432683	0.391268	0.245697	0.265604	0.00550071
20	0.979581	0.595354	0.568389	0.474946	0.364489	0.218537	0.257899	0.00498157
21	1.29399	0.730785	0.78373	1.08337	0.370554	0.221851	0.265806	0.0044071
22	1.28406	0.75458	0.727039	1.28088	0.400899	0.238639	0.288248	0.00402574
23	0.927883	0.542563	0.561801	0.350436	0.345508	0.205806	0.248307	0.00355626
24	0.699063	0.433505	0.408662	0.148263	0.333507	0.202068	0.234138	0.00328855
25	0.866858	0.509672	0.495952	0.827437	0.334022	0.197646	0.239939	0.00295486
26	1.04964	0.618321	0.62972	0.558936	0.333528	0.202132	0.237831	0.00247567
27	1.2298	0.739438	0.698684	0.9668	0.317505	0.193661	0.225079	0.00255178
28	0.826867	0.498054	0.480298	0.316645	0.309584	0.195112	0.212707	0.00204998
29	0.70655	0.402346	0.440517	0.439679	0.314749	0.194631	0.219798	0.00195404
30	0.653651	0.369768	0.409589	0.174588	0.304429	0.182995	0.218667	0.00186162
31	0.709841	0.427175	0.419924	0.237092	0.271779	0.168736	0.188963	0.00163211
32	1.32445	0.760264	0.795457	8.37003	0.289655	0.182559	0.199012	0.00161369
33	1.26692	0.716603	0.791304	1.17963	0.278261	0.172817	0.196525	0.00139589
34	0.746122	0.443253	0.440246	0.342606	0.27272	0.168262	0.191348	0.0012647
35	1.52362	0.888297	0.87151	6.4613	0.267069	0.165338	0.188252	0.00127491
36	1.58733	0.959657	0.892778	3.77668	0.266495	0.162601	0.190026	0.00118888
37	0.756792	0.444574	0.446547	0.378274	0.247267	0.154533	0.169797	0.00112611
38	0.575881	0.340141	0.357441	0.113708	0.266924	0.165452	0.187459	0.00099103
39	0.631888	0.356276	0.381666	0.326077	0.223817	0.132132	0.163186	0.000933612
40	0.669334	0.391528	0.400825	0.374494	0.251978	0.159001	0.175205	0.000815534
41	0.650894	0.398391	0.369424	0.23267	0.222144	0.135227	0.156735	0.000804346
42	0.809977	0.502939	0.458557	0.589721	0.245629	0.158325	0.166367	0.000807933
43	0.725489	0.421404	0.472243	0.21557	0.242587	0.148472	0.171447	0.000796214
44	0.86711	0.512275	0.526868	0.796349	0.232006	0.150338	0.158011	0.000642472
45	0.664665	0.401178	0.390672	0.305695	0.202675	0.120657	0.145475	0.000632519
46	0.632177	0.384407	0.374168	0.220786	0.235328	0.141143	0.170062	0.000668176
47	0.726819	0.410826	0.426279	0.540321	0.217565	0.131853	0.155448	0.000617539
48	0.606085	0.362106	0.334007	0.290414	0.197134	0.118546	0.142034	0.000550925
49	0.714489	0.405566	0.44007	0.317747	0.205555	0.128994	0.143054	0.000515116
50	0.617022	0.365646	0.377502	0.206266	0.216774	0.130736	0.153977	0.000517952
51	0.563576	0.329455	0.352225	0.170022	0.183661	0.111161	0.131021	0.000474536
52	0.877486	0.532644	0.474445	1.09664	0.196851	0.12003	0.139366	0.000412285
53	0.411485	0.250314	0.238064	0.105213	0.169116	0.105702	0.117134	0.000364301
54	0.57785	0.333172	0.346743	0.166853	0.183987	0.116649	0.128399	0.000379463
55	0.723512	0.412745	0.450609	0.306623	0.193484	0.121107	0.133538	0.000399511
56	0.900309	0.540449	0.534944	0.681456	0.167652	0.103153	0.118498	0.000368468
57	0.491769	0.294378	0.288638	0.124639	0.199873	0.126868	0.13901	0.000341269
58	0.306183	0.177999	0.187697	0.0344212	0.143177	0.0887113	0.0996798	0.000290144
59	0.670103	0.408599	0.400878	0.286406	0.170391	0.106402	0.119818	0.000318899
60	2.63293	1.44588	1.32873	58.2404	0.188562	0.118006	0.1334	0.000282232
61	1.33457	0.732771	0.813482	7.51532	0.150597	0.0924047	0.107091	0.000283544
62	0.712204	0.419691	0.401532	1.17669	0.168157	0.107799	0.115064	0.000271821
63	0.369561	0.224927	0.222454	0.0382581	0.156378	0.098148	0.109489	0.000260421
64	0.522012	0.326138	0.294366	0.117021	0.149183	0.0927894	0.106011	0.000231508
65	0.805562	0.49713	0.462302	0.504031	0.137278	0.0853188	0.0964712	0.000213229
66	0.465487	0.272432	0.27381	0.186394	0.147209	0.0939048	0.101349	0.000216064
67	1.32178	0.675459	0.824085	10.5807	0.149616	0.0943236	0.103901	0.000191971
68	0.619711	0.345717	0.388522	0.382148	0.161824	0.102215	0.113132	0.000208373
69	0.54164	0.322012	0.318462	0.158343	0.146835	0.0939968	0.101429	0.000201714
70	0.741474	0.427874	0.442209	0.554161	0.139289	0.0878573	0.0971758	0.000189208
71	0.391775	0.242111	0.22782	0.114378	0.130555	0.0826181	0.0905996	0.000185857
72	0.543961	0.326905	0.316707	0.259423	0.132154	0.0850896	0.0908711	0.000154211
73	0.565018	0.34643	0.315691	0.661606	0.134293	0.0840586	0.0936732	0.000163263
74	0.473924	0.293842	0.260274	0.240992	0.139686	0.0907162	0.0953951	0.000139536
75	0.3074	0.179709	0.186358	0.0469693	0.124936	0.0760306	0.0889557	0.000141877
76	0.518848	0.320706	0.310139	0.209003	0.140587	0.0908257	0.0955873	0.00013464
77	0.341295	0.200909	0.206054	0.0795877	0.1086	0.0647518	0.078698	0.00013619
78	0.388051	0.21199	0.23467	0.477848	0.104995	0.0642066	0.0750213	0.000110694
79	0.560397	0.3018	0.367894	0.400583	0.109445	0.0678585	0.0773303	0.000131267
80	0.500802	0.269927	0.304028	0.53796	0.100981	0.0618394	0.0722592	0.000121425
81	0.412986	0.26531	0.231103	0.122974	0.102302	0.0630652	0.0720801	0.000116707
82	0.312497	0.191062	0.190494	0.0590715	0.108111	0.0687605	0.0753904	0.00011664
83	0.448666	0.266825	0.259274	0.214776	0.0967026	0.0573801	0.0702182	0.000109867
84	0.358152	0.202193	0.224007	0.152497	0.112393	0.0717268	0.0782909	0.000103283
85	1.1115	0.664659	0.683074	2.64001	0.105221	0.0675494	0.0724057	9.46057e-05
86	0.736652	0.384986	0.404073	3.70448	0.111845	0.0699472	0.0783811	9.52142e-05
