TranslationRange	QR_Kcost	maxQR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRtcost	IAC_Kcost	maxIAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRtcost	Rank3Rate
0.001	nan	0	-nan	-nan	-nan	nan	13322.6	4.09449e+06	6038.92	117.851	1.51041e+08	-nan	0
0.00108393	nan	0	-nan	-nan	-nan	nan	10399.6	956649	4575.79	100.851	9.88342e+07	-nan	0
0.0011749	nan	0	-nan	-nan	-nan	nan	14496.8	1.4888e+06	6548.49	127.737	2.30821e+08	-nan	0
0.0012735	nan	0	-nan	-nan	-nan	nan	21206.1	9.65919e+06	8515.68	181.237	2.1913e+10	-nan	0
0.00138038	nan	0	-nan	-nan	-nan	nan	17084.8	3.32809e+06	7538.32	156.279	1.17425e+09	-nan	0
0.00149624	nan	0	-nan	-nan	-nan	nan	21357.4	4.79893e+06	8626.87	192.371	6.84181e+09	-nan	0
0.00162181	nan	0	-nan	-nan	-nan	nan	17469.8	5.02407e+06	7558.75	172.728	2.6789e+09	-nan	0
0.00175792	nan	0	-nan	-nan	-nan	nan	11998.5	804129	5326.81	111.528	1.71651e+08	-nan	0
0.00190546	nan	0	-nan	-nan	-nan	nan	22940.8	1.15872e+07	10561.3	227.993	3.43015e+09	-nan	0
0.00206538	nan	0	-nan	-nan	-nan	nan	12712.2	908238	5598.42	123.371	1.22466e+08	-nan	0
0.00223872	nan	0	-nan	-nan	-nan	nan	16971.7	4.12221e+06	7768.93	141.938	1.03085e+09	-nan	0
0.00242661	nan	0	-nan	-nan	-nan	nan	17274.6	1.06484e+06	7669.17	153.45	4.20522e+08	-nan	0
0.00263027	nan	0	-nan	-nan	-nan	nan	17539.1	2.93373e+06	7704.9	152.417	1.11784e+09	-nan	0
0.00285102	nan	0	-nan	-nan	-nan	nan	13198.9	876335	5629.7	124.856	4.4624e+08	-nan	0
0.0030903	nan	0	-nan	-nan	-nan	nan	12115.2	2.24473e+06	5384.11	106.497	5.83234e+08	-nan	0
0.00334965	nan	0	-nan	-nan	-nan	nan	27543.9	6.64617e+06	11663.3	278.271	1.08665e+10	-nan	0
0.00363078	nan	71.436	-nan	-nan	-nan	nan	27295	6.86337e+06	12791.6	261.347	1.24838e+09	-nan	0
0.0039355	nan	0	-nan	-nan	-nan	nan	36883.7	2.50097e+07	16184.4	306.044	5.63671e+10	-nan	0
0.0042658	nan	169.178	-nan	-nan	-nan	nan	29043.9	1.61816e+07	11859.7	346.277	5.1958e+10	-nan	0
0.00462381	nan	0	-nan	-nan	-nan	nan	21736.8	1.10137e+07	9800.9	192.499	2.94513e+09	-nan	0
0.00501187	nan	529.649	-nan	-nan	-nan	nan	20203.9	7.14129e+06	8892.37	141.762	7.47954e+09	-nan	0
0.0054325	nan	169.19	-nan	-nan	-nan	nan	23626	1.43958e+07	11149.7	171.196	1.8235e+08	-nan	0
0.00588844	nan	171.456	-nan	-nan	-nan	nan	16546.7	1.12884e+06	7348.86	149.962	3.71452e+08	-nan	0
0.00638263	nan	155.537	-nan	-nan	-nan	nan	24339.6	9.84402e+06	10227.6	201.369	1.4345e+10	-nan	0
0.00691831	nan	163.572	-nan	-nan	-nan	nan	28486.2	1.32122e+07	11455	215.457	4.09967e+10	-nan	0
0.00749894	nan	347.655	-nan	-nan	-nan	nan	23097.2	1.20993e+07	9768.86	223.643	2.38046e+10	-nan	0
0.00812831	nan	833.656	-nan	-nan	-nan	nan	14509.8	1.17492e+06	6593.53	119.688	1.68429e+08	-nan	0.02
0.00881049	nan	361.981	-nan	-nan	-nan	nan	9851.67	606476	4383.34	78.2566	1.24904e+08	-nan	0
0.00954993	nan	422.698	-nan	-nan	-nan	nan	16169.9	1.63214e+06	7279.8	111.077	5.96719e+08	-nan	0
