FocalLength	QR_Kcost	maxQR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRtcost	IAC_Kcost	maxIAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRtcost
45	0.0562782	120.446	0.0316252	0.0434476	0.0239837	2.81783e-16	1.10148	3421.52	0.93286	0.0518461	1031.8	0.00126865
46	0.0675524	95.6793	0.0439865	0.045378	0.185976	2.80225e-16	3.12579	6486.8	2.93668	0.0704616	781.047	0.00194064
47	0.0238417	67.3087	0.0205785	0.0099414	0.00790754	2.81453e-16	1.16598	4003.74	0.934688	0.0256646	1652.24	0.000775223
48	0.0449628	81.5266	0.026348	0.0223147	0.860493	2.82451e-16	1.7398	3419.35	1.25509	0.0391044	2528.01	0.00134476
49	0.00435601	0.142301	0.00259149	0.00263917	1.36025e-05	2.77713e-16	0.00580622	1.93453	0.00315296	0.0037622	0.000706109	9.36877e-05
50	0.0298807	78.9223	0.0158999	0.017693	0.760361	2.76249e-16	3.99735	12525.6	3.99444	0.0519424	7.33342	0.000648367
51	0.0316263	80.6219	0.0158134	0.0244027	0.28628	2.7875e-16	1.35286	4009.82	1.31776	0.0194575	262.625	0.000870605
52	0.00467008	0.185006	0.00288604	0.00284831	8.9929e-06	2.78638e-16	0.00493192	0.946494	0.00323439	0.00283649	2.06743e-05	5.51888e-05
53	0.00484263	0.326167	0.00290003	0.00295895	1.6605e-05	2.81731e-16	0.00485231	0.295031	0.00295803	0.00305451	1.04816e-05	5.09307e-05
54	0.00484489	0.143613	0.00286906	0.00297498	1.70461e-05	2.82764e-16	0.00480692	0.126634	0.00290893	0.00296804	1.37126e-05	4.60448e-05
55	0.00508337	0.281811	0.00296054	0.00317209	2.49109e-05	2.79322e-16	0.00508464	0.279299	0.00304664	0.00316726	3.7206e-05	5.14123e-05
56	0.00461911	0.0936649	0.00276365	0.00287629	9.07278e-06	2.7967e-16	0.00466194	0.0976169	0.0028581	0.00293651	7.83204e-06	4.30125e-05
57	0.0429791	93.1201	0.023621	0.0311757	0.543609	2.7808e-16	0.551812	1354.06	0.534203	0.0251037	40.3889	0.00103286
58	0.00527261	0.16721	0.00323349	0.00319527	1.52315e-05	2.80358e-16	0.00526696	0.1674	0.00329649	0.00323532	1.21179e-05	4.62938e-05
59	0.0562369	111.192	0.0229285	0.0499257	0.0455548	2.7572e-16	31.8758	69732.5	28.3561	0.246778	463390	0.00116787
60	0.0051959	0.16877	0.00317038	0.0031953	1.11734e-05	2.74341e-16	0.00530113	0.395475	0.00330754	0.00323734	5.07379e-05	4.70217e-05
61	0.00576123	0.147678	0.00349444	0.00358752	1.72482e-05	2.73882e-16	0.00582639	0.208235	0.00363026	0.00365743	2.10871e-05	5.08806e-05
62	0.00547372	0.194142	0.00327714	0.00337618	2.29332e-05	2.79584e-16	0.00552499	0.189273	0.00335047	0.00345291	2.14192e-05	4.50804e-05
63	0.0057108	0.202155	0.00354319	0.00346142	1.84617e-05	2.79242e-16	0.00621388	1.12469	0.00401448	0.0038897	9.88982e-06	6.3846e-05
64	0.00603524	0.285056	0.00365914	0.00374922	2.91837e-05	2.81713e-16	0.00665889	1.35949	0.00386405	0.00435932	0.000199453	6.43453e-05
65	0.00544956	0.142526	0.00334825	0.00338419	1.36927e-05	2.80605e-16	0.00538298	0.144394	0.00335534	0.00342165	6.57651e-06	4.14783e-05
66	0.00555644	0.131978	0.00328057	0.00349305	1.36249e-05	2.81295e-16	0.00555292	0.203537	0.0033708	0.00353963	1.79894e-05	4.55701e-05
67	0.00556592	0.110669	0.00342983	0.00341885	1.70611e-05	2.77733e-16	0.00550563	0.116131	0.00345375	0.00345735	1.1927e-05	4.3556e-05
