TranslationRange	FocalLength	QR_Kcost	maxQR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRtcost	IAC_Kcost	maxIAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRtcost	Rank3Rate
0.001	6	nan	8.54616	-nan	-nan	-nan	nan	2825.2	48723.5	2164.08	83.5979	4.8139e+07	-nan	0.00193187
0.001	7	nan	4.23757	-nan	-nan	-nan	nan	558.142	2078.75	472.693	10.3179	136194	-nan	0.00193187
0.001	8	nan	8.43532	-nan	-nan	-nan	nan	893.162	7124.85	766.945	17.6596	587706	-nan	0.00193187
0.001	9	nan	33.0451	-nan	-nan	-nan	nan	725.511	8671.93	628.077	16.7489	229074	-nan	0.00193187
0.001	10	nan	15.0715	-nan	-nan	-nan	nan	1801.93	36811.7	1551.22	43.0098	4.75255e+06	-nan	0.00193187
0.001	11	nan	23.4152	-nan	-nan	-nan	nan	1250.13	10344.3	1088.07	26.675	1.12568e+06	-nan	0.00193187
0.001	12	nan	25.7842	-nan	-nan	-nan	nan	2891.91	214303	2661.12	68.2788	3.14658e+07	-nan	0.00193187
0.001	13	nan	85.2322	-nan	-nan	-nan	nan	3706.75	361129	3429.27	67.3124	2.78261e+07	-nan	0.00193187
0.001	14	nan	57.8555	-nan	-nan	-nan	nan	5699.97	425640	4487.85	115.091	4.90906e+08	-nan	0.00193187
0.001	15	nan	57.7227	-nan	-nan	-nan	nan	2985.69	127616	2731.04	61.0451	5.06068e+06	-nan	0.00193187
0.001	16	nan	58.463	-nan	-nan	-nan	nan	20833.9	6.05592e+06	20028.2	599.056	3.81706e+09	-nan	0.00193187
0.001	17	nan	67.7239	-nan	-nan	-nan	nan	3184.73	175363	2909.24	72.6844	1.63754e+07	-nan	0.00193187
0.001	18	nan	40.0434	-nan	-nan	-nan	nan	4888.03	375778	3732.74	117.854	4.47232e+08	-nan	0.00193187
0.001	19	nan	125.062	-nan	-nan	-nan	nan	4711.87	394515	3909.31	91.3628	1.9773e+08	-nan	0.00193187
0.001	20	nan	60.6158	-nan	-nan	-nan	nan	3526.05	194569	3147.42	64.9708	2.9486e+07	-nan	0.00193187
0.001	21	nan	82.3672	-nan	-nan	-nan	nan	4911.19	580414	4144.71	94.2333	4.61836e+08	-nan	0.00193187
0.001	22	nan	179.875	-nan	-nan	-nan	nan	6687.36	356751	6011.31	117.157	1.15038e+08	-nan	0.00193187
0.001	23	nan	163.977	-nan	-nan	-nan	nan	4327.2	195708	4001.13	73.678	1.07499e+07	-nan	0.00193187
0.001	24	nan	155.866	-nan	-nan	-nan	nan	8030.1	873930	7019.55	123.023	5.55271e+08	-nan	0.00193187
0.001	25	nan	149.886	-nan	-nan	-nan	nan	8466.12	1.10062e+06	7652.4	203.699	6.20501e+08	-nan	0.00193187
0.001	26	nan	168.124	-nan	-nan	-nan	nan	12970.1	3.64358e+06	11993	118.19	2.85042e+09	-nan	0.00193187
0.001	27	nan	214.04	-nan	-nan	-nan	nan	27922.9	8.39512e+06	26294.8	448.822	6.14039e+09	-nan	0.00193187
0.001	28	nan	232.828	-nan	-nan	-nan	nan	15764.2	2.21478e+06	14168.5	283.651	1.68585e+09	-nan	0.00193187
0.001	29	nan	523.156	-nan	-nan	-nan	nan	24186.3	4.30616e+06	19681.2	477.277	2.4779e+10	-nan	0.00193187
0.001	30	nan	108.832	-nan	-nan	-nan	nan	54419.2	1.6034e+07	49643	470.315	1.00107e+11	-nan	0.00193187
0.001	31	nan	406.412	-nan	-nan	-nan	nan	11264.2	2.01563e+06	10505.8	143.401	3.01722e+08	-nan	0.00193187
0.001	32	nan	150.865	-nan	-nan	-nan	nan	10199	698711	9101.22	143.968	3.00864e+08	-nan	0.00193187
0.001	33	nan	142.336	-nan	-nan	-nan	nan	41740	1.52558e+07	35708.9	754.831	1.37784e+11	-nan	0.00193187
0.001	34	nan	179.677	-nan	-nan	-nan	nan	9101.8	362421	8067.88	119.294	2.36873e+08	-nan	0.00193187
0.001	35	nan	176.03	-nan	-nan	-nan	nan	15360.8	2.96555e+06	13975.9	127.682	7.31465e+08	-nan	0.00193187
0.001	36	nan	243.552	-nan	-nan	-nan	nan	17410.3	2.80838e+06	15761.6	214.698	1.27907e+09	-nan	0.00193187
0.001	37	nan	88.5617	-nan	-nan	-nan	nan	9662.09	211172	8491.33	142.802	1.02779e+08	-nan	0.00193187
0.001	38	nan	109.874	-nan	-nan	-nan	nan	20258	3.06849e+06	18452.7	207.81	3.75704e+09	-nan	0.00193187
0.001	39	nan	220.156	-nan	-nan	-nan	nan	35525.5	7.96375e+06	33521.3	328.164	3.12326e+09	-nan	0.00193187
0.001	40	nan	164.913	-nan	-nan	-nan	nan	975532	4.14594e+08	648775	25006.5	2.23526e+14	-nan	0.00193187
