FocalLength	QR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRtcost	IAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRtcost	Rank3Rate
10	0.450543	0.249548	0.269887	0.375034	2.84386e-16	0.130572	0.0817634	0.0789762	0.0023002	0.0585343	0.92
11	0.242333	0.143984	0.14256	0.0279382	2.83682e-16	0.114727	0.0730087	0.0684152	0.00175358	0.0270409	0.96
12	0.130702	0.0772713	0.0780959	0.00593003	2.84374e-16	0.0877042	0.053989	0.0544149	0.00103262	0.0121862	0.96
13	0.160563	0.0956599	0.0949624	0.0132125	2.76635e-16	0.0773728	0.0492081	0.0463421	0.000783138	0.0148938	0.98
14	0.164227	0.0980987	0.0957348	0.017365	2.80008e-16	0.0642814	0.0406799	0.0389322	0.00052798	0.0147895	0.96
15	0.155384	0.0905044	0.0934105	0.0280877	2.79056e-16	0.0538484	0.0340248	0.0326496	0.000369128	0.0130401	0.94
16	0.163951	0.0958834	0.0970686	0.0318583	2.79537e-16	0.0455772	0.0287738	0.0277169	0.000264018	0.0136308	0.96
17	0.139752	0.0828571	0.0841007	0.0330919	2.8152e-16	0.0404759	0.0256278	0.0246674	0.000194511	0.0109106	0.96
18	0.117877	0.0733594	0.0649597	0.0290093	2.82243e-16	0.034844	0.0221007	0.0211306	0.000142581	0.00817481	1
19	0.164929	0.0966969	0.0939959	0.0666924	2.83296e-16	0.0305421	0.0191936	0.0189848	0.000103068	0.0117838	0.94
20	0.0740939	0.0443296	0.0412501	0.00751843	2.81926e-16	0.0245362	0.0155907	0.0150233	6.92157e-05	0.00477012	0.96
21	0.0955903	0.0567307	0.0539129	0.0186422	2.82135e-16	0.0223551	0.0141738	0.0136935	5.37018e-05	0.0060845	0.94
22	0.026969	0.016065	0.0164796	0.000247888	2.81958e-16	0.0193235	0.011904	0.0122927	4.20191e-05	0.00117533	0.98
23	0.066258	0.0383302	0.0396673	0.00519646	2.79511e-16	0.0171146	0.0109128	0.0105843	3.11994e-05	0.00387983	0.94
24	0.0570587	0.0338303	0.0334578	0.00218783	2.78198e-16	0.0149837	0.00947153	0.0093288	2.31766e-05	0.00314854	0.94
25	0.0263105	0.0157492	0.0153414	0.000458868	2.82512e-16	0.0133915	0.00855102	0.00828262	1.80539e-05	0.00123928	0.96
26	0.0315232	0.0187231	0.0184692	0.000878686	2.77512e-16	0.0124027	0.00796015	0.00769284	1.44127e-05	0.00152024	0.98
27	0.0194602	0.0114342	0.0114287	0.000239696	2.82529e-16	0.0102724	0.00653533	0.00634981	1.0905e-05	0.000833045	0.98
28	0.0344393	0.020749	0.0201157	0.00109508	2.8073e-16	0.00906967	0.00578239	0.00561922	8.34035e-06	0.00165522	0.96
29	0.0202381	0.0118938	0.011749	0.00032323	2.76181e-16	0.00812843	0.00521869	0.00502171	6.65262e-06	0.000892652	1
30	0.0137688	0.00820377	0.0079626	0.000110523	2.78043e-16	0.00676859	0.00434194	0.004146	4.81776e-06	0.000549687	0.98
31	0.0203052	0.012126	0.0117971	0.000293975	2.79637e-16	0.00609524	0.00391741	0.00372505	3.83341e-06	0.000869113	0.96
32	0.0279945	0.0151218	0.0171769	0.00316484	2.83717e-16	0.00546833	0.00348846	0.00339428	2.9951e-06	0.00118472	0.92
33	0.128668	0.0675091	0.0785989	0.149881	2.79882e-16	0.00494832	0.0032209	0.00300656	2.44524e-06	0.00563647	0.96
34	0.00799125	0.00483916	0.00472973	2.67004e-05	2.8622e-16	0.00442389	0.00287148	0.00271725	1.87305e-06	0.000267829	0.98
35	0.0320328	0.0194914	0.0175262	0.00335653	2.79419e-16	0.00375732	0.00240537	0.00232354	1.42942e-06	0.00127331	0.94
36	0.0325237	0.0189933	0.0183515	0.00786473	2.83156e-16	0.00302243	0.00191526	0.00187811	9.55477e-07	0.00123437	0.98
37	0.0134303	0.00796742	0.00771462	0.000192001	2.86133e-16	0.00298919	0.00193208	0.00183977	8.5039e-07	0.000483044	0.92
38	0.00683174	0.00401598	0.00399259	3.51745e-05	2.84576e-16	0.0025857	0.00167043	0.00158553	6.43307e-07	0.00023488	1
39	0.0112605	0.00677613	0.00683676	0.000107595	2.86426e-16	0.00244139	0.00158323	0.0015124	5.29544e-07	0.000383521	0.98
40	0.0089517	0.00564227	0.00497917	0.000247148	2.83277e-16	0.00223681	0.00147205	0.00135844	4.41446e-07	0.000296263	0.98
41	0.00561928	0.00340928	0.0032017	1.4845e-05	2.81855e-16	0.00184033	0.00119424	0.00113832	3.02544e-07	0.000177791	0.96
42	0.0040514	0.00238063	0.00241582	8.88596e-06	2.85323e-16	0.0016532	0.00106977	0.00102746	2.33602e-07	0.000122007	1
43	0.00770207	0.00456325	0.00442795	7.95919e-05	2.86996e-16	0.00153428	0.00101147	0.000940402	1.91787e-07	0.000239179	0.9
44	0.00257628	0.00156756	0.001486	3.1379e-06	2.8579e-16	0.00127064	0.000838115	0.000773606	1.43049e-07	7.42803e-05	0.96
45	0.0031326	0.00191499	0.0017764	6.25371e-06	2.83175e-16	0.00115443	0.000768249	0.000705945	1.04797e-07	8.72902e-05	0.96
46	0.0058543	0.00349391	0.00341538	3.18748e-05	2.83791e-16	0.000881107	0.000578305	0.000536301	7.26004e-08	0.000173111	0.94
47	0.00548645	0.00321791	0.00334718	0.000116982	2.80851e-16	0.000861365	0.000575035	0.000521287	6.16685e-08	0.000151101	0.98
48	0.0107008	0.00615678	0.00621999	0.000482789	2.79993e-16	0.0006944	0.000463546	0.000419578	4.26604e-08	0.000314089	0.92
49	0.00250299	0.001498	0.00146072	3.4695e-06	2.81117e-16	0.000623925	0.000414868	0.000379273	3.37885e-08	6.78145e-05	0.92
50	0.00249698	0.00143723	0.0014486	2.48278e-05	2.79456e-16	0.000503785	0.000336139	0.000304032	2.19654e-08	6.62754e-05	0.98
51	0.00113218	0.000685768	0.000650717	5.36303e-07	2.80082e-16	0.000490562	0.000332925	0.000291508	1.86763e-08	2.75088e-05	0.98
52	0.00102127	0.00062648	0.000578531	5.79647e-07	2.73463e-16	0.000373069	0.000249835	0.000225609	1.13338e-08	2.36989e-05	0.94
53	0.00192579	0.00116188	0.00113614	4.65542e-06	2.79678e-16	0.000324561	0.000218057	0.000196737	8.44418e-09	4.93349e-05	0.98
54	0.00304407	0.00187724	0.00182525	4.5545e-05	2.81817e-16	0.000282236	0.000189949	0.000171101	6.00881e-09	7.55022e-05	0.94
55	0.000582046	0.000342434	0.000334483	2.65439e-07	2.76147e-16	0.000206285	0.000140167	0.000122806	3.36936e-09	1.30091e-05	0.96
56	0.000547505	0.00031855	0.000318889	3.55006e-07	2.7591e-16	0.000159166	0.000107405	9.61799e-05	2.03021e-09	1.23092e-05	0.96
57	0.000385591	0.000228774	0.000220497	1.68524e-07	2.80128e-16	0.00011301	7.65632e-05	6.76736e-05	1.02e-09	8.40183e-06	0.98
58	0.000225813	0.000137522	0.000131302	3.53659e-08	2.80892e-16	7.50436e-05	5.05867e-05	4.52788e-05	4.30762e-10	4.67787e-06	0.94
59	0.000122608	7.22662e-05	7.04433e-05	1.53888e-08	2.79022e-16	3.71133e-05	2.52699e-05	2.22603e-05	1.03828e-10	2.58878e-06	0.98
60	2.93312e-11	1.70175e-11	1.7792e-11	2.18651e-21	2.79659e-16	1.99522e-11	1.16456e-11	1.17728e-11	1.05235e-21	8.56216e-13	0.9
61	7.32851e-05	4.58973e-05	4.15388e-05	1.79778e-09	2.75923e-16	3.54136e-05	2.40462e-05	2.10925e-05	9.67918e-11	1.33319e-06	1
62	0.000235721	0.000142946	0.000135368	8.84044e-08	2.82327e-16	6.91261e-05	4.64924e-05	4.19831e-05	3.63621e-10	4.52935e-06	0.96
63	0.000268679	0.000166009	0.000159325	3.1351e-08	2.7837e-16	0.000103014	6.9382e-05	6.27324e-05	8.0973e-10	4.78961e-06	0.98
64	0.000560702	0.000325652	0.000334384	1.34469e-06	2.80031e-16	0.000135067	9.04158e-05	8.22615e-05	1.45117e-09	1.06235e-05	0.98
65	0.000336673	0.000203654	0.000198939	6.43267e-08	2.79139e-16	0.000160815	0.000106455	9.89078e-05	2.1078e-09	5.13358e-06	0.98
66	0.000463552	0.000289758	0.000274018	2.178e-07	2.77075e-16	0.000199363	0.000133036	0.000121591	3.25153e-09	7.1082e-06	0.98
67	0.00217448	0.00140043	0.00119111	1.39638e-05	2.84235e-16	0.000235331	0.000156733	0.000144029	4.54982e-09	4.2133e-05	0.92
68	0.000818728	0.000502011	0.000468266	7.43072e-07	2.83161e-16	0.00026924	0.00017997	0.000163393	6.02939e-09	1.35687e-05	0.96
69	0.000647881	0.000401388	0.000384648	1.68425e-07	2.81645e-16	0.00030128	0.00020142	0.000183758	7.31277e-09	9.77984e-06	0.98
70	0.000710931	0.000452343	0.000415536	2.69378e-07	2.8149e-16	0.000335735	0.000222586	0.000206725	9.18111e-09	9.95851e-06	0.96
71	0.000625878	0.000386879	0.000374114	1.2348e-07	2.84256e-16	0.000336567	0.000222272	0.000205466	9.64789e-09	8.15242e-06	1
72	0.00113677	0.000688317	0.000673056	7.05646e-07	2.82015e-16	0.000425842	0.000284913	0.000259507	1.41423e-08	1.78576e-05	0.96
73	0.00191398	0.00114611	0.001149	8.82298e-06	2.83083e-16	0.000416001	0.000275206	0.000254872	1.47691e-08	3.15173e-05	0.94
74	0.000874824	0.000540405	0.000518271	4.93193e-07	2.84004e-16	0.000428096	0.000278227	0.000267451	1.65809e-08	1.1008e-05	1
75	0.000894189	0.00056026	0.000523985	3.33199e-07	2.77974e-16	0.000473808	0.000312566	0.000291097	2.04544e-08	1.11955e-05	0.94
76	0.00374961	0.00233181	0.00204587	7.12685e-05	2.84838e-16	0.000497801	0.000324713	0.000306559	2.24367e-08	6.24536e-05	0.94
77	0.00172671	0.00102699	0.00105349	4.09819e-06	2.82274e-16	0.000638717	0.000420786	0.000396357	3.26354e-08	2.48013e-05	0.98
78	0.00269189	0.00164962	0.00154084	1.1828e-05	2.83456e-16	0.00056378	0.000362582	0.000354919	2.97193e-08	4.40479e-05	0.94
79	0.00108428	0.000675572	0.000653435	4.39684e-07	2.881e-16	0.000671411	0.000443397	0.000411574	3.9699e-08	1.12913e-05	1
80	0.00384081	0.00231488	0.00234547	4.30192e-05	2.83141e-16	0.000686203	0.000452904	0.000421349	4.19431e-08	6.03687e-05	0.94
81	0.00170201	0.00103822	0.000993823	2.54368e-06	2.86297e-16	0.000723671	0.00047156	0.000447852	4.51847e-08	2.13606e-05	0.96
82	0.00227802	0.00135201	0.00133119	5.33341e-06	2.8513e-16	0.000804947	0.000520106	0.00050382	5.97525e-08	3.08444e-05	0.92
83	0.00221101	0.00132701	0.00135293	3.72604e-06	2.81194e-16	0.0007331	0.000472445	0.000457917	5.20189e-08	2.98523e-05	0.96
84	0.0054374	0.00310633	0.00333023	0.000117732	2.82381e-16	0.000841545	0.000547084	0.000521935	6.49256e-08	8.35627e-05	0.9
85	0.00128911	0.0007908	0.000767399	6.72283e-07	2.82364e-16	0.000792349	0.000513652	0.000492954	6.13573e-08	1.32534e-05	0.96
86	0.00154231	0.00094538	0.000922745	1.6531e-06	2.87548e-16	0.000834658	0.00053668	0.000518756	7.64302e-08	1.61498e-05	0.96
87	0.00217329	0.00136083	0.00127767	1.75467e-06	2.76836e-16	0.00104378	0.000677959	0.000656809	9.04508e-08	2.42112e-05	1
88	0.00175312	0.00106244	0.00106644	1.6471e-06	2.81232e-16	0.00103189	0.000663051	0.000653565	9.28357e-08	1.68301e-05	0.98
