FocalLength	QR_Kcost	maxQR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRtcost	IAC_Kcost	maxIAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRtcost
5	0.00336295	0.0141854	0.00237264	0.00183345	2.02999e-06	3.3604e-16	0.00346071	0.0173551	0.00227483	0.00209778	1.27781e-06	0.000450897
6	0.00572925	0.0351158	0.00380758	0.00313458	1.59348e-05	2.73577e-16	0.00576788	0.0476743	0.00398974	0.00310935	1.6795e-05	0.000658141
7	0.0120777	0.185955	0.00773646	0.0068655	0.000131715	2.81272e-16	0.0122021	0.185967	0.00755363	0.00706876	0.000144714	0.000574039
8	nan	0.235455	-nan	-nan	-nan	nan	582.886	61785	537.208	13.4344	5.40377e+06	-nan
9	0.0125644	0.852549	0.00671432	0.00585703	0.00283831	2.9097e-16	0.0118159	0.842239	0.00682778	0.00529256	0.00270772	0.00072175
10	0.0104637	0.257424	0.00657974	0.00591056	0.000135287	2.91753e-16	0.0106959	0.304597	0.0067864	0.00617092	0.000160036	0.000496057
11	0.0110479	0.120357	0.00666574	0.00663634	6.14009e-05	2.7493e-16	0.0113876	0.112146	0.00682279	0.00691636	5.8178e-05	0.000585019
12	0.0139849	0.333765	0.00862287	0.00827433	0.000125896	2.8392e-16	0.0139353	0.345499	0.00862386	0.00833537	0.000150782	0.000644041
13	0.0149885	0.641089	0.00881203	0.00951167	0.000187775	2.84903e-16	0.0151935	0.638934	0.00894885	0.00997012	0.000152242	0.000608005
14	0.012847	0.267773	0.00776509	0.00776681	9.36924e-05	2.80872e-16	0.0128318	0.263965	0.00786109	0.00762604	0.000130371	0.000494847
15	0.0225763	3.57018	0.0127351	0.0143858	0.00180008	2.79525e-16	0.0230233	3.90984	0.012726	0.0151989	0.00206987	0.000770904
16	0.0143856	0.373336	0.00854449	0.00855069	0.000217753	2.85524e-16	0.0144601	0.468451	0.00875124	0.00877066	0.000205177	0.000503999
17	0.0187873	1.42856	0.00994703	0.0120032	0.000658266	2.7775e-16	0.0192095	1.54058	0.0105971	0.0120452	0.00128111	0.00055725
18	nan	2.23464	-nan	-nan	-nan	nan	1.04129	759.102	0.633075	0.0489126	488.211	-nan
19	0.02025	2.26537	0.0121747	0.0121688	0.00146514	2.83575e-16	0.0200528	2.26133	0.0123301	0.0122202	0.00145351	0.00044631
20	0.0268864	5.51068	0.0159637	0.0154132	0.0165983	2.8628e-16	0.023791	3.50214	0.0149845	0.0122177	0.00766378	0.000821275
21	nan	7.03154	-nan	-nan	-nan	nan	2.59243	1302.21	2.52931	0.0812414	102.092	-nan
22	0.0214378	1.89645	0.0138037	0.012605	0.000304201	2.77583e-16	0.0199077	1.38728	0.0131966	0.0112939	0.000430158	0.000590745
23	0.0236278	1.65473	0.0152962	0.0139034	0.000704498	2.85307e-16	0.0227432	1.61025	0.0147033	0.0138161	0.000523975	0.000544134
24	0.0346362	7.32549	0.0244134	0.0187338	0.0047064	2.77299e-16	0.0345309	7.69916	0.0244811	0.0198138	0.00336772	0.000700035
25	0.0265793	2.31632	0.0166378	0.0161885	0.000850187	2.82576e-16	0.0250367	1.93197	0.0162062	0.0152002	0.000790215	0.000536828
26	0.0211492	0.514849	0.0126175	0.0132397	0.000326765	2.77259e-16	0.0202166	0.533914	0.0124134	0.0128681	0.000232094	0.000455281
27	0.0296099	3.46404	0.0183	0.0183512	0.00158286	2.79702e-16	0.0277321	3.44205	0.0181314	0.0169145	0.0014942	0.000583088
28	0.0271	4.80342	0.0159701	0.0165056	0.0112891	2.74581e-16	0.0249928	4.1794	0.0153628	0.0142629	0.0124153	0.000529773
29	0.0249668	0.783052	0.0156511	0.0152125	0.000357071	2.76443e-16	0.0243614	0.674489	0.0160081	0.0150685	0.000262104	0.000458182
30	0.0225209	0.784331	0.0145497	0.01344	0.000222179	2.79809e-16	0.0215753	0.86176	0.0143025	0.0132162	0.000112383	0.000423757
31	0.0279532	2.66113	0.0183478	0.0163132	0.00136556	2.85453e-16	0.0265328	2.56898	0.018188	0.0152301	0.0011094	0.000425313
32	0.0299555	4.77503	0.0199865	0.0183436	0.00135818	2.82356e-16	0.0291397	4.81946	0.0201431	0.0175343	0.00117239	0.000457014
33	0.0262245	2.59198	0.0171177	0.0145388	0.00170313	2.84434e-16	0.0248347	2.53249	0.0170656	0.0144868	0.0011227	0.000423674
34	nan	12.0653	-nan	-nan	-nan	nan	0.0497227	19.1997	0.0362246	0.0302754	0.00139679	-nan
35	0.0345764	2.22156	0.0225464	0.0206397	0.000728136	2.81172e-16	0.0335904	2.5904	0.0222072	0.0206065	0.000405979	0.000503642
36	0.0405225	9.83359	0.026858	0.0256382	0.00437101	2.83934e-16	0.0342697	5.943	0.0253567	0.018093	0.00087369	0.000711377
37	nan	4.31496	-nan	-nan	-nan	nan	1.38914	1269.42	1.34326	0.137229	80.7566	-nan
38	0.0398941	3.94723	0.0287089	0.0215168	0.00226659	2.79102e-16	0.0385568	4.36309	0.0287817	0.0208695	0.00194641	0.000470384
39	0.0505	11.04	0.0336329	0.0298567	0.0242682	2.86612e-16	0.0424083	5.76401	0.0276128	0.0279055	0.00455305	0.000855519
40	0.0411793	8.76447	0.0248454	0.027656	0.00314326	2.77283e-16	0.0396126	8.80217	0.0250002	0.026985	0.00270848	0.000461197
41	0.0348259	6.21646	0.0209017	0.0234512	0.000818998	2.86491e-16	0.0333765	6.13823	0.0211773	0.0227999	0.000275803	0.000408537
42	0.0461271	6.2159	0.0284998	0.0310034	0.0115929	2.85088e-16	0.0407705	4.99232	0.0289752	0.0242798	0.000838585	0.000715129
43	0.0337896	1.83996	0.0223078	0.0201449	0.000809162	2.83654e-16	0.0308617	1.56639	0.0219557	0.0181962	0.00015735	0.000480601
44	0.0293775	2.73809	0.0173063	0.0193983	0.000217269	2.87257e-16	0.0262742	2.01963	0.0169121	0.0172775	0.00020632	0.000395983
45	0.0386115	2.59159	0.0254659	0.0230292	0.0030256	2.82071e-16	0.0368299	2.19302	0.0254506	0.0219946	0.00108179	0.000433637
46	0.0269812	0.650624	0.0173033	0.0166918	0.000184394	2.81774e-16	0.0258717	0.704208	0.0176276	0.0162963	4.99776e-05	0.000321664
47	0.0353179	3.25218	0.0254047	0.0188721	0.000443651	2.76132e-16	0.0331971	2.81465	0.0247674	0.0187339	8.04164e-05	0.000400742
48	0.0479727	9.8627	0.0252621	0.0356262	0.00150987	2.87795e-16	0.0378169	5.31542	0.0260576	0.0238193	0.000305816	0.000711473
49	0.0361738	1.57335	0.023086	0.022567	0.00169331	2.82336e-16	0.0318191	1.51531	0.0217837	0.0201541	4.34947e-05	0.000410283
