TranslationRange	QR_Kcost	maxQR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRtcost	IAC_Kcost	maxIAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRtcost	Rank3Rate
0.001	nan	178.416	-nan	-nan	-nan	nan	38785.6	4.93269e+06	18150.6	343.252	6.9457e+09	-nan	0
0.00108393	nan	214.489	-nan	-nan	-nan	nan	24929.7	1.01064e+06	11659.4	169.65	8.05784e+08	-nan	0
0.0011749	nan	147.145	-nan	-nan	-nan	nan	29720.9	2.06774e+06	14331.8	188.333	5.29336e+08	-nan	0
0.0012735	nan	207.699	-nan	-nan	-nan	nan	458873	1.10121e+08	217318	2004.63	2.46827e+12	-nan	0
0.00138038	nan	229.374	-nan	-nan	-nan	nan	40067.3	4.07308e+06	18997.5	346.99	2.65469e+09	-nan	0
0.00149624	nan	185.681	-nan	-nan	-nan	nan	33500.3	2.87357e+06	16040.5	250.279	9.98989e+08	-nan	0.02
0.00162181	nan	158.671	-nan	-nan	-nan	nan	27048.6	1.73255e+06	13191	168.261	1.02314e+08	-nan	0
0.00175792	nan	261.127	-nan	-nan	-nan	nan	116210	2.01321e+07	55711.6	1124.18	4.15271e+10	-nan	0
0.00190546	nan	190.719	-nan	-nan	-nan	nan	40614	3.77434e+06	19028.3	336.338	6.4194e+09	-nan	0
0.00206538	nan	212.977	-nan	-nan	-nan	nan	22117	560032	10554.8	153.05	7.75734e+07	-nan	0
0.00223872	nan	225.761	-nan	-nan	-nan	nan	44763.7	3.53583e+06	22054.3	214.802	8.84362e+07	-nan	0
0.00242661	nan	194.488	-nan	-nan	-nan	nan	36780.7	3.35496e+06	17836	337.764	2.02203e+08	-nan	0
0.00263027	nan	230.635	-nan	-nan	-nan	nan	85643.2	1.53692e+07	39941.5	634.021	7.06932e+10	-nan	0
0.00285102	nan	208.073	-nan	-nan	-nan	nan	84633.7	1.55845e+07	41854.1	310.164	4.8059e+08	-nan	0
0.0030903	nan	247.974	-nan	-nan	-nan	nan	41203.8	3.02189e+06	19979.5	180.157	2.66188e+08	-nan	0
0.00334965	nan	389.828	-nan	-nan	-nan	nan	20423.4	780941	9724.03	136.188	2.76409e+08	-nan	0
0.00363078	nan	175.219	-nan	-nan	-nan	nan	25058.4	1.72247e+06	12119.6	155.848	1.15394e+08	-nan	0
0.0039355	nan	188.104	-nan	-nan	-nan	nan	22507.1	854621	10199.9	167.598	1.06289e+09	-nan	0
0.0042658	nan	1034.92	-nan	-nan	-nan	nan	22620.9	690460	10880	133.086	7.04509e+07	-nan	0
0.00462381	nan	135.469	-nan	-nan	-nan	nan	25938.9	729094	12383.3	165.208	3.16538e+08	-nan	0
0.00501187	nan	526.096	-nan	-nan	-nan	nan	18454.5	537937	8878.74	118.837	8.5176e+07	-nan	0
0.0054325	nan	216.753	-nan	-nan	-nan	nan	27375.7	2.78387e+06	13368.9	174.509	8.86481e+07	-nan	0
0.00588844	nan	724.215	-nan	-nan	-nan	nan	23904.3	1.68683e+06	10987.7	196.736	1.67292e+09	-nan	0
0.00638263	nan	488.318	-nan	-nan	-nan	nan	30876.3	3.45561e+06	10487.7	447.411	2.09701e+10	-nan	0
0.00691831	nan	631.773	-nan	-nan	-nan	nan	24000.2	728826	11636.6	123.785	1.33855e+08	-nan	0
0.00749894	nan	158.797	-nan	-nan	-nan	nan	39397.6	3.9233e+06	19162.3	291.113	6.06217e+08	-nan	0
0.00812831	nan	736.611	-nan	-nan	-nan	nan	13594.8	406800	6358.14	95.1888	6.79596e+07	-nan	0
0.00881049	nan	687.974	-nan	-nan	-nan	nan	14482.8	289064	7025.68	96.2421	3.37686e+07	-nan	0
0.00954993	nan	297.349	-nan	-nan	-nan	nan	34266.5	4.476e+06	16540.6	199.698	1.39215e+09	-nan	0.02
0.0103514	nan	278.764	-nan	-nan	-nan	nan	12381.9	395287	5992.79	84.2388	3.13239e+07	-nan	0
0.0112202	nan	971.628	-nan	-nan	-nan	nan	5708.48	181099	2744.77	46.9623	1.20392e+07	-nan	0.02
0.0121619	nan	519.503	-nan	-nan	-nan	nan	5329.5	119775	2590.02	42.9297	3.33124e+06	-nan	0
0.0131826	nan	404.733	-nan	-nan	-nan	nan	15615.3	1.52332e+06	7645.6	74.0507	1.4249e+08	-nan	0.02
0.0142889	nan	722.173	-nan	-nan	-nan	nan	15059	2.38146e+06	7207.49	86.3573	1.03709e+09	-nan	0.02
