FocalLength	QRloss	IACloss
10	2.02012e-09	3.7114e-09
11	1.36166e-11	3.45799e-11
12	6.90446e-10	3.6201e-09
13	1.20343e-10	4.25685e-10
14	4.37036e-11	9.77665e-11
15	5.40226e-10	7.12919e-10
16	1.11657e-10	2.84822e-10
17	1.16362e-08	3.33626e-08
18	2.90773e-10	6.28728e-10
19	5.07112e-10	6.54098e-10
20	4.47489e-10	8.00782e-10
21	1.18814e-10	5.43121e-10
22	2.16024e-10	6.90989e-10
23	1.87626e-09	7.37891e-09
24	5.38725e-11	1.7392e-10
25	7.41767e-06	9.62075e-06
26	8.19684e-10	2.5723e-09
27	1.14005e-09	3.27774e-09
28	9.45008e-07	1.10363e-06
29	2.26543e-10	6.42036e-10
30	4.18253e-11	1.37662e-10
31	1.95369e-09	5.04107e-09
32	3.49216e-09	2.74341e-09
33	1.56978e-10	2.94938e-10
34	2.12029e-10	5.01641e-10
35	2.31764e-10	7.24308e-10
36	7.98428e-11	3.5974e-10
37	3.55653e-10	9.57163e-10
38	2.48587e-08	2.42848e-09
39	4.74539e-10	1.46778e-09
40	2.18455e-10	9.27986e-10
41	3.79311e-10	6.0083e-10
42	9.10666e-10	3.28023e-09
43	5.55102e-10	1.21132e-09
44	5.67508e-10	2.21184e-09
45	1.28035e-08	1.01551e-07
46	4.27676e-09	8.10255e-09
47	5.31424e-09	1.17709e-08
48	1.40112e-10	4.39447e-10
49	5.22711e-09	6.30139e-09
50	3.49429e-09	5.1836e-09
51	1.24378e-08	2.24964e-08
52	7.68764e-08	7.14967e-08
53	4.99701e-09	9.05779e-09
54	3.82504e-09	8.4663e-09
55	5.48458e-08	9.11494e-08
56	8.3325e-10	1.71819e-09
57	2.30683e-10	9.195e-10
58	1.99437e-09	8.14759e-09
59	7.64434e-08	8.97347e-08
60	3.73753e-08	1.04375e-07
61	1.07241e-09	1.49431e-09
62	3.05859e-09	9.13118e-09
63	8.76465e-10	1.39328e-09
64	3.75666e-11	9.59772e-11
65	1.1319e-06	1.43806e-06
66	3.45728e-10	6.32329e-10
67	7.90212e-10	1.84322e-09
68	1.03808e-09	1.28309e-09
69	4.8397e-10	9.80242e-10
70	2.82871e-08	1.53539e-07
71	9.63699e-10	3.56548e-09
72	1.01304e-09	1.61184e-09
73	1.44864e-06	2.03735e-06
74	1.0722e-09	2.41068e-09
75	2.48706e-10	5.5689e-10
76	6.22784e-10	1.90923e-09
77	4.12384e-09	1.18463e-08
78	7.48319e-10	1.47267e-09
79	3.94965e-10	1.24941e-09
80	2.92599e-09	4.5667e-09
81	6.55629e-10	2.95662e-09
82	3.46242e-10	1.48713e-09
83	1.82874e-09	3.8752e-09
84	5.08813e-10	1.35015e-09
85	4.22592e-10	7.23478e-10
86	5.99385e-09	2.09182e-08
87	1.587e-09	5.60108e-09
88	8.59519e-10	1.26117e-09
89	1.07132e-09	2.57579e-09
90	4.49768e-08	7.65467e-08
91	1.02758e-09	1.38961e-09
92	8.9394e-07	9.05272e-07
93	3.83856e-09	3.29406e-09
94	9.54803e-10	3.36212e-09
95	1.77423e-10	5.59169e-10
96	2.99745e-10	6.85331e-10
97	1.84815e-08	2.03576e-08
98	2.62674e-09	6.79652e-09
99	8.89372e-10	1.02828e-09
100	1.48588e-08	3.40708e-08
101	2.39601e-09	4.13161e-09
102	1.39724e-10	1.28936e-09
103	1.45049e-07	2.84594e-07
104	8.50383e-09	1.13815e-08
105	5.53137e-10	1.14231e-09
106	2.12344e-10	6.23501e-10
107	2.18243e-09	3.65749e-09
108	1.61412e-09	4.05048e-09
109	4.65523e-10	9.09383e-10
110	1.22488e-08	5.41799e-08
111	4.07369e-05	0.000146472
112	2.98799e-10	7.69406e-10
113	3.386e-09	6.31891e-09
114	2.63891e-09	8.69533e-09
115	1.95752e-09	3.35541e-09
116	1.51779e-09	3.75324e-09
117	3.46383e-10	7.36403e-10
118	1.97165e-09	4.30698e-09
119	1.44959e-09	6.86106e-09
120	3.55861e-09	6.72516e-09
121	3.53985e-08	3.82431e-08
122	1.17279e-08	4.0321e-08
