FocalLength	QR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	IAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost
4	0.000200964	0.000102683	0.00013517	8.14902e-09	0.000199098	9.98828e-05	0.00013467	8.21615e-09
5	0.000453069	0.00026862	0.000297401	4.57634e-08	0.000474861	0.000275976	0.000282728	2.57802e-07
6	0.000455872	0.000255188	0.000266441	8.6606e-08	0.000458504	0.000263749	0.000271673	8.33173e-08
7	0.000574507	0.000336158	0.000344547	2.01097e-07	0.000587102	0.000353025	0.000355754	1.81395e-07
8	0.000727572	0.000429081	0.000443424	1.73546e-07	0.000745623	0.000437843	0.00046312	1.79251e-07
9	0.000884519	0.000529972	0.000523199	3.81576e-07	0.00090125	0.000538816	0.000546796	4.05739e-07
10	0.000971074	0.000592959	0.000582898	3.30472e-07	0.000980368	0.000601413	0.00058722	3.33051e-07
11	0.00114036	0.000667205	0.000688989	1.09423e-06	0.00113687	0.000698702	0.000670749	1.041e-06
12	0.00111941	0.000627309	0.000679577	1.15749e-06	0.00113262	0.000646518	0.000701612	1.02468e-06
13	0.00134903	0.000761836	0.000840009	1.76061e-06	0.0013595	0.000761325	0.000853207	1.36139e-06
14	0.00137465	0.000817558	0.000824965	1.74851e-06	0.00138913	0.0008291	0.000845674	1.54137e-06
15	0.00139474	0.000820639	0.000842246	8.83415e-07	0.00141924	0.000847333	0.000864521	9.10609e-07
16	0.00152358	0.000890816	0.000937417	1.30483e-06	0.00154675	0.000922003	0.000943568	2.30853e-06
17	0.00169779	0.0010355	0.00100505	1.853e-06	0.00170969	0.00106196	0.00100514	1.86542e-06
18	0.00162789	0.000968395	0.00096274	2.00259e-06	0.00164345	0.00099064	0.00097247	1.97342e-06
19	0.00191191	0.0011315	0.00117635	2.0891e-06	0.00191184	0.00114891	0.00117233	1.7339e-06
20	0.00196702	0.00118433	0.00117957	2.2651e-06	0.00200166	0.0012151	0.0012093	2.10419e-06
21	0.00196911	0.00115474	0.00118783	2.41454e-06	0.00199122	0.00116727	0.00122117	2.35736e-06
22	0.00219249	0.00126735	0.00134501	5.50296e-06	0.00221122	0.00130226	0.00135275	5.40471e-06
23	0.00209383	0.00125701	0.00125381	1.99091e-06	0.00211057	0.00127343	0.00126924	2.05974e-06
24	0.00242075	0.00142531	0.00144409	5.93785e-06	0.00241285	0.00142451	0.0014676	4.60032e-06
25	0.00242384	0.00143884	0.0014678	2.96156e-06	0.00243293	0.00145852	0.0014808	3.2078e-06
26	0.00256626	0.00151452	0.0015468	1.16798e-05	0.00260497	0.00154801	0.00160219	4.23749e-06
27	0.00258717	0.00151101	0.00156495	7.54427e-06	0.00259316	0.00152697	0.00159016	5.16327e-06
28	0.00277261	0.00166633	0.00163342	7.96462e-06	0.00281586	0.00170832	0.0016771	5.25057e-06
29	0.00282548	0.0016474	0.00172923	1.07295e-05	0.00284092	0.00166356	0.00175373	7.03428e-06
30	0.00288585	0.00167474	0.00175358	7.64251e-06	0.00288409	0.00170654	0.00173827	8.19992e-06
31	0.00315814	0.00188199	0.00192961	7.42853e-06	0.00314598	0.00188599	0.00194754	5.60454e-06
32	0.00334903	0.00200803	0.00201809	1.93956e-05	0.00340696	0.00207254	0.00207888	1.83226e-05
33	0.00325648	0.00188178	0.00200141	7.76822e-06	0.00327322	0.00191053	0.00203573	7.2864e-06
34	0.00317812	0.0018653	0.00194323	7.30865e-06	0.00320824	0.00191086	0.00197332	6.9158e-06
35	0.00340721	0.00205188	0.00203045	1.47563e-05	0.00343577	0.00207724	0.00210049	6.20286e-06
36	0.00359474	0.00218987	0.00214744	8.99275e-06	0.00358939	0.00219533	0.00215804	1.0363e-05
37	0.00370211	0.00217836	0.00227535	1.04097e-05	0.00374441	0.00223627	0.0023379	7.89036e-06
38	0.00363995	0.00215616	0.00220643	1.47431e-05	0.00368471	0.00220078	0.0022397	2.40143e-05
39	0.00371837	0.00217862	0.00225172	1.25531e-05	0.00372228	0.00221488	0.00223963	1.84664e-05
40	0.00387192	0.00227088	0.00239449	1.66461e-05	0.00385694	0.00229477	0.00238916	1.32677e-05
41	0.00401619	0.00234219	0.00239579	7.27489e-05	0.00401203	0.00237829	0.0024659	2.24634e-05
42	0.00387918	0.00230701	0.00235292	7.68255e-06	0.00387936	0.00232764	0.00237398	6.95884e-06
43	0.00402548	0.00243429	0.00242832	8.37353e-06	0.00404635	0.00245328	0.00246284	1.33455e-05
44	0.00418038	0.00243071	0.00258872	1.00207e-05	0.00418719	0.00247057	0.002618	8.88142e-06
45	0.00435769	0.00253044	0.00272037	1.15048e-05	0.00436179	0.00254715	0.00276457	1.27964e-05
46	0.00440125	0.00271299	0.00263674	9.77018e-06	0.00443709	0.00276729	0.00269959	7.28873e-06
47	0.00452684	0.00266975	0.00275878	2.93272e-05	0.00452014	0.00267794	0.0028093	3.01698e-05
48	0.00471557	0.00282047	0.00278724	9.00873e-05	0.00465657	0.00285026	0.00280002	5.67269e-05
49	0.00444556	0.00261578	0.00271337	1.63881e-05	0.00439849	0.00265633	0.0026939	1.23207e-05
50	0.00448474	0.00268328	0.0027557	1.35377e-05	0.00450991	0.00270999	0.00283853	2.1854e-05
51	0.00491841	0.00288902	0.00303157	1.95088e-05	0.00493489	0.00292176	0.00306383	2.01556e-05
52	0.00482579	0.00288618	0.00297347	1.019e-05	0.00481272	0.00293622	0.00298505	8.22159e-06
53	0.00474228	0.00284612	0.00289185	1.14742e-05	0.00470074	0.00288159	0.00292298	1.05034e-05
54	0.00477938	0.00292711	0.00287241	1.24262e-05	0.00477021	0.00298855	0.00291852	1.08084e-05
55	0.00472603	0.00283533	0.00290717	1.15963e-05	0.00469653	0.00289776	0.00292382	1.01855e-05
56	0.00477331	0.00285454	0.00295823	1.01638e-05	0.00476991	0.00290496	0.002979	9.342e-06
57	0.00507419	0.00298395	0.00312731	2.92375e-05	0.00503635	0.00307694	0.00311719	2.70256e-05
58	0.00528836	0.00329364	0.00321057	1.01397e-05	0.00529838	0.00334939	0.00326991	8.50694e-06
59	0.00517672	0.00303391	0.00324354	1.23229e-05	0.00513282	0.00307054	0.00325175	8.9942e-06
60	0.00579027	0.00338319	0.00379853	2.64473e-05	0.0057248	0.003373	0.00378852	1.3394e-05
61	0.00565697	0.00340728	0.00347898	3.61713e-05	0.00563708	0.00341742	0.00353802	1.21482e-05
62	0.00555577	0.00329112	0.00347898	3.79465e-05	0.00553311	0.00342048	0.00354526	9.92641e-06
63	0.00633494	0.00367596	0.0040529	2.32479e-05	0.00628531	0.00385342	0.003944	4.09706e-05
64	0.0063421	0.00394712	0.0039284	3.08876e-05	0.00631938	0.00409994	0.00380172	1.21324e-05
65	0.00536573	0.00324744	0.00332472	2.15243e-05	0.00527627	0.00326199	0.00336173	1.6009e-05
66	0.00611227	0.00387395	0.00374558	2.41091e-05	0.0062407	0.00411677	0.00368975	2.29404e-05
67	0.00632535	0.0036616	0.00405585	0.000171778	0.00623375	0.00375361	0.00404867	7.07826e-05
68	0.00594156	0.00356463	0.00372513	1.56933e-05	0.00581571	0.00363341	0.00364071	1.41267e-05
69	0.00649889	0.004005	0.00393156	5.98334e-05	0.0064467	0.00408769	0.00393145	5.72736e-05
70	0.00673945	0.00428708	0.00403979	9.76263e-05	0.00673877	0.00441114	0.00419208	1.03741e-05
71	0.00660394	0.00396707	0.0042521	1.8292e-05	0.00638764	0.0039741	0.00412233	1.38895e-05
72	0.00618427	0.00374847	0.00388728	2.28578e-05	0.00605475	0.00383985	0.00373146	1.12491e-05
73	0.0060822	0.00383703	0.00365897	1.49118e-05	0.00599302	0.00386336	0.00370747	1.19548e-05
74	0.00687728	0.00404293	0.00438824	4.60808e-05	0.00677967	0.00405561	0.00447475	2.98091e-05
75	0.00635704	0.00392834	0.00399407	2.11412e-05	0.0062112	0.00396155	0.00392265	1.73899e-05
76	0.00697972	0.0041807	0.00459805	3.77175e-05	0.00671647	0.00402967	0.00450341	5.70764e-05
77	0.00730893	0.00439893	0.00466243	2.82757e-05	0.00697265	0.00450868	0.00434298	2.00001e-05
78	0.00648964	0.00386126	0.00425821	1.17517e-05	0.00636009	0.00382868	0.00426604	9.46962e-06
79	0.00674085	0.00418012	0.00424733	1.86205e-05	0.00660539	0.00427864	0.00414721	1.411e-05
80	0.00696919	0.00441875	0.00435229	1.27463e-05	0.00685035	0.0044252	0.00438256	1.01721e-05
81	0.00677465	0.00424443	0.00418845	1.80424e-05	0.00666109	0.00432595	0.00416975	9.90237e-06
82	0.00778432	0.0050065	0.00486465	1.35754e-05	0.00799419	0.00511282	0.00522568	0.000120522
