FocalLength	QRloss	IACloss
10	0.231562	0.22331
11	0.196639	0.185022
12	0.157973	0.150245
13	0.149788	0.14499
14	nan	49.4014
15	nan	5.93427
16	0.0996362	0.0960531
17	0.0968254	0.090018
18	0.10672	0.100364
19	0.0771123	0.0745266
20	0.0650919	0.0624965
21	0.33518	8.00207
22	0.0575031	0.055181
23	0.0466581	0.0448271
24	0.0484067	0.0465643
25	0.0429848	0.0525422
26	0.129147	0.158691
27	0.0365811	0.0347221
28	0.0318619	0.0317389
29	0.0298653	0.0282882
30	0.0467647	0.042444
31	0.0238641	0.023186
32	0.0223691	0.0219493
33	0.0199647	0.0196108
34	0.0353128	0.0376154
35	0.0168171	0.0163694
36	0.0153105	0.0148852
37	0.0143296	0.0139145
38	0.0164652	0.0258466
39	0.0143507	0.0148711
40	0.0771756	0.0735381
41	0.0110865	0.0109242
42	0.0094972	0.00922486
43	0.00924627	0.00915789
44	0.00981977	0.00944263
45	0.379785	127.031
46	0.00692087	0.00724139
47	0.00571732	0.00574122
48	0.00571305	0.00570667
49	0.154911	0.14769
50	0.101764	0.105972
51	0.00341597	0.00359415
52	0.00283517	0.0027879
53	0.00229931	0.00225908
54	0.00315261	0.0036535
55	0.00172585	0.00173229
56	nan	1164.66
57	0.000943757	0.00105803
58	0.0020592	0.00330504
59	0.000740246	0.00103554
60	nan	392.042
61	0.00239011	0.00274613
62	0.00129325	0.00176813
63	0.000875914	0.00103141
64	0.00123575	0.00127323
65	0.00263794	0.00319842
66	0.2374	0.252742
67	0.00295646	0.00757761
68	0.00655784	0.00743869
69	0.00193942	0.00193442
70	0.0070373	0.0143172
71	0.0259526	0.0521634
72	0.0122582	0.0114824
73	0.00405844	0.00530751
74	0.00336593	0.00373384
75	0.0466635	0.0469208
76	0.00356638	0.00357371
77	0.00487454	0.00598469
78	0.00578706	0.005721
79	0.00825372	0.00946033
80	0.00424688	0.00421629
81	0.00755687	0.0107379
82	0.00468284	0.00452989
83	0.011555	0.0119738
84	0.0375248	0.0374071
85	nan	316.225
86	0.0101519	0.013775
87	0.016652	0.0189403
88	0.0062282	0.0064329
89	0.149447	0.151018
90	0.00546948	0.0053009
91	0.023285	0.0221687
92	0.00617769	0.00632417
93	0.00646078	0.00729048
94	0.00860501	0.0111467
95	0.00796338	0.00873986
96	0.00741425	0.00813252
97	0.0114691	0.0120192
98	nan	636.336
99	nan	2917.42
100	0.0124419	0.0130581
101	0.189017	0.175996
102	0.00811084	0.0116574
103	0.956377	9.46424
104	0.0137782	0.0348956
105	0.00900929	0.00912997
106	0.017349	0.0214771
107	0.0589197	0.0532989
108	0.0393032	0.0387567
109	0.0331598	0.0327794
110	0.0141258	0.0167506
111	0.0223172	0.0238389
112	0.00839191	0.00811666
113	nan	292.778
114	0.251668	0.250604
115	0.0110846	0.0112645
116	0.0124564	0.0175196
117	0.0122556	0.0126434
118	0.0254209	0.0283396
119	nan	2592.92
120	0.0126599	0.0124912
121	0.0156945	0.0146823
122	1.80717	2.46946e+06
123	2.24214	796.135
124	0.0138461	0.0134968
125	0.136893	0.118459
126	0.0157408	0.0203466
127	0.0143185	0.0146459
128	0.0255707	0.0300575
129	0.060856	0.0566289
130	0.024943	0.0271673
131	0.0139902	0.0151221
132	0.0152237	0.0149603
133	nan	508.764
134	0.0418881	0.0430071
135	0.0262249	0.0256713
136	0.0258897	0.0286824
137	0.0179302	0.0247989
138	0.0181592	0.0177035
139	0.0168885	0.0163298
140	0.0182976	0.0170476
141	0.0200533	0.0195441
142	nan	5876.27
143	0.0215658	0.0250443
144	0.0168947	0.0169068
145	0.0187812	0.0183208
146	0.0189289	0.022411
147	0.0201839	0.0190403
148	0.0265208	0.0286183
149	nan	1658.08
150	0.0206406	0.0195944
151	nan	13308.1
152	0.0290181	0.0285605
153	0.401737	0.387165
154	0.0478894	0.0594955
155	0.0232126	0.0216815
156	nan	537.96
157	0.0339884	0.0350071
158	0.0187046	0.0178531
159	0.0277906	0.0629419
160	0.0406474	0.0409312
161	0.0197717	0.0189005
162	0.0316132	0.030103
163	0.0270151	0.0277689
164	0.119612	0.119872
165	0.178572	0.174794
166	0.0241393	0.022622
167	0.063631	0.089814
168	0.0388536	0.0380844
169	0.0263123	0.026393
170	0.285093	0.284721
171	0.0318113	0.0313042
172	2.22858	989.435
173	2.40998	1432.45
174	0.0254796	0.0240162
175	0.0280541	0.0363214
176	nan	1953.32
177	0.048755	0.0487104
178	0.0218804	0.0208288
