FocalLength	QR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	IAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost
4	0.000341125	0.000175283	0.000208911	4.5246e-08	0.000318286	0.000168818	0.000206489	2.2487e-08
5	0.0159059	0.00470837	0.0134024	0.00297447	0.0150143	0.00507909	0.013358	0.00114015
6	0.000478422	0.000305656	0.000267603	8.45488e-08	0.000480784	0.000307244	0.000276116	6.31872e-08
7	0.000717823	0.000444218	0.000410863	2.63033e-07	0.000723316	0.000448786	0.000428696	2.99641e-07
8	0.00078668	0.00047598	0.000463883	3.24994e-07	0.000808226	0.000497145	0.000480635	2.39691e-07
9	0.00214114	0.00146032	0.0012693	4.82487e-05	0.00207666	0.00142152	0.00128118	1.96733e-05
10	0.00134846	0.000798409	0.000852285	1.14836e-05	0.00135009	0.000795019	0.000794072	5.30284e-05
11	0.00105144	0.000629623	0.000636385	6.10193e-07	0.00111864	0.000659513	0.000669955	1.37258e-06
12	0.00116045	0.000692594	0.000717175	5.23734e-07	0.00124989	0.000728543	0.000780401	2.11071e-06
13	0.00389679	0.00217114	0.00264407	0.00127109	0.00470986	0.00239839	0.00333012	0.00252876
14	0.00262739	0.00138074	0.00140803	0.00218733	0.00266013	0.0013314	0.00143691	0.00212785
15	0.00148793	0.000875815	0.000907602	2.79766e-06	0.00156126	0.000892152	0.000996483	2.79605e-06
16	0.00249699	0.00136969	0.00158478	0.0001895	0.00274454	0.00136781	0.00178523	0.000331764
17	0.00291401	0.00134937	0.00209125	0.00049601	0.00305419	0.00174416	0.00198009	0.000803022
18	0.00302391	0.00194038	0.00164151	0.00122966	0.00313779	0.00203217	0.00171363	0.00121299
19	0.00187744	0.00110105	0.00114917	2.65424e-06	0.00188668	0.00112575	0.00115393	2.46359e-06
20	0.00209799	0.00127511	0.00127266	5.52444e-06	0.00215191	0.00137188	0.00123964	3.52598e-06
21	0.00288069	0.00176952	0.00183791	3.28142e-05	0.00310263	0.00190294	0.00197563	0.000194217
22	0.00357315	0.00174928	0.00255569	0.000638982	0.00367554	0.00214902	0.00249727	0.000351133
23	0.00463433	0.00288566	0.00241179	0.00366093	0.00475699	0.00339627	0.00182633	0.0023713
