TranslationRange	FocalLength	QR_Kcost	maxQR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRtcost	IAC_Kcost	maxIAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRtcost	Rank3Rate
0.001	8	nan	11.1773	-nan	-nan	-nan	nan	954.828	2069.68	798.018	19.0777	401767	-nan	0.002
0.001	9	nan	38.129	-nan	-nan	-nan	nan	2477.57	26835.8	2091.35	51.5601	1.27377e+07	-nan	0.002
0.001	10	nan	33.3224	-nan	-nan	-nan	nan	1186.22	5050.51	1052.36	32.9713	638855	-nan	0.002
0.001	11	nan	36.5746	-nan	-nan	-nan	nan	972.93	4764.64	825.126	24.5352	460070	-nan	0.002
0.001	12	nan	34.1827	-nan	-nan	-nan	nan	1500.49	21654.1	1371.97	35.2711	1.59179e+06	-nan	0.002
0.001	13	nan	26.6276	-nan	-nan	-nan	nan	1473.14	9371.96	1337.62	33.9874	810505	-nan	0.002
0.001	14	nan	41.439	-nan	-nan	-nan	nan	1794.69	18900.6	1536.85	39.4427	4.71401e+06	-nan	0.002
0.001	15	nan	78.8172	-nan	-nan	-nan	nan	1594.04	21471.2	1284.77	43.1224	6.88927e+06	-nan	0.002
0.001	16	nan	39.4783	-nan	-nan	-nan	nan	5095	121676	4329.61	98.6987	1.19023e+08	-nan	0.002
0.001	17	nan	38.7406	-nan	-nan	-nan	nan	3685.84	135888	3287.56	64.7713	4.34389e+07	-nan	0.002
0.001	18	nan	95.4808	-nan	-nan	-nan	nan	1357.29	7249.32	1154.14	34.4919	909595	-nan	0.002
0.001	19	nan	98.8476	-nan	-nan	-nan	nan	2827.65	25183	2392.12	59.8161	4.59795e+06	-nan	0.002
0.001	20	nan	109.615	-nan	-nan	-nan	nan	2199.27	17735.5	1842.18	45.1144	5.08769e+06	-nan	0.002
0.001	21	nan	95.5339	-nan	-nan	-nan	nan	5550.56	117802	5162.69	91.1938	3.27978e+07	-nan	0.002
0.001	22	nan	51.5077	-nan	-nan	-nan	nan	9873.09	490859	8031.38	151.263	1.22657e+09	-nan	0.002
0.001	23	nan	98.1194	-nan	-nan	-nan	nan	4195.24	66908.1	3551.29	76.1306	3.54356e+07	-nan	0.002
0.001	24	nan	64.0694	-nan	-nan	-nan	nan	47181.5	3.07923e+06	42979	385.39	2.19623e+10	-nan	0.002
0.001	25	nan	139.773	-nan	-nan	-nan	nan	5376.94	211393	5003.52	72.1953	2.12187e+07	-nan	0.002
0.001	26	nan	123.399	-nan	-nan	-nan	nan	7555.3	184081	6868.57	112.984	9.96161e+07	-nan	0.002
