FocalLength	QRloss	IACloss
10	0.36631	0.133296
11	0.231667	0.110664
12	0.150168	0.0902923
13	0.211757	0.0776508
14	0.180387	0.0649169
15	0.262813	0.0553074
16	0.386143	0.0451135
17	0.196721	0.0405505
18	0.138836	0.0348137
19	0.0821016	0.0295547
20	0.0631903	0.026243
21	0.0631403	0.0230891
22	0.0675829	0.0192567
23	0.103524	0.0168574
24	0.104038	0.0152821
25	0.0354403	0.0134709
26	0.068836	0.0116273
27	0.0350607	0.0101209
28	0.0286138	0.00890453
29	0.0281771	0.00817282
30	0.145263	0.00709393
31	0.0378434	0.00625597
32	0.0142766	0.00575132
33	0.0508239	0.00514969
34	0.0139886	0.00438744
35	0.0082773	0.00403269
36	0.00898877	0.00324857
37	0.0471553	0.00292842
38	0.0435983	0.00267134
39	0.00856796	0.00246122
40	0.0188543	0.00202766
41	0.0173851	0.00187377
42	0.0114475	0.0014537
43	0.0123568	0.00143167
44	0.00570045	0.00127856
45	0.00386858	0.00105831
46	0.00706072	0.00097571
47	0.00241338	0.000855323
48	0.00247116	0.00071
49	0.00347433	0.000614587
50	0.0048645	0.000560466
51	0.00163264	0.000453702
52	0.00143063	0.000375
53	0.00273228	0.00032034
54	0.000828265	0.000254987
55	0.00088794	0.000231014
56	0.000712649	0.000190017
57	0.000416003	0.000112385
58	0.000241533	7.87357e-05
59	0.000185222	3.79453e-05
60	1.10646e-11	2.20828e-11
61	0.00023979	3.59892e-05
62	0.000284054	6.87909e-05
63	0.0012221	9.79413e-05
64	0.000420546	0.000139153
65	0.00082407	0.00016582
66	0.000350717	0.000195425
67	0.00267074	0.000224553
68	0.00057417	0.000285901
69	0.00178284	0.000301703
70	0.000643131	0.000322352
71	0.00125655	0.000350314
72	0.000737814	0.000412691
73	0.00371149	0.000455485
74	0.000870205	0.000469435
75	0.000942454	0.000530515
76	0.00108207	0.000556061
77	0.00184145	0.000504352
78	0.0019057	0.000602428
79	0.00213942	0.000630946
80	0.00447316	0.000705236
81	0.00120512	0.000721953
82	0.00257701	0.000780851
83	0.00322241	0.000875155
84	0.00264741	0.000859277
85	0.00172867	0.00086836
86	0.0179016	0.000872465
87	0.00247877	0.000951089
88	0.00189843	0.0009546
89	0.00167433	0.00097779
90	0.0117753	0.00113627
91	0.00218565	0.00108254
92	0.00287526	0.0010334
93	0.00268109	0.00120839
94	0.00237511	0.00115868
95	0.00383628	0.00121297
96	0.00244917	0.00131942
97	0.00260763	0.00128991
98	0.00187353	0.00119921
99	0.0038176	0.00136265
100	0.00581594	0.00142325
101	0.00296578	0.00136675
102	0.0182141	0.00152302
103	0.00300815	0.00160402
104	0.00254934	0.00157152
105	0.00419545	0.00161374
106	0.00413781	0.00156572
107	0.00370666	0.00149317
108	0.00330324	0.00184016
109	0.00387846	0.00158303
110	0.00359801	0.00177345
111	0.0144548	0.00161287
112	0.00729493	0.00186143
113	0.00421293	0.00191993
114	0.0055093	0.00185003
115	0.00625384	0.00196275
116	0.00277605	0.00188819
117	0.00467165	0.00216647
118	0.00458176	0.00195229
119	0.0349215	0.00207077
120	0.00772018	0.00238803
121	0.00525307	0.00211201
122	0.00821298	0.00213173
123	0.00530753	0.00225441
124	0.00639679	0.00237242
125	0.0110283	0.00225724
126	0.0079403	0.00248083
127	0.00462902	0.00238607
128	0.00495599	0.00233761
129	0.00402979	0.00254129
130	0.00351721	0.00241571
