FocalLength	QR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	IAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost
6	0.00573086	0.00300653	0.00343205	3.57391e-05	0.00342745	0.00193456	0.00215376	4.7937e-06
7	0.18555	0.111305	0.142157	0.0133324	0.00952783	0.00552584	0.00586174	9.93723e-05
8	0.0402539	0.0258669	0.0151574	0.0189947	0.0081916	0.00487301	0.00526474	3.88181e-05
9	0.0189285	0.0116856	0.0119376	0.000138241	0.00896028	0.00578846	0.00517438	5.44246e-05
10	0.0735304	0.0426443	0.0476827	0.0181558	0.0149231	0.00817101	0.0103382	0.000332883
11	0.0574906	0.0312518	0.0383428	0.0102711	0.0133124	0.00788788	0.00860639	0.00015838
12	0.084703	0.0515247	0.0548222	0.0518918	0.0130972	0.0080756	0.00753524	0.000316028
13	0.0409288	0.0241944	0.0247785	0.00156844	0.0172201	0.010497	0.0105405	0.000296316
14	0.0489895	0.0276763	0.0270055	0.0122169	0.0162119	0.00990335	0.00963397	0.000254443
15	0.055828	0.0333327	0.0344831	0.00772636	0.0232763	0.0152148	0.0133799	0.000524882
16	0.0709871	0.0409295	0.0455776	0.0131677	0.0185727	0.0113848	0.0116632	0.000195019
17	0.0715884	0.0470415	0.0367023	0.0126439	0.018147	0.0113309	0.011273	0.00012722
18	0.064004	0.0361766	0.0369568	0.0430714	0.01763	0.0110728	0.0110004	0.00021376
19	0.111467	0.0667144	0.0638844	0.106737	0.0238806	0.0156493	0.014514	0.000452718
20	0.0687349	0.0370258	0.043462	0.00983456	0.0221692	0.0140118	0.0134646	0.000292252
21	0.0966852	0.063921	0.0395924	0.157578	0.0282996	0.018789	0.0161012	0.00421387
22	0.0654064	0.0416795	0.03824	0.00622255	0.0219487	0.0141509	0.0132435	0.000684111
23	0.099386	0.055919	0.0541486	0.19357	0.0222874	0.0140303	0.0139237	0.000525408
24	0.135097	0.0788154	0.0865382	0.084551	0.026172	0.0165816	0.0166421	0.000257697
25	0.120748	0.0688382	0.0773656	0.0988507	0.029162	0.0189177	0.0180428	0.000465009
26	0.0670128	0.042516	0.0373694	0.0130641	0.0255704	0.0169873	0.0154603	0.000266805
27	0.0996415	0.0580911	0.0683569	0.0112026	0.0252832	0.01598	0.0163903	0.00031688
28	0.0797278	0.0517088	0.0436108	0.0149172	0.0281276	0.0195157	0.0162512	0.000295596
29	0.106241	0.0694181	0.0554758	0.0956929	0.0269756	0.0170168	0.0173638	0.000410853
30	0.103044	0.0541169	0.0685314	0.0641767	0.0265849	0.0174164	0.0167654	0.000226357
31	0.136993	0.0765148	0.0895646	0.131322	0.0314087	0.0218269	0.0166578	0.0047123
32	0.0939281	0.0593092	0.0477974	0.0470435	0.0303483	0.0205256	0.0186919	0.000470528
33	0.154434	0.085783	0.0899445	0.471174	0.0387997	0.0243924	0.0248209	0.00367265
34	0.145092	0.101005	0.0765132	0.0191254	0.0271236	0.0182036	0.0165838	0.000228342
35	0.110456	0.0683754	0.0604102	0.0452334	0.036312	0.0259656	0.0206609	0.000581553
