FocalLength	QRloss	IACloss
10	1.5832e-10	7.26805e-10
11	9.03223e-10	3.90313e-09
12	3.09193e-11	1.44835e-10
13	9.89163e-09	1.04236e-08
14	1.06488e-11	4.85115e-11
15	9.98098e-12	5.37246e-11
16	1.21515e-10	1.29288e-09
17	8.64555e-11	1.38494e-10
18	3.29854e-10	9.43063e-10
19	6.2348e-10	2.07106e-09
20	7.04136e-11	3.44902e-10
21	1.71904e-10	5.78029e-10
22	2.34284e-10	1.46145e-09
23	2.21173e-11	1.16398e-10
24	2.14709e-07	9.93462e-07
25	8.79242e-10	3.07581e-09
26	7.49123e-10	3.21528e-09
27	1.6353e-11	5.69228e-11
28	7.44997e-11	2.29443e-10
29	8.01596e-10	1.07314e-08
30	8.95006e-10	3.11503e-09
31	1.99104e-11	9.90188e-11
32	1.16241e-11	5.40568e-11
33	8.62623e-08	4.2728e-07
34	4.09923e-10	2.00001e-09
35	4.50607e-10	3.22126e-09
36	4.81793e-10	3.07371e-09
37	6.38167e-09	3.63034e-08
38	7.39671e-10	1.56572e-09
39	5.24806e-10	2.59614e-09
40	1.27049e-10	3.84651e-10
41	2.35989e-05	0.000181937
42	3.02348e-09	2.44584e-08
43	1.05955e-10	4.63079e-10
44	3.1971e-11	1.61328e-10
45	8.55649e-11	8.11481e-10
46	6.41539e-10	1.40211e-09
47	1.62248e-10	6.00728e-10
48	1.68899e-09	1.08411e-08
49	1.37729e-09	2.28673e-09
50	2.45665e-10	6.95215e-10
51	4.4053e-10	2.08816e-09
52	4.25482e-10	2.145e-09
53	1.22363e-10	5.53822e-10
54	5.62015e-08	8.46604e-08
55	1.36297e-10	7.12965e-10
56	9.07317e-10	4.5475e-09
57	8.58018e-09	2.71002e-08
58	4.40648e-10	3.45095e-09
59	5.36308e-10	1.11732e-09
60	2.78385e-10	1.89919e-09
61	4.37878e-10	7.58005e-10
62	1.93798e-10	4.82521e-10
63	3.13112e-08	1.55362e-07
64	1.02386e-09	4.80961e-09
65	1.55019e-09	1.49337e-08
66	1.0597e-10	4.69049e-10
67	4.14007e-10	1.47604e-09
68	2.69208e-10	7.58858e-10
69	8.70772e-10	4.70229e-09
70	1.19737e-10	5.00592e-10
71	7.9685e-11	3.12204e-10
72	3.85667e-11	1.35628e-10
73	2.26979e-10	1.07808e-09
74	1.19992e-10	6.67063e-10
75	1.56635e-10	8.09722e-10
76	3.79875e-08	1.37706e-07
77	7.14881e-09	1.6004e-08
78	7.74864e-09	8.73401e-08
79	2.20773e-10	7.63862e-10
80	3.45795e-09	1.19434e-08
81	1.86893e-09	4.15974e-09
82	1.32221e-09	4.19035e-09
83	1.19172e-10	2.36365e-10
84	4.05913e-10	1.31636e-09
85	4.70517e-10	4.21748e-09
86	1.13495e-09	4.92466e-09
87	4.26022e-08	1.29505e-07
88	1.77823e-10	5.48693e-10
89	2.64082e-09	1.18693e-08
90	1.22745e-09	7.0592e-09
91	1.4518e-10	1.25506e-09
92	7.67214e-08	3.72298e-07
93	1.3269e-09	5.73397e-09
94	4.22867e-10	1.07914e-09
95	2.9451e-10	9.39288e-10
96	3.87159e-09	3.47755e-08
97	1.43494e-09	1.30191e-08
98	1.7897e-09	3.40575e-09
99	6.48085e-10	3.71515e-09
100	4.615e-10	2.9025e-09
101	3.68312e-10	1.61459e-09
102	5.28063e-07	5.32283e-07
103	4.47526e-10	2.1116e-09
104	8.35091e-10	1.95293e-09
105	7.36933e-10	2.90086e-09
106	2.51105e-10	9.51638e-10
107	2.02688e-10	1.04133e-09
108	4.82235e-09	1.42732e-08
109	4.35982e-10	4.58939e-09
110	6.4932e-10	1.66715e-09
111	9.45389e-10	3.22005e-09
112	1.40518e-08	2.37912e-08
113	4.94782e-10	1.33777e-09
114	1.14606e-09	6.6841e-09
115	4.67041e-10	2.0026e-09
116	2.20596e-10	4.84502e-10
117	7.63948e-10	1.35684e-09
