FocalLength	QR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRt_cost	IAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRt_cost	rank3_rate
118	0.0440173	0.028968	0.0247092	0.00127153	5.68492e-16	0.0140873	0.00976504	0.00889883	1.42025e-06	1.70366e-06	1
119	0.128329	0.0737115	0.0728955	0.0403359	5.53336e-16	0.0157225	0.0109294	0.00978782	1.76961e-06	9.53002e-06	0.94
120	0.624399	0.374242	0.35221	2.36178	5.72113e-16	0.017045	0.011182	0.011511	1.73438e-06	2.65505e-05	0.92
121	0.03085	0.018758	0.0189106	0.000405797	5.7935e-16	0.0154917	0.0108053	0.00954148	1.36926e-06	1.19002e-06	0.98
122	0.0652319	0.0420995	0.0380814	0.0036027	5.67955e-16	0.0160252	0.0108027	0.0106059	1.9527e-06	3.01322e-06	0.96
123	0.104508	0.0616731	0.0639216	0.0217771	6.11271e-16	0.0194432	0.0134788	0.0121281	1.93759e-06	4.95649e-06	0.96
124	0.211522	0.136638	0.10932	0.118973	5.73935e-16	0.019721	0.0140561	0.0123056	1.9628e-06	1.19522e-05	0.9
125	0.0430033	0.0268779	0.0247762	0.00127426	5.98788e-16	0.0187053	0.0129243	0.0120472	1.86752e-06	1.35252e-06	0.94
126	0.0394287	0.0256803	0.0226685	0.000683093	5.68863e-16	0.0189518	0.0131938	0.0120328	1.99124e-06	1.16676e-06	0.9
127	0.179821	0.113476	0.0916839	0.148302	6.15214e-16	0.0179965	0.0125463	0.0112446	2.08879e-06	7.26337e-06	0.9
128	0.0453876	0.0292016	0.0261939	0.00227909	6.04796e-16	0.017552	0.0121262	0.0111353	2.05138e-06	1.58932e-06	0.98
129	0.0520958	0.0326438	0.0316863	0.00201228	5.65124e-16	0.0208999	0.0146188	0.0134298	2.31916e-06	1.64565e-06	0.92
130	0.0596208	0.036366	0.0364582	0.00237126	5.85501e-16	0.0231039	0.0154058	0.015508	2.89006e-06	1.77127e-06	0.88
131	0.0700055	0.039268	0.0472762	0.00384369	5.89868e-16	0.0207885	0.0146771	0.0128239	2.58027e-06	2.55034e-06	0.98
132	0.0783825	0.0478612	0.0476604	0.0112968	5.87627e-16	0.023823	0.0168073	0.0146966	2.48195e-06	2.09226e-06	0.94
133	0.0594334	0.0351277	0.0370676	0.00254793	5.91837e-16	0.0216205	0.0149968	0.0135811	2.43589e-06	2.18243e-06	0.9
134	0.0433088	0.0269816	0.0258411	0.00108914	5.84145e-16	0.0193544	0.0131352	0.0125486	2.0623e-06	1.07582e-06	0.98
135	0.111629	0.0692415	0.0640663	0.0213502	6.1453e-16	0.0302747	0.0210277	0.0189762	3.3362e-06	3.10514e-06	0.94
136	0.0780764	0.0457605	0.0479827	0.00345417	5.92604e-16	0.021251	0.0143071	0.0138956	2.70399e-06	3.04195e-06	0.92
137	0.0383205	0.0248624	0.0232577	0.000500477	5.77778e-16	0.0151199	0.0106248	0.00952192	1.72781e-06	1.19227e-06	0.94
138	0.0520908	0.031081	0.0298772	0.00467853	5.73974e-16	0.0209404	0.0140338	0.0137084	3.23549e-06	1.55505e-06	0.94
139	0.103594	0.0635903	0.0600401	0.018272	5.83631e-16	0.0256899	0.0179801	0.0159451	3.00164e-06	3.58548e-06	0.88
140	0.151035	0.0923791	0.0777483	0.0481298	6.03947e-16	0.0280673	0.0192781	0.0179383	4.44598e-06	6.21118e-06	0.92
141	0.0598421	0.040514	0.0315998	0.00448952	5.7565e-16	0.0195556	0.0133569	0.0125485	2.4627e-06	2.25986e-06	0.96
