FocalLength	QR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRt_cost	IAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRt_cost	rank3_rate
265	0.102112	0.0663594	0.0591583	0.00426964	5.98995e-16	0.0643637	0.0448701	0.0398276	2.52221e-05	1.3639e-06	0.94
266	1.84628	1.00018	1.14621	33.8479	5.81003e-16	0.0632739	0.0416221	0.0425081	1.56613e-05	2.26965e-05	0.9
267	0.113576	0.0693881	0.0695867	0.00483299	5.89674e-16	0.0627074	0.0413175	0.0418128	2.13113e-05	1.44131e-06	0.94
268	0.297275	0.175438	0.175176	0.145861	5.80406e-16	0.0813246	0.0576134	0.0496719	2.04737e-05	5.26928e-06	0.82
269	0.202926	0.122291	0.124733	0.0396517	6.10357e-16	0.0677944	0.0477146	0.0422968	2.37277e-05	3.61235e-06	0.88
270	0.426882	0.260841	0.22441	0.50664	5.77271e-16	0.0744164	0.0503028	0.0481918	2.48429e-05	9.01207e-06	0.9
271	0.252678	0.154589	0.147753	0.110192	6.22109e-16	0.0623728	0.0438586	0.0395259	2.08633e-05	5.02167e-06	0.92
272	0.779927	0.463222	0.394404	4.19251	5.85909e-16	0.0809666	0.0600105	0.0475216	2.75727e-05	1.47144e-05	0.92
273	0.511842	0.298789	0.28375	0.930755	5.81123e-16	0.0701785	0.0484181	0.0448872	2.24474e-05	7.51592e-06	0.92
274	0.139267	0.0851952	0.0856829	0.0125376	5.91648e-16	0.0719054	0.0485113	0.0460593	2.37044e-05	1.94673e-06	0.94
275	0.386505	0.236583	0.190762	0.951838	5.99464e-16	0.0696981	0.0472348	0.0449892	1.92117e-05	9.60254e-06	0.86
276	0.132569	0.0799566	0.079653	0.00834281	6.05706e-16	0.0669054	0.0463936	0.0424748	2.41257e-05	1.65628e-06	0.88
277	0.151799	0.100578	0.0846355	0.0155309	5.80201e-16	0.069159	0.0484357	0.043484	1.87082e-05	1.98443e-06	0.98
278	3.01546	1.62612	1.88143	87.6817	5.97363e-16	0.0885062	0.0575746	0.0601916	3.55234e-05	7.97538e-05	0.96
279	0.1175	0.0717534	0.065976	0.0263963	5.70029e-16	0.055418	0.0371908	0.035963	2.34122e-05	2.36616e-06	0.94
280	0.143031	0.0866688	0.084596	0.0209598	6.28864e-16	0.0623992	0.0417085	0.0415809	2.33285e-05	2.71461e-06	0.94
281	0.134136	0.0883458	0.0769183	0.00700346	5.9656e-16	0.0808061	0.0579467	0.0493789	3.00656e-05	1.73483e-06	0.92
282	0.119075	0.0732589	0.0706452	0.00632795	5.9776e-16	0.0604489	0.0399398	0.039675	2.40989e-05	1.68623e-06	0.88
283	0.302762	0.175476	0.174596	0.211236	5.74461e-16	0.0594788	0.0414112	0.0373892	2.20245e-05	4.50838e-06	0.9
284	0.494267	0.266806	0.332805	0.609271	5.64424e-16	0.0756447	0.0525688	0.0478956	2.96159e-05	7.59644e-06	0.9
285	0.255421	0.164291	0.147681	0.0566726	5.73295e-16	0.0628779	0.0430386	0.0398604	1.84706e-05	3.62993e-06	0.98
286	0.168291	0.112381	0.0969677	0.00943993	5.84881e-16	0.0971134	0.073618	0.0532953	3.72256e-05	1.77305e-06	0.9
287	0.233609	0.14821	0.128369	0.0850377	6.07245e-16	0.0613172	0.0424923	0.038189	2.53296e-05	5.4339e-06	0.92
288	0.271597	0.168408	0.155886	0.0368406	5.87989e-16	0.0885592	0.0614947	0.0557085	3.10556e-05	3.78533e-06	0.94
289	0.138656	0.0880012	0.08467	0.00437062	5.78203e-16	0.0826753	0.0599123	0.0502958	2.80201e-05	1.6805e-06	0.92
290	0.374864	0.225506	0.224327	0.175071	5.72747e-16	0.0870771	0.0574517	0.0577141	2.83421e-05	5.96289e-06	0.84
291	0.884484	0.493047	0.557411	3.55687	6.17633e-16	0.0728589	0.0499704	0.0473217	2.82885e-05	1.29467e-05	0.88
292	0.305279	0.189481	0.168688	0.127477	6.07606e-16	0.0782705	0.0538901	0.0499568	2.67556e-05	5.22766e-06	0.92
293	0.308606	0.182115	0.172308	0.187938	5.77829e-16	0.0663877	0.0443146	0.0434099	2.10843e-05	4.44702e-06	0.92
294	0.199807	0.123044	0.11487	0.0429711	5.96811e-16	0.0649497	0.0431199	0.0437432	2.78471e-05	4.14602e-06	0.88
295	0.0984372	0.0618488	0.0582993	0.00400095	5.82391e-16	0.0560697	0.037643	0.0361329	2.43123e-05	1.57947e-06	0.98
296	0.269976	0.151525	0.172279	0.151172	5.53095e-16	0.0705991	0.0472026	0.0465622	2.661e-05	4.74199e-06	0.92
297	0.1431	0.0861454	0.0863803	0.0124173	5.83319e-16	0.0735872	0.0492752	0.0482335	2.7659e-05	1.9854e-06	0.94
298	4.12521	2.18105	2.73202	94.538	5.71395e-16	0.0838625	0.0578337	0.0543603	2.6542e-05	4.58032e-05	0.92
299	0.267815	0.13881	0.164334	0.256015	5.86252e-16	0.0656277	0.045082	0.0419658	2.70564e-05	4.08517e-06	0.92
