FocalLength	QRloss	IACloss
10	0.238345	0.437113
11	0.210109	0.396279
12	0.206513	0.342157
13	0.176285	0.320705
14	0.246875	0.42511
15	0.120501	0.232254
16	0.142972	0.202588
17	0.213335	0.321044
18	0.182596	0.292781
19	0.156795	0.231867
20	0.111593	0.167211
21	0.125557	0.22324
22	0.139461	0.19456
23	0.122799	0.171923
24	0.140204	0.198389
25	0.0613947	0.103578
26	0.0553545	0.0891806
27	0.0845837	0.12699
28	0.119874	0.137593
29	0.0741118	0.107071
30	0.0548245	0.0811955
31	0.104444	0.138587
32	0.0331308	0.0584041
33	0.0551678	0.098802
34	0.0671128	0.103764
35	0.0724215	0.0841027
36	0.052819	0.0825866
37	0.0362058	0.0626539
38	0.0401632	0.0670869
39	0.0462254	0.0628039
40	0.0562585	0.0883291
41	0.0367856	0.0557401
42	0.0329556	0.0510831
43	0.0285427	0.0515844
44	0.0223236	0.0443759
45	0.0444063	0.0567523
46	0.0561964	0.0693794
47	0.0379794	0.0476049
48	0.026435	0.0422561
49	0.0295242	0.0462
50	0.0293272	0.0394903
51	0.0260803	0.0445939
52	0.0435368	0.0584245
53	0.0109042	0.0255531
54	0.0229837	0.0386369
55	0.0177402	0.0335717
56	0.0373421	0.0673683
57	0.0299014	0.0484171
58	0.0160814	0.0326219
59	0.0175619	0.0279436
60	0.0269636	0.0374074
61	0.018648	0.028269
62	0.0198002	0.0303574
63	0.0116867	0.0212542
64	0.0211934	0.0355664
65	0.0159538	0.0271084
66	0.0166214	0.0323359
67	0.0141219	0.0216762
68	0.02175	0.0312069
69	0.0120764	0.0184867
70	0.0256773	0.0317487
71	0.016122	0.0259303
72	0.00879905	0.0182203
73	0.0163384	0.0238738
74	0.0158438	0.0258608
75	0.0158098	0.024469
76	0.0185036	0.0314118
77	0.025048	0.0316138
78	0.020505	0.0283269
79	0.00861118	0.0143053
80	0.0117835	0.0167364
81	0.00594136	0.0132885
82	0.0152333	0.0218759
83	0.0147047	0.0220842
84	0.00843971	0.013942
85	0.0125994	0.0218627
86	0.0112013	0.0160388
87	0.0050001	0.0162004
88	0.0106911	0.0180914
89	0.0118209	0.0168176
90	0.0105277	0.0157874
91	0.00897445	0.015037
92	0.0123327	0.0192774
93	0.0166311	0.0216004
94	0.00942218	0.0150619
95	0.00776012	0.0139295
96	0.00926036	0.0138089
97	0.0104561	0.0145307
98	0.00720842	0.0140013
99	0.00831075	0.0135621
100	0.00477124	0.010833
101	0.00668148	0.0107826
102	0.00763999	0.0118027
103	0.00394796	0.0078986
104	0.00784147	0.0111847
105	0.00896395	0.0126694
106	0.00622167	0.0135837
107	0.0054667	0.0117907
108	0.0058472	0.0109103
109	0.00584888	0.00933497
110	0.00481007	0.00952257
111	0.00742087	0.0129361
112	0.00558952	0.0123529
113	0.00294325	0.00750881
114	0.00470211	0.00944285
115	0.0102359	0.0202401
116	0.00549388	0.011607
117	0.00617234	0.0109014
118	0.0063387	0.00759218
119	0.00680772	0.0121535
120	0.00543377	0.00851381
121	0.00378785	0.00807541
122	0.00322532	0.00865325
123	0.00539678	0.00936875
124	0.0134976	0.0192706
125	0.00708427	0.011747
126	0.00548842	0.00834198
127	0.011088	0.0154219
128	0.00672312	0.0101539
129	0.00624953	0.0101591
130	0.00425326	0.00853063
131	0.00579841	0.00981689
132	0.00599795	0.00867534
133	0.00250644	0.00601167
134	0.0169046	0.0230457
135	0.0079362	0.0120603
136	0.00619013	0.00988288
137	0.00318866	0.00646594
138	0.00522644	0.009337
139	0.00211628	0.00522014
140	0.00335683	0.00698512
141	0.0058273	0.00881413
142	0.00356537	0.00698806
143	0.00613629	0.00974748
144	0.00572057	0.00958264
145	0.00391199	0.00839932
146	0.0060922	0.00832071
147	0.00522124	0.0107261
148	0.00460556	0.00853548
149	0.00355156	0.00880325
150	0.00779608	0.0104982
151	0.00313175	0.00765984
152	0.00177163	0.00468981
153	0.00359531	0.00578278
154	0.00521476	0.00793764
155	0.00408969	0.00771565
156	0.00699623	0.0103743
157	0.00360463	0.00833731
158	0.0038174	0.00547437
159	0.00426426	0.00635531
160	0.00242428	0.0056822
161	0.00422623	0.00685344
162	0.00884347	0.0103184
163	0.00327967	0.00596025
164	0.00421844	0.00676201
165	0.00266661	0.00455109
166	0.00452663	0.00651893
167	0.00400137	0.00692843
168	0.00406274	0.00593484
169	0.00549196	0.00723044
170	0.00366664	0.00581982
171	0.00338503	0.00750381
172	0.0031442	0.00534238
173	0.00328531	0.0062272
174	0.00641747	0.00804678
175	0.00343799	0.00583439
176	0.00187641	0.00468372
177	0.00254766	0.00497679
178	0.00522454	0.00748852
