FocalLength	QR_Kcost	maxQR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRtcost	IAC_Kcost	maxIAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRtcost
5	0.00325785	0.0173052	0.00164462	0.00203107	5.65228e-06	3.08548e-16	0.00318505	0.0198395	0.00166549	0.00203749	5.70495e-06	0.000293553
6	0.00994584	0.19212	0.00709322	0.00592783	6.93892e-06	3.0374e-16	0.00836371	0.153266	0.00653327	0.00432211	1.15163e-05	0.000700047
7	0.00633763	0.064852	0.00359019	0.00376561	2.48529e-05	2.93376e-16	0.00643091	0.0636907	0.00358029	0.00359567	3.34322e-05	0.000440259
8	0.0189654	1.19873	0.0106216	0.0144021	0.000263249	2.97649e-16	0.0210431	1.37949	0.0129923	0.0103064	0.00789207	0.00185254
9	0.00926804	0.358236	0.00489476	0.00539924	0.000492545	2.84229e-16	0.00855892	0.249499	0.00518268	0.00531035	7.77969e-05	0.000594117
10	0.0102945	0.237897	0.00543565	0.00643213	0.00018132	2.7625e-16	0.00974872	0.119508	0.0056475	0.00627864	3.46595e-05	0.000632335
11	0.0109376	0.507979	0.00710484	0.00530538	0.000225535	2.78926e-16	0.0107335	0.47918	0.00686239	0.00531619	0.000247613	0.000491722
12	0.0120369	0.412249	0.00701176	0.00764129	0.000130868	2.83923e-16	0.0119247	0.326076	0.00715925	0.00759223	0.000133455	0.000540782
13	0.0152907	1.66582	0.00793827	0.00860375	0.0043705	2.8294e-16	0.0139401	1.15683	0.00755129	0.00757641	0.00250883	0.000771862
14	0.0257467	1.64383	0.0136031	0.0149566	0.00580369	2.79454e-16	0.0225376	1.39035	0.0122681	0.0139554	0.00335196	0.00101581
15	0.0155668	0.416591	0.00925732	0.00917464	0.000369468	2.76212e-16	0.0160053	0.441868	0.00928625	0.0099906	0.000339724	0.000570384
16	0.016656	2.2124	0.00832609	0.0115105	0.000235317	2.7569e-16	0.0161201	1.93552	0.0092086	0.0106991	0.000465583	0.000587076
17	0.0352629	7.03925	0.0218552	0.0224164	0.0164639	2.87906e-16	0.0264128	3.60442	0.0204126	0.0108182	0.00156725	0.0014668
18	0.0185521	0.452095	0.0113822	0.0109063	0.000386206	2.81009e-16	0.0181741	0.451438	0.011181	0.0111809	0.000272333	0.000519918
19	0.0169045	0.881496	0.0102355	0.0101177	0.000441615	2.80554e-16	0.0169446	0.844054	0.0108104	0.00997395	0.000398289	0.000495786
20	0.0295858	3.77777	0.0195791	0.0176835	0.000890467	2.84771e-16	0.0264602	3.24631	0.0175618	0.0157551	0.000710156	0.000815897
21	0.0183563	0.964594	0.0112632	0.0107615	0.000241763	2.92325e-16	0.0180356	1.02853	0.0117119	0.0104861	0.000203785	0.000506566
22	0.0194297	1.19569	0.0124432	0.0115781	0.000469778	2.849e-16	0.0189232	1.16851	0.0122492	0.0114639	0.000483151	0.000465628
23	0.0235265	3.30805	0.0146889	0.0144747	0.00131434	2.823e-16	0.0227147	2.91285	0.0138664	0.0144407	0.00106732	0.000509931
24	0.0272249	4.69163	0.0166757	0.016835	0.00553352	2.82433e-16	0.0249944	4.14985	0.0159532	0.0158321	0.0026737	0.000574274
25	0.0206157	0.627606	0.0129005	0.0123267	0.000376122	2.7376e-16	0.0194177	0.481779	0.0125242	0.0118184	0.0001552	0.000479715
26	0.0311646	6.46328	0.0163161	0.0188923	0.0146575	2.78857e-16	0.0259493	3.71077	0.016842	0.0152246	0.00362578	0.000901315
27	0.0221859	1.17879	0.0129393	0.0143861	0.000495387	2.83957e-16	0.0215613	1.17205	0.0133408	0.0138409	0.000375263	0.000431887
28	0.0347008	5.92406	0.0197289	0.0229104	0.00947039	2.81041e-16	0.0264892	2.69803	0.0163084	0.016448	0.00193326	0.000868169
29	0.0353774	7.76642	0.0255291	0.0183453	0.000653224	2.84957e-16	0.0354371	8.01952	0.0265805	0.017244	0.00135809	0.000610702
30	0.0247668	1.61001	0.0141594	0.0162324	0.000508577	2.80429e-16	0.0237744	1.77451	0.0151224	0.0150674	0.000387344	0.000457652
31	0.0231702	1.06934	0.0147764	0.0137061	0.000825732	2.72108e-16	0.0225461	1.09127	0.0148461	0.0137617	0.000641355	0.000401488
32	0.0318287	2.14143	0.0192679	0.0204767	0.0007134	2.75788e-16	0.0302473	2.04944	0.0199727	0.0187663	0.000922234	0.000471005
33	0.0252396	0.687587	0.016448	0.0153733	0.000497749	2.77073e-16	0.0244996	0.600164	0.016903	0.0149033	0.000198993	0.000427472
34	0.0332582	5.82572	0.0236061	0.0182248	0.00199406	2.8481e-16	0.0323617	5.81101	0.0232699	0.01784	0.00200323	0.000403475
35	0.0323754	6.27439	0.0181146	0.0221183	0.00870533	2.83246e-16	0.0247825	1.45752	0.0163017	0.0158915	0.000293913	0.000709524
36	0.0278533	1.76034	0.0181166	0.0168584	0.000381647	2.79018e-16	0.0262865	1.33551	0.0179999	0.016056	0.000237507	0.000428434
37	0.0355661	3.94565	0.0214099	0.0215635	0.00728376	2.84647e-16	0.0315594	2.38675	0.0222879	0.0183158	0.000663585	0.000608638
38	0.0414094	10.1692	0.026295	0.0278929	0.00729419	2.80709e-16	0.0344527	5.55591	0.0238972	0.0213513	0.000362548	0.000625412
39	0.0278282	1.88395	0.0168069	0.0185307	0.000306793	2.75474e-16	0.026896	2.01621	0.0171459	0.0180149	0.000135589	0.000372642
40	0.0494387	6.76541	0.0287785	0.0338655	0.00527305	2.85478e-16	0.0427642	5.52342	0.0252882	0.0300357	0.00351264	0.00078725
41	0.032214	5.95173	0.0224125	0.0188076	0.000373032	2.91442e-16	0.0272159	3.24502	0.0195328	0.0157907	0.000146988	0.000433798
42	0.0299931	0.742728	0.0193423	0.0181645	0.000375003	2.87109e-16	0.0287924	0.772432	0.0191468	0.0178262	0.000182005	0.000363608
43	0.0284935	1.2094	0.0186684	0.0173115	0.000676873	2.82555e-16	0.027644	1.40209	0.0187915	0.0176072	7.12952e-05	0.00042635
44	0.0364787	3.94969	0.0236709	0.0230792	0.00178937	2.94245e-16	0.0343613	3.40161	0.0223568	0.02292	0.000460696	0.000433928
45	0.0317308	3.78572	0.0229559	0.0164784	0.00068632	2.84005e-16	0.0289893	3.07966	0.0214991	0.0155411	0.00135163	0.000398137
46	0.0301655	0.860517	0.0196017	0.0183503	0.000415487	2.84458e-16	0.0277956	0.715331	0.019852	0.016466	2.70498e-05	0.000372303
47	0.0255191	0.89058	0.0165899	0.0150791	0.000304873	2.81753e-16	0.0233015	0.72545	0.016112	0.0141225	4.10012e-05	0.000324363
48	0.0381419	4.1996	0.0270234	0.0225582	0.00166832	2.79119e-16	0.0376236	4.88418	0.0276458	0.0229197	0.000291655	0.000400931
49	0.0381374	2.98603	0.0221061	0.025524	0.000954624	2.77058e-16	0.035242	2.9426	0.0217891	0.023668	0.000314022	0.000403657
50	0.0357658	2.70529	0.0249057	0.0204665	0.000724889	2.8459e-16	0.0332085	2.48965	0.0241866	0.0197156	8.71559e-05	0.000408661
51	0.0362329	2.7887	0.0234293	0.022358	0.00114161	2.75787e-16	0.032213	2.77466	0.0228562	0.0200106	7.31723e-05	0.00039694
52	0.0288009	0.679594	0.0179795	0.0186277	0.000362119	2.74948e-16	0.0276891	0.662852	0.0188011	0.0177638	2.99621e-05	0.000352931
53	0.0313534	1.2023	0.0200962	0.0190923	0.000755607	2.79227e-16	0.0296648	1.2258	0.0202955	0.0186104	3.54817e-05	0.000352184
54	0.0303712	0.866611	0.0204376	0.0182941	0.000296683	2.6889e-16	0.0284077	0.938661	0.021049	0.016475	3.07024e-05	0.000320877
55	0.0306689	1.0046	0.0196749	0.0196044	0.000156946	2.85852e-16	0.0284303	0.998325	0.0194103	0.0181645	7.98476e-06	0.00029132
