FocalLength	QRloss	IACloss
10	9.31392e-11	3.32464e-11
11	3.80979e-11	5.40247e-12
12	1.9009e-10	3.5105e-11
13	7.61478e-10	7.77481e-10
14	2.38663e-10	6.39091e-11
15	6.67643e-11	2.42553e-10
16	3.32243e-11	9.39596e-12
17	2.61085e-10	9.61441e-11
18	1.70617e-11	1.08462e-11
19	5.75135e-12	3.08658e-12
20	7.14202e-09	5.15487e-11
21	4.32685e-09	1.78795e-09
22	4.96731e-09	6.45502e-09
23	1.18717e-08	8.39973e-09
24	1.42023e-10	3.18884e-11
25	6.64941e-11	6.59579e-11
26	1.57954e-10	6.59665e-11
27	8.11174e-10	7.57983e-12
28	1.36019e-11	8.8486e-12
29	3.29156e-09	2.1387e-11
30	2.43795e-10	2.57968e-10
31	1.37587e-11	7.42088e-12
32	4.68599e-11	3.80925e-11
33	4.22781e-09	1.19692e-08
34	2.37572e-11	2.28703e-11
35	1.66953e-06	1.94826e-09
36	3.97446e-11	2.38106e-11
37	6.53374e-11	2.10354e-11
38	1.55734e-09	2.5374e-11
39	1.03715e-09	8.72129e-10
40	1.05075e-10	4.24977e-11
41	1.32085e-10	1.32712e-11
42	5.99517e-09	3.74288e-08
43	1.55136e-10	8.40552e-11
44	2.87993e-10	3.23838e-10
45	3.15322e-11	2.24445e-11
46	3.22497e-10	2.28365e-10
47	2.10393e-10	2.35403e-11
48	8.16144e-11	1.46642e-11
49	1.22086e-10	3.86678e-11
50	8.07359e-12	3.19213e-12
51	4.56106e-10	1.36129e-10
52	1.54706e-08	5.78917e-09
53	3.11423e-10	5.38281e-11
54	1.04261e-10	3.25049e-11
55	4.47847e-11	5.06352e-11
56	2.61135e-10	1.03411e-10
57	2.82563e-11	2.30876e-11
58	1.61191e-09	4.55566e-11
59	7.92919e-11	1.26929e-11
60	8.87779e-09	5.17362e-09
61	2.12843e-10	4.57261e-11
62	8.79876e-11	6.02877e-11
63	7.86974e-10	6.33702e-10
64	9.31449e-11	1.88123e-11
65	2.73489e-06	1.52825e-09
66	3.27429e-11	1.36616e-11
67	1.74866e-10	5.62419e-11
68	3.33054e-10	6.72038e-11
69	6.62577e-11	3.88747e-11
70	2.42896e-10	1.69184e-10
71	8.18707e-10	7.43929e-11
72	1.36544e-09	5.0494e-10
73	1.0706e-08	1.42881e-09
74	8.75579e-07	1.27938e-08
75	7.362e-11	1.00866e-11
76	3.55028e-11	4.31861e-11
77	1.54826e-08	2.09197e-10
78	4.68903e-10	4.80993e-11
79	2.58922e-09	2.23389e-11
80	5.48515e-10	8.07979e-11
81	8.36126e-10	1.64582e-10
82	4.52155e-11	9.83405e-12
83	1.70098e-11	1.8697e-11
84	9.45389e-11	2.33334e-11
85	4.54271e-10	7.44658e-10
86	3.69646e-11	2.22474e-11
87	1.89569e-10	1.90592e-10
88	7.26311e-11	6.46212e-11
89	7.16821e-10	1.2266e-10
90	2.89337e-06	2.25903e-10
91	9.33347e-10	5.07863e-11
92	2.28276e-10	5.82536e-11
93	1.96698e-09	1.48689e-09
94	4.48927e-10	1.65812e-09
95	1.45632e-10	1.04042e-11
96	2.32464e-09	9.99089e-09
97	4.11594e-10	4.04791e-10
98	5.9148e-10	2.50767e-11
99	1.10605e-08	1.0179e-08
100	1.00869e-10	2.4776e-11
101	1.17077e-09	4.63232e-11
102	2.07016e-11	1.74208e-11
103	4.22568e-10	3.22104e-10
104	1.57899e-10	1.45137e-10
105	6.72711e-09	1.61499e-10
106	5.45479e-09	3.36723e-09
107	6.6704e-11	3.20504e-11
108	1.48851e-09	8.77961e-11
109	7.98483e-10	2.93186e-10
110	3.01413e-09	1.0384e-09
111	9.05133e-11	7.79017e-11
112	8.11052e-06	2.82718e-08
113	3.90551e-08	3.82499e-10
114	5.89136e-11	4.83389e-11
115	1.16266e-10	4.54376e-11
116	1.46061e-10	5.67123e-11
