FocalLength	QR_Kcost	maxQR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRtcost	IAC_Kcost	maxIAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRtcost
4	0.000329537	0.00172232	0.000175612	0.000228449	2.44194e-08	2.94855e-16	0.000337064	0.00158453	0.000185813	0.000237965	1.96956e-08	3.77982e-05
5	0.000357783	0.00198564	0.000228961	0.000196098	4.1807e-08	2.87607e-16	0.000342813	0.00138774	0.00021973	0.000187846	3.77286e-08	4.10387e-05
6	0.000486036	0.00520026	0.000288365	0.000312116	4.77149e-08	2.88452e-16	0.000498211	0.00506059	0.000289396	0.000327518	4.36033e-08	3.84162e-05
7	0.000614839	0.00604691	0.000399128	0.000335813	1.38886e-07	2.85024e-16	0.000615232	0.0054386	0.000401904	0.000348393	1.25298e-07	4.18875e-05
8	0.000866047	0.0602053	0.000500879	0.000524068	2.3098e-06	2.78805e-16	0.000844084	0.0429742	0.000516426	0.000504878	4.57484e-07	6.27646e-05
9	0.000865656	0.0543331	0.000485044	0.000513706	3.21868e-06	2.76506e-16	0.000876598	0.0517589	0.000500607	0.000526552	3.04487e-06	4.78816e-05
10	0.000859436	0.0216983	0.000505713	0.00051846	4.54558e-07	2.79624e-16	0.000876222	0.0246831	0.000510053	0.000536802	4.13857e-07	4.55765e-05
11	0.00101521	0.0674186	0.000609318	0.00060201	1.3422e-06	2.82013e-16	0.00102684	0.0482559	0.000623651	0.000614753	7.74717e-07	4.82612e-05
12	0.00111572	0.0366112	0.000652146	0.000662508	1.18554e-06	2.8086e-16	0.00111999	0.038328	0.000664384	0.000668941	1.26505e-06	4.77492e-05
13	0.00133744	0.116058	0.000784467	0.000818704	1.58148e-06	2.78102e-16	0.00130335	0.0688592	0.000788957	0.000792156	7.13165e-07	5.37237e-05
14	0.00134566	0.0849643	0.000765035	0.000822015	1.14361e-06	2.76341e-16	0.00134719	0.0687802	0.000776213	0.00083533	1.12816e-06	5.09786e-05
15	0.00143636	0.092642	0.000822325	0.000889952	1.84755e-06	2.78071e-16	0.00144415	0.104385	0.00084243	0.00089385	3.0411e-06	4.8375e-05
16	0.00162968	0.110016	0.000925708	0.000989132	7.03528e-06	2.80371e-16	0.00163024	0.124442	0.000952426	0.00100063	3.65664e-06	5.4071e-05
17	0.0015462	0.0771373	0.000943332	0.00091386	1.48364e-06	2.78746e-16	0.00156974	0.0766955	0.000961825	0.000934072	1.43629e-06	4.47922e-05
18	0.00184297	0.155721	0.00109242	0.00111019	4.37367e-06	2.83824e-16	0.00187559	0.168782	0.00111871	0.00115162	3.269e-06	5.29357e-05
19	0.00177867	0.120164	0.00103478	0.00107294	5.51297e-06	2.83681e-16	0.00177919	0.117407	0.00105376	0.00108825	4.5061e-06	4.73479e-05
20	0.0018816	0.16137	0.00113231	0.00109665	4.72907e-06	2.86299e-16	0.00189693	0.103948	0.00113855	0.00114163	2.58567e-06	4.81929e-05
21	0.00195758	0.1131	0.00116231	0.00118263	2.49332e-06	2.86087e-16	0.00199223	0.115699	0.00119678	0.00119915	2.87013e-06	4.70396e-05
22	0.00210092	0.170801	0.001245	0.00125238	7.77028e-06	2.81715e-16	0.00214702	0.180962	0.00131681	0.00125407	8.01634e-06	5.14909e-05
23	0.00215776	0.10831	0.00126849	0.00132337	3.28411e-06	2.82078e-16	0.00217369	0.104079	0.00130997	0.00132187	3.08575e-06	4.70868e-05
24	0.00232793	0.211335	0.00138782	0.00138954	8.70116e-06	2.80863e-16	0.00229598	0.182006	0.00137397	0.00139443	7.06933e-06	4.89243e-05
25	0.00233964	0.22375	0.00138063	0.00143045	6.54256e-06	2.81089e-16	0.00237273	0.252439	0.0014121	0.00146954	5.62476e-06	4.91505e-05
26	0.00246644	0.215301	0.00143787	0.00151504	5.86113e-06	2.80131e-16	0.00251109	0.215161	0.00146711	0.00156856	4.73171e-06	4.99279e-05
27	0.00243162	0.204295	0.0014311	0.00145236	5.67672e-06	2.78851e-16	0.00241372	0.177217	0.00143043	0.00146937	4.63156e-06	4.62962e-05
28	0.00252312	0.166704	0.00147784	0.00153765	4.29221e-06	2.79167e-16	0.00253608	0.165214	0.00150613	0.00155248	4.79718e-06	4.50407e-05
29	0.00261468	0.251052	0.00154582	0.00157215	8.57449e-06	2.80436e-16	0.00259369	0.21742	0.00153444	0.00158684	6.48724e-06	4.53575e-05
30	0.00270931	0.176954	0.00161003	0.00162452	8.01566e-06	2.7976e-16	0.00269112	0.15815	0.00160548	0.00164288	7.56756e-06	4.72794e-05
31	0.0029727	0.300048	0.00174661	0.00179097	1.71796e-05	2.78989e-16	0.00302242	0.386433	0.0018042	0.00185435	1.66788e-05	4.96181e-05
