FocalLength	QR_Kcost	maxQR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRtcost	IAC_Kcost	maxIAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRtcost
4	0.000364859	0.00220658	0.000205072	0.000232059	2.71741e-08	3.21499e-16	0.000312829	0.00224582	0.000202319	0.000189019	2.13142e-08	5.96843e-05
5	0.00151874	0.0181714	0.000827393	0.000894347	4.58066e-06	2.74367e-16	0.00100799	0.0146222	0.000564878	0.000614063	1.927e-06	0.000241571
6	0.00179621	0.0503944	0.00107858	0.0011068	4.39247e-06	2.962e-16	0.00068359	0.0064063	0.000397266	0.000428532	2.2675e-07	0.000359653
7	0.00342494	0.16038	0.00192631	0.00185442	8.06451e-05	2.87017e-16	0.00106263	0.0199438	0.000618447	0.0006783	8.37574e-07	0.000565886
8	0.00213773	0.0667912	0.00132336	0.00120958	4.15141e-06	2.73328e-16	0.000971844	0.0112402	0.000582393	0.000598845	5.3723e-07	0.000281827
9	0.00307945	0.210786	0.00172114	0.0019982	1.54484e-05	2.84605e-16	0.00104893	0.0483537	0.000640645	0.000658316	4.48887e-07	0.000394764
10	0.00349737	0.190538	0.00210973	0.00187072	4.9779e-05	2.8819e-16	0.00123995	0.021022	0.000730328	0.000774445	8.61197e-07	0.000398238
11	0.00411082	0.732454	0.00217966	0.00249412	0.000211372	2.81719e-16	0.00130332	0.0317266	0.000763287	0.000820763	1.26773e-06	0.000440753
12	0.0049358	0.927985	0.00265385	0.00308521	0.000123375	2.83344e-16	0.00148574	0.0399813	0.000864332	0.000927766	1.75203e-06	0.000484529
13	0.00435036	0.356571	0.00267695	0.00242393	4.23367e-05	2.77092e-16	0.00163508	0.242757	0.00102411	0.000971519	1.91337e-06	0.000370724
14	0.00497935	0.428068	0.00295587	0.00297631	5.78695e-05	2.72391e-16	0.00184457	0.0802692	0.00106086	0.00118411	2.3937e-06	0.000409627
15	0.00429024	0.409895	0.00250752	0.00247164	6.06594e-05	2.8069e-16	0.00176509	0.0402059	0.00106809	0.00107965	1.65205e-06	0.000315761
16	0.00499356	0.804285	0.00295831	0.00302763	4.59559e-05	2.81731e-16	0.0019836	0.23648	0.00114722	0.00128575	2.91405e-06	0.000346104
17	0.00703909	1.05932	0.00416297	0.00412656	0.0002857	2.82959e-16	0.00206428	0.080014	0.00126993	0.00126354	2.07165e-06	0.000501897
18	0.00620937	1.40252	0.00371079	0.00368272	0.000175689	2.8125e-16	0.00216284	0.0713185	0.00128675	0.00133978	2.88529e-06	0.000397242
19	0.00647794	1.05249	0.0039418	0.00359889	0.000146384	2.83748e-16	0.00232607	0.125308	0.00142046	0.00142019	3.12029e-06	0.000392539
20	0.00766336	1.36466	0.00463363	0.0042588	0.000477502	2.85401e-16	0.00243719	0.154762	0.00146253	0.00154098	3.09361e-06	0.000455968
21	0.00653962	0.943935	0.00371028	0.0040016	0.000118562	2.81162e-16	0.00271548	0.329699	0.00159807	0.0016971	1.10033e-05	0.000341159
22	0.0070136	0.655882	0.00414498	0.00406369	0.000114888	2.80995e-16	0.00276108	0.1498	0.00163255	0.00175317	5.19411e-06	0.000355933
23	0.00698433	0.480777	0.0041161	0.00409276	0.000109611	2.81395e-16	0.00289542	0.116268	0.0017866	0.00176611	4.674e-06	0.000335653
24	0.00805039	0.641209	0.00461195	0.00489677	0.000151801	2.81373e-16	0.00295812	0.241473	0.001799	0.00182182	6.22929e-06	0.000387604
25	0.00886654	2.00452	0.00552243	0.0048645	0.000443836	2.79814e-16	0.00299618	0.172702	0.0018123	0.00186045	4.89879e-06	0.000405581
26	0.00842795	1.49869	0.00514372	0.00476335	0.000191524	2.79817e-16	0.00311915	0.314314	0.00188769	0.00188925	1.59452e-05	0.000369844
27	0.00887761	1.6789	0.00492409	0.00546298	0.000374672	2.78586e-16	0.00324871	0.126384	0.00196455	0.00203127	5.03257e-06	0.000378331
28	0.00998703	2.01883	0.00576285	0.00606234	0.000406209	2.78692e-16	0.003394	0.312403	0.00205621	0.002124	5.62811e-06	0.000409178
29	0.00930234	1.64665	0.00549184	0.00548633	0.000177324	2.77997e-16	0.00348589	0.237216	0.00212415	0.00215586	6.33221e-06	0.00037014
30	0.00988101	0.971345	0.0056381	0.00585301	0.00038877	2.79361e-16	0.00368343	0.440134	0.00222415	0.00228322	1.05007e-05	0.000373997
31	0.0110328	2.10557	0.00639283	0.0067922	0.000570004	2.76494e-16	0.00380552	0.202155	0.00231055	0.00237183	7.53897e-06	0.000412868
32	0.0121509	1.95333	0.00709086	0.00743607	0.000783469	2.82858e-16	0.00400342	0.476483	0.00241412	0.00253011	1.3618e-05	0.000443298
33	0.0108332	1.44502	0.00655862	0.00629056	0.000356698	2.80984e-16	0.0045038	0.62595	0.00276918	0.00275065	1.96528e-05	0.000354439
34	0.0131672	2.14422	0.00773063	0.00770533	0.000932231	2.80675e-16	0.00415636	0.441564	0.00255788	0.0025552	8.65259e-06	0.000450332
35	0.0112872	2.29754	0.00636651	0.00673746	0.00105835	2.81226e-16	0.00444775	0.507857	0.00264252	0.00282624	2.22889e-05	0.000361206
36	0.0116087	0.875364	0.00679456	0.00715695	0.000216448	2.81134e-16	0.00438281	0.457383	0.00273748	0.0026751	9.76208e-06	0.000364
37	0.0129093	2.79143	0.00734409	0.00819407	0.000488297	2.83163e-16	0.00453192	0.15489	0.0026876	0.00282854	1.75682e-05	0.000399216
38	0.0118472	1.82331	0.00671418	0.00698318	0.000736069	2.84929e-16	0.00442747	0.206572	0.00271342	0.00274457	1.13838e-05	0.000355725
39	0.0128069	2.69098	0.00764706	0.00713749	0.00152051	2.81499e-16	0.0046901	0.377668	0.00287425	0.00289984	1.26036e-05	0.000371378
40	0.0131532	1.91562	0.00788085	0.0075522	0.000966163	2.8466e-16	0.0047124	0.158703	0.0028951	0.00291607	1.10039e-05	0.000378215
41	0.012425	0.825135	0.00743143	0.00739273	0.0002956	2.82429e-16	0.00524005	0.727671	0.00319194	0.00331228	1.14021e-05	0.000327721
42	0.0120689	1.33709	0.00705158	0.00718527	0.000292877	2.81e-16	0.00484209	0.16352	0.00292548	0.00307486	9.80812e-06	0.000322887
43	0.013548	1.45301	0.00818847	0.00804824	0.000409604	2.85404e-16	0.00518595	0.697581	0.00317557	0.00324441	2.23836e-05	0.000356378
44	0.0140035	3.11194	0.00835403	0.00858786	0.000552315	2.82385e-16	0.00538711	0.88209	0.00340939	0.00329997	2.52537e-05	0.000347529
45	0.0160916	3.13022	0.00954052	0.00926139	0.00375517	2.85196e-16	0.00540208	0.252271	0.0032593	0.00337258	1.68843e-05	0.00040599
46	0.015085	3.50194	0.00946954	0.00845851	0.0018725	2.81888e-16	0.00550817	0.541655	0.00346631	0.00340622	1.07234e-05	0.000373571
47	0.0163514	3.06032	0.00954581	0.00973264	0.00147816	2.83573e-16	0.0057204	0.734888	0.00351743	0.00360487	3.25544e-05	0.000401717
48	0.0149518	1.21527	0.00919754	0.00888838	0.00050079	2.80587e-16	0.00598515	0.370721	0.0037435	0.00370225	1.75611e-05	0.000347505
49	0.0168993	2.79789	0.0107346	0.0092565	0.00150773	2.77445e-16	0.00549218	0.212467	0.00337646	0.00344793	1.0939e-05	0.000390481
50	0.0169264	1.57953	0.00970252	0.010225	0.00125575	2.82891e-16	0.00607983	0.281792	0.00384294	0.00374153	1.57687e-05	0.000391805
51	0.0176455	3.60577	0.0102216	0.0103946	0.00221702	2.77795e-16	0.00600581	0.203149	0.00364406	0.00381171	1.83276e-05	0.000392514
52	0.0155998	1.68125	0.00900556	0.00926187	0.00114948	2.78009e-16	0.00620337	0.741772	0.00374371	0.00396224	2.25709e-05	0.000330653
53	0.018637	3.37196	0.0102236	0.0118864	0.00148672	2.76581e-16	0.00634573	0.705588	0.00393603	0.00402352	1.77072e-05	0.000411374
