FocalLength	QRloss	IACloss
10	0.493023	0.196796
11	0.577326	0.176126
12	0.735565	0.145057
13	0.371855	0.140447
14	0.194712	0.110078
15	0.18528	0.095469
16	0.334316	0.0850705
17	0.425578	0.078542
18	0.186659	0.0697525
19	0.163752	0.0612075
20	0.144964	0.0535555
21	0.136479	0.0524838
22	0.239488	0.0451459
23	0.164833	0.0421164
24	0.0760325	0.0360004
25	0.0752116	0.032933
26	0.139663	0.0332733
27	0.127863	0.0265371
28	0.0740598	0.027438
29	0.218178	0.0252883
30	0.0638546	0.0213467
31	0.0576206	0.0204988
32	0.0536301	0.0173917
33	0.17557	0.015944
34	0.0465548	0.0142595
35	0.611536	0.0140463
36	0.0607519	0.0124212
37	0.0743736	0.0115969
38	0.123061	0.0108218
39	0.034983	0.0103769
40	0.0316865	0.00883308
41	0.0253788	0.00768871
42	0.0234766	0.00681322
43	0.0282499	0.006487
44	0.0348706	0.00585214
45	0.0155098	0.00466753
46	0.0158254	0.00445549
47	0.0297292	0.00437006
48	0.0237282	0.0043093
49	0.0101411	0.00338297
50	0.012008	0.00288018
51	0.0181085	0.00273065
52	0.0241646	0.00262294
53	0.0253761	0.0020522
54	0.00485676	0.00152372
55	0.00495108	0.00145964
56	0.0032512	0.0010546
57	0.00226297	0.000928151
58	0.0110102	0.000516379
59	0.00219931	0.000294731
60	3.74462e-09	3.7184e-09
61	0.0015371	0.000278303
62	0.00123602	0.000465607
63	0.00877105	0.000871883
64	0.00429687	0.000969035
65	0.276424	0.00122507
66	0.00603885	0.00144153
67	0.00764597	0.00156875
68	0.011527	0.00194928
69	0.00620101	0.00225177
70	0.00748106	0.00260383
71	0.00649018	0.00274303
72	0.00830981	0.00320547
73	0.0085545	0.00266659
74	0.00888443	0.00309006
75	0.0113809	0.0035986
76	0.00911402	0.00323549
77	0.0287719	0.00437741
78	0.0182721	0.00489509
79	0.10831	0.00491737
80	0.0145676	0.00553753
81	0.0208377	0.00417321
82	0.0184883	0.00513546
83	0.0171991	0.00584562
84	0.0179375	0.00650563
85	0.0149453	0.0057047
86	0.0119515	0.0065562
87	0.022394	0.00618556
88	0.0300743	0.00764521
89	0.0339585	0.00687846
90	0.171377	0.00666923
91	0.0465384	0.00716175
92	0.0554976	0.00642581
93	0.0221041	0.0087363
94	0.0182911	0.00981973
95	0.0296494	0.00804403
96	0.0324935	0.00930692
97	0.0924738	0.00818783
98	0.0594753	0.00976432
99	0.042166	0.00910303
100	0.040971	0.00926181
101	0.0442497	0.0100859
102	0.0211453	0.010268
103	0.03878	0.0119832
104	0.032743	0.0100359
105	0.135668	0.0126623
106	0.0473832	0.0133326
107	0.119238	0.0128171
108	0.0435659	0.0138723
109	0.0491415	0.0149726
110	0.100472	0.0140076
111	0.0921705	0.0165345
112	0.443371	0.0137545
113	0.0753812	0.0166515
114	0.0426928	0.0160908
115	0.0317883	0.0148928
116	0.0766684	0.0161782
117	0.0546709	0.01713
118	0.0487944	0.0176452
119	0.0441579	0.0184147
120	0.0567848	0.0189191
121	0.0438702	0.0160274
122	0.0553269	0.0182488
123	0.0712049	0.0191973
124	0.0668527	0.0179109
125	0.054101	0.017199
126	0.0556658	0.016461
127	0.0592493	0.0181795
128	0.0585726	0.0209005
129	0.0616135	0.0156802
130	0.0615706	0.0191324
131	0.0671611	0.0185947
132	0.185069	0.0200533
133	0.202308	0.0210649
134	0.0591155	0.0214968
135	0.0594471	0.0199543
136	0.0661615	0.0229228
137	0.0546082	0.0222816
138	0.318604	0.0211743
139	0.0825048	0.0254143
140	0.140286	0.0240562
141	0.283426	0.0264086
142	0.0903187	0.0242135
143	0.0489879	0.0237692
144	0.152623	0.0253147
145	0.048744	0.0255048
146	0.0735989	0.0216845
147	0.124088	0.0246744
148	0.074654	0.0286234
149	0.0725027	0.0300746
150	0.217043	0.0281747
151	0.10935	0.026151
152	0.0514397	0.0224052
153	0.0807886	0.0266291
154	0.780936	0.0272067
155	0.0988879	0.030902
156	0.140667	0.0411573
157	0.0686917	0.032433
158	0.306093	0.0277378
159	0.0642187	0.0219708
160	0.127525	0.0327412
161	0.0677105	0.0267471
162	0.24685	0.0353371
163	0.125382	0.0393016
164	0.104511	0.0405839
165	0.119326	0.0336573
166	0.102411	0.0302966
167	0.0963965	0.0318759
168	0.219299	0.0426423
169	0.0920077	0.0301295
170	0.085419	0.037701
171	0.090158	0.0324635
172	0.119379	0.03731
173	0.394693	0.035734
174	0.113312	0.0373614
175	0.580674	0.0351718
176	0.130732	0.0420441
177	0.167751	0.0393175
178	0.180036	0.0379002
179	0.101105	0.0382161
180	0.124198	0.0365708
181	0.111751	0.0409196
182	0.172118	0.0339598
183	0.102713	0.0372144
184	0.302268	0.0423031
185	0.119042	0.0438862
186	0.117003	0.0425996
187	0.144179	0.0379673
188	0.249769	0.0415773
189	0.147812	0.039026
190	0.0821774	0.0427893
191	0.132293	0.0388701
192	0.103336	0.0392291
193	0.117199	0.0365556
194	0.942778	0.0425162
195	0.125955	0.0520542
196	0.14218	0.0448494
197	0.17608	0.0401872
198	0.176533	0.0383316
199	0.224462	0.0380354
200	0.125674	0.045252
201	0.553616	0.0446668
202	0.277909	0.0342949
203	0.231936	0.0494899
204	0.193277	0.0481465
205	0.429137	0.0685922
206	0.205367	0.0406515
207	0.116662	0.0484729
208	0.256869	0.0433673
209	0.169296	0.048782
210	0.110748	0.0446548
211	0.222945	0.0573484
212	0.184109	0.0491515
213	0.493396	0.0495021
214	0.16823	0.0459707
215	0.203303	0.060389
216	0.200146	0.0467036
217	0.281906	0.0467048
218	0.225108	0.0529228
219	0.456144	0.0404666
220	0.212412	0.0484855
221	0.115817	0.0481294
222	0.134602	0.048914
223	0.160187	0.0594414
224	0.15135	0.0460818
225	0.15578	0.0653954
226	0.0985546	0.0437367
227	0.591057	0.0495219
228	0.167034	0.0536555
229	0.181092	0.0585328
230	0.130967	0.0603595
231	0.25818	0.0676999
232	0.13807	0.05223
233	0.156812	0.0520682
234	0.198236	0.0591885
235	0.140135	0.0575233
236	0.187963	0.0688455
237	0.164631	0.0576695
238	0.241536	0.0488216
239	0.175319	0.0645611
240	0.205207	0.0652617
241	0.421302	0.0585275
242	0.178324	0.0530238
